"NAME:","matan r 2"
"EXPERIMENT TIME:","Thu Jun 01 12:45:58 GMT+03:00 2023"
"ACTIVITY TYPE:","Running"
"COUNTS OF ACTUAL STEPS:","163"
"  "," "
"Time [sec]","ACC X","ACC Y","ACC Z"
"0","5.61","-0.75","-3.84"
"0.067108864","9.57","-0.43","-5.49"
"0.134217728","12.04","0.16","-6.59"
"0.260046848","10.94","0.35","-13.26"
"0.318767104","7.02","3.92","-14.32"
"0.385875968","11.96","2.24","-11.77"
"0.49492787200000005","4.86","0.24","-4.67"
"0.5536481280000001","-2.31","-0.94","-3.14"
"0.637534208","2.20","-6.12","-10.12"
"0.7298088960000001","18.36","-4.98","-15.69"
"0.79691776","14.04","-0.78","-8.51"
"0.88080384","-1.84","1.45","-2.47"
"0.9646899200000001","-2.35","2.98","-4.16"
"1.0485760000000002","9.61","-1.37","-14.51"
"1.115684864","15.69","5.26","-12.83"
"1.2163481600000001","8.24","-0.24","-4.82"
"1.283457024","-5.65","-1.29","-3.30"
"1.3589544960000002","-0.47","-1.06","-3.26"
"1.434451968","20.01","-0.94","-20.01"
"1.5267266560000001","16.71","-1.80","-11.22"
"1.6106127360000002","1.65","0.78","-3.41"
"1.694498816","-7.53","4.55","-4.31"
"1.7783848960000002","2.82","2.16","-4.24"
"1.862270976","20.01","9.89","-20.01"
"1.9209912320000002","11.30","-2.75","-6.98"
"2.0719861760000002","-3.30","-0.67","-1.49"
"2.130706432","-1.06","-2.20","-2.71"
"2.164260864","7.34","-8.16","-15.81"
"2.248146944","20.01","-2.12","-13.02"
"2.3320330240000002","12.04","0.59","-4.82"
"2.424307712","-14.67","2.12","0.59"
"2.491416576","1.10","-0.55","-2.35"
"2.5753026560000003","20.01","-0.12","-15.85"
"2.6591887360000004","15.38","-3.45","-10.98"
"2.7346862080000003","-0.35","0.59","-2.39"
"2.81018368","-5.53","-3.53","-2.43"
"2.8940697600000003","3.10","-2.08","-7.14"
"3.0366760960000003","20.01","-5.37","-12.79"
"3.1121735680000002","13.93","2.31","-5.26"
"3.162505216","-15.65","0.47","-1.22"
"3.22961408","-0.04","2.24","-2.79"
"3.3135001600000002","12.75","5.96","-18.75"
"3.3973862400000003","20.01","-2.28","-8.79"
"3.4561064960000003","4.43","-0.20","-5.02"
"3.5399925760000004","-2.31","-1.22","-2.63"
"3.623878656","0.47","-0.35","-3.61"
"3.7161533440000003","20.01","-4.08","-13.34"
"3.8000394240000004","13.45","-0.94","-5.18"
"3.925868544","-0.16","5.49","-3.45"
"3.9929774080000002","-4.79","1.73","-3.53"
"4.060086272","2.39","5.53","-10.67"
"4.127195136","20.01","-7.45","-9.41"
"4.185915392","14.28","-2.28","-5.61"
"4.269801472","-6.79","-1.06","-0.82"
"4.798283776","0.35","-3.06","-3.96"
"5.301600256","20.01","0.04","-15.02"
"5.3267660800000005","16.75","0.27","-5.92"
"5.343543296","4.90","2.47","-3.53"
"5.351931904000001","-8.79","2.79","-2.944.59"
"5.360320512","7.57","1.73","-4.39"
"5.402263552","-7.49","2.90","-2.00"
"5.494538240000001","0.24","0.04","-4.04"
"5.5868129280000005","20.01","11.22","-20.01"
"5.670699008000001","12.36","-2.31","-7.49"
"5.729419264000001","-0.35","-0.94","-1.57"
"5.83008256","-1.69","-3.41","-1.88"
"5.9055800320000005","0.86","-2.79","-6.83"
"5.989466112000001","20.01","-1.65","-15.49"
"6.056574976","11.49","3.61","-6.20"
"6.132072448000001","-7.85","1.37","-0.39"
"6.215958528000001","0.55","1.53","-4.67"
"6.3082332160000005","13.61","5.37","-13.45"
"6.392119296000001","19.53","6.86","-6.20"
"6.476005376000001","7.49","-1.06","-5.26"
"6.5682800640000005","-5.96","-5.22","-1.41"
"6.635388928","1.65","-1.26","-3.84"
"6.710886400000001","20.01","0.86","-20.01"
"6.786383872","18.32","-2.35","-5.77"
"6.928990208","-1.73","2.00","-2.00"
"6.970933248000001","-4.98","3.22","-5.02"
"7.038042112","5.10","2.35","-3.84"
"7.1303168","20.01","8.67","-20.01"
"7.189037056","9.57","-0.98","-5.14"
"7.281311744000001","-6.83","-3.26","0.78"
"7.356809216","-0.24","-0.16","-3.61"
"7.440695296","20.01","0.82","-5.14"
"7.532969984","19.57","-1.37","-8.20"
"7.59169024","6.28","4.00","-5.73"
"7.67557632","-9.73","4.12","-1.37"
"7.7594624","1.22","1.96","-4.94"
"7.893680128000001","20.01","9.57","-20.01"
"7.935623168","9.45","-1.92","-6.28"
"7.994343424","-1.88","-2.51","0.16"
"8.086618112","-1.80","-3.18","-3.80"
"8.1788928","6.32","-3.77","-11.06"
"8.246001664000001","20.01","-3.65","-10.90"
"8.338276352000001","9.77","3.92","-6.39"
"8.413773824","-7.57","1.37","-1.06"
"8.480882688000001","0.16","2.43","-5.26"
"8.564768768","20.01","1.88","-20.01"
"8.648654848000001","11.77","3.45","-9.85"
"8.791261184","0.47","-0.55","-2.75"
"8.84998144","-4.35","-6.35","-2.55"
"8.89192448","-3.49","-2.86","-16.55"
"8.984199168","20.01","-2.59","-11.45"
"9.05969664","12.12","3.73","-5.69"
"9.151971328","-11.61","2.79","-1.77"
"9.210691584000001","1.57","1.41","-5.14"
"9.311354880000001","20.01","-3.92","-19.81"
"9.39524096","16.12","5.30","-7.81"
"9.470738432000001","4.39","-1.69","-2.94"
"9.537847296","-5.30","-5.69","-2.39"
"9.663676416000001","1.80","-0.39","-5.96"
"9.730785280000001","20.01","-4.08","-20.01"
"9.797894144","12.63","0.12","-5.73"
"9.865003008","-9.22","1.29","-0.24"
"9.957277696","-1.06","2.00","-5.33"
"10.041163776000001","9.73","8.12","-9.34"
"10.125049856","20.01","5.84","-6.67"
"10.19215872","8.55","-0.90","-4.20"
"10.276044800000001","-9.49","-5.14","-0.90"
"10.787749888","1.88","0.47","-4.20"
"10.796138496000001","20.01","2.67","-20.01"
"10.812915712","16.28","0.55","-8.94"
"10.821304320000001","-1.61","-0.43","0.24"
"10.829692928","-6.04","2.86","-3.37-0.67"
"10.838081536","20.01","8.55","-12.51"
"10.921967616","10.75","-0.63","-5.53"
"11.005853696","-7.92","-4.04","0.59"
"11.089739776","-0.20","-0.94","-3.37"
"11.165237248","20.01","-0.43","4.79"
"11.249123328000001","19.38","-2.16","-9.53"
"11.333009408","3.10","2.59","-3.41"
"11.391729664000001","-7.06","4.67","-2.16"
"11.475615744","2.39","0.24","-4.24"
"11.584667648","20.01","7.69","-20.01"
"11.651776512000001","12.47","-0.16","-5.45"
"11.718885376000001","-7.96","-0.59","-1.33"
"11.819548672000002","0.86","-2.08","-3.02"
"11.903434752","4.24","-5.18","-15.77"
"11.978932224000001","20.01","-1.10","-9.49"
"12.071206912000001","9.26","4.94","-6.79"
"12.121538560000001","-10.59","1.22","-0.24"
"12.213813248000001","1.57","0.24","-3.37"
"12.306087936","20.01","8.43","-13.45"
"12.389974016","15.18","7.73","-9.18"
"12.457082880000002","1.77","-2.12","-4.00"
"12.54096896","-3.10","-4.35","-2.43"
"12.616466432000001","2.98","1.65","-4.79"
"12.700352512","20.01","-1.65","-20.01"
"12.7926272","13.22","1.61","-5.69"
"12.876513280000001","-6.71","0.35","-0.63"
"12.935233536","-2.20","2.39","-4.67"
"13.027508224","0.75","9.18","-14.79"
"13.111394304000001","20.01","4.63","-9.81"
"13.203668992","10.24","-0.63","-4.20"
"13.262389248000002","-8.20","-1.45","-2.04"
"13.354663936000001","0.71","-0.63","-4.24"
"13.480493056","20.01","-4.16","-20.01"
"13.54760192","17.38","-1.06","-7.34"
"13.606322176","1.29","2.12","-1.41"
"13.681819648000001","-7.18","2.55","-3.06"
"13.765705728","4.47","5.10","-7.02"
"13.824425984000001","18.44","7.69","-19.89"
"13.916700672000001","10.04","0.16","-5.06"
"14.000586752","-6.90","0.04","-1.73"
"14.084472832000001","1.06","-3.77","-3.22"
"14.168358912","20.01","-7.69","2.39"
"14.235467776","14.87","-0.82","-9.34"
"14.327742464000002","5.73","3.22","-3.96"
"14.453571584","-8.47","4.16","-1.33"
"14.512291840000001","2.16","2.31","-5.33"
"14.579400704000001","20.01","2.98","-20.01"
"14.654898176000001","9.53","-0.47","-6.43"
"14.722007040000001","-0.78","-0.39","-2.04"
"14.80589312","-3.14","-3.41","-2.28"
"14.889779200000001","2.39","-2.04","-15.93"
"14.965276672000002","19.18","0.43","-6.16"
"15.057551360000001","9.81","3.80","-5.88"
"15.133048832","-11.30","1.92","0.08"
"15.225323520000002","2.20","1.29","-5.02"
"15.292432384000001","20.01","-1.06","-20.01"
"15.418261504","12.20","5.69","-7.73"
"15.476981760000001","-1.10","-1.06","-2.12"
"15.552479232000001","-2.71","-3.73","-2.82"
"15.619588096000001","3.10","-0.51","-5.61"
"15.711862784000001","20.01","-1.49","-20.01"
"15.787360256000001","16.12","2.82","-7.02"
"17.272143872","-6.67","0.90","-2.39"
"17.775460352","-2.31","2.28","-2.86"
"18.261999616","1.37","3.92","-17.22"
"18.278776832000002","19.97","7.57","-4.59"
"18.765316096000003","8.59","-1.73","-5.65-3.84"
"18.773704704",".40","2.12","-0.47"
"19.260243968","0.59","-1.10","-3.61"
"19.2937984","19.97","-3.26","-15.18"
"19.302187008","20.01","-1.57","-10.907.26"
"19.327352832000003","-12.63","-0.16","-2.08"
"19.386073088","0.67","-0.90","-3.61"
"19.469959168000003","20.01","-2.04","-12.04"
"19.562233856000002","19.53","-2.16","-6.67"
"19.654508544000002","-1.37","1.92","-1.29"
"19.721617408","-3.65","3.57","-3.30"
"19.813892096","0.59","2.16","-3.92"
"19.897778176000003","20.01","-1.53","-20.01"
"19.948109824000003","9.30","-0.04","-6.86"
"20.040384512000003","-0.08","-0.78","-2.12"
"20.124270592000002","-2.98","-4.86","-2.94"
"20.199768064","2.98","0.51","-6.08"
"20.3423744","18.16","7.53","-14.87"
"20.375928832","13.65","1.02","-4.08"
"20.459814912000002","-8.55","0.63","-1.49"
"20.526923776","0.39","1.45","-4.24"
"20.610809856000003","1.69","8.24","-19.02"
"20.694695936000002","20.01","7.18","-4.35"
"20.786970624000002","10.51","-1.65","-3.53"
"20.845690880000003","-11.65","-4.43","3.10"
"20.937965568000003","2.94","-0.08","-3.45"
"21.030240256000003","20.01","3.92","-17.85"
"21.156069376","18.44","-3.26","-7.41"
"21.214789632000002","3.61","4.59","-2.98"
"21.290287104","-9.02","0.51","-2.51"
"21.34900736","3.10","0.82","-3.65"
"21.43289344","20.01","1.41","-20.01"
"21.491613696","13.69","2.67","-7.34"
"21.600665600000003","-2.51","-1.18","-1.57"
"21.650997248000003","-2.82","-3.10","-1.77"
"21.743271936000003","0.51","-3.02","-18.20"
"21.827158016000002","20.01","1.14","-13.10"
"21.911044096","11.22","2.82","-6.59"
"22.003318784","-11.22","2.43","-2.63"
"22.10398208","1.06","1.33","-4.51"
"22.162702336000002","15.14","10.87","-9.89"
"22.238199808","14.28","3.49","-1.22"
"22.313697280000003","6.79","-3.45","-3.26"
