"NAME:","elon0"
"EXPERIMENT TIME:","Thu Jun 01 12:05:19 GMT+03:00 2023"
"ACTIVITY TYPE:","Walking"
"COUNTS OF ACTUAL STEPS:","95"
"  "," "
"Time [sec]","ACC X","ACC Y","ACC Z"
"0","-8.90","5.77","-2.47"
"0.008388608","-9.02","5.81","-2.39"
"0.016777216","-9.14","5.57","-1.69"
"0.025165824000000003","-9.30","5.26","-1.33"
"0.033554432","-8.87","4.51","-1.06-8.87"
"0.08388608","-9.77","5.06","-0.59"
"0.16777216","-8.87","4.75","-0.78"
"0.25165824000000003","-8.83","5.10","-0.63"
"0.32715571200000004","-9.34","4.71","-0.67"
"0.46976204800000004","-12.59","4.90","-0.55"
"0.536870912","-11.81","5.33","-1.92"
"0.595591168","-5.65","5.10","-3.49"
"0.662700032","-9.85","5.14","-2.35"
"0.7549747200000001","-8.67","5.26","-2.51"
"0.8136949760000001","-7.61","6.90","-2.43"
"0.905969664","-7.14","7.18","-2.00"
"0.9898557440000001","-6.12","6.71","-1.26"
"1.073741824","-8.83","7.92","-1.96"
"1.1576279040000002","-9.81","7.41","0.43"
"1.283457024","-11.45","11.57","-3.22"
"1.350565888","-5.02","4.39","-5.10"
"1.4092861440000002","-9.49","6.43","-1.65"
"1.484783616","-7.65","6.71","-1.14"
"1.543503872","-7.34","3.14","-0.12"
"1.6273899520000001","-6.28","3.30","-0.31"
"1.711276032","-12.12","8.20","-3.02"
"1.795162112","-10.00","4.39","2.04"
"1.8874368000000001","-8.24","5.14","-5.26"
"1.954545664","-12.94","11.22","-0.31"
"2.0552089600000003","-6.59","5.33","-1.18"
"2.105540608","-5.45","5.41","-1.53"
"2.239758336","-5.53","6.08","-2.04"
"2.3068672","-8.71","5.96","-2.39"
"2.3739760640000003","-11.57","11.14","-0.55"
"2.441084928","-9.53","5.61","-7.14"
"2.524971008","-9.22","9.61","-0.31"
"2.608857088","-5.06","5.41","-1.22"
"2.6927431680000002","-6.94","3.77","-2.12"
"2.7766292480000003","-7.61","3.06","-0.75"
"2.868903936","-9.61","5.02","-1.69"
"2.9192355840000004","-9.14","6.75","0.90"
"3.011510272","-5.33","5.10","-4.28"
"3.10378496","-15.81","9.02","-2.28"
