"NAME:","matan w 3"
"EXPERIMENT TIME:","Thu Jun 01 12:00:05 GMT+03:00 2023"
"ACTIVITY TYPE:","Walking"
"COUNTS OF ACTUAL STEPS:","110"
"  "," "
"Time [sec]","ACC X","ACC Y","ACC Z"
"0","9.30","-2.79","-3.45"
"0.008388608","9.10","-3.65","-3.49"
"0.016777216","8.83","-3.77","-3.61"
"0.016777216","8.59","-4.00","-4.128.32"
"0.025165824000000003","7.92","-1.73","-1.73"
"0.09227468800000001","9.18","-2.39","-1.77"
"0.226492416","12.83","-1.10","-3.14"
"0.30198988800000004","11.65","-1.33","-5.10"
"0.36909875200000003","3.65","-3.53","-5.96"
"0.436207616","10.08","-3.02","-5.45"
"0.5033164800000001","7.30","-3.02","-5.10"
"0.5788139520000001","8.16","-3.06","-3.33"
"0.662700032","7.77","-2.71","-2.39"
"0.746586112","9.06","-2.43","-1.45"
"0.8388608000000001","11.34","-3.53","-2.20"
"0.92274688","13.57","-8.79","-5.41"
"0.981467136","4.59","0.08","-3.30"
"1.1072962560000001","9.69","-3.88","-4.59"
"1.17440512","8.83","-4.55","-2.59"
"1.241513984","7.22","-1.61","-3.53"
"1.3086228480000002","8.12","-2.20","-2.47"
"1.4092861440000002","7.61","-1.45","-1.57"
"1.4680064000000002","13.81","-3.77","-1.22"
"1.55189248","14.98","-2.63","-4.20"
"1.63577856","4.71","-1.57","-4.55"
"1.711276032","7.34","-2.86","-3.73"
"1.795162112","11.81","-2.82","-5.06"
"1.895825408","7.88","-3.18","-3.26"
"1.954545664","6.90","-3.10","-1.73"
"2.0552089600000003","8.16","-3.02","-1.10"
"2.122317824","16.63","-4.63","-2.08"
"2.2565355520000003","12.63","-8.16","-5.06"
"2.323644416","5.06","0.55","-2.59"
"2.3739760640000003","9.85","-4.51","-3.80"
"2.466250752","9.30","-4.12","-3.69"
"2.541748224","9.45","-1.84","-3.57"
"2.60046848","6.04","-0.86","-1.29"
"2.6927431680000002","7.85","-1.65","-2.86"
"2.7766292480000003","14.28","-1.18","-1.69"
"2.860515328","12.55","0.51","-4.79"
"2.927624192","3.06","-2.47","-4.90"
"3.028287488","9.38","-1.37","-3.45"
"3.0953963520000003","7.10","-0.67","-3.96"
"3.2380026880000004","7.85","-4.16","-2.20"
"3.2967229440000003","6.63","-3.84","-0.71"
"3.347054592","10.36","-3.18","-2.67"
"3.4393292800000004","12.71","-4.39","-4.35"
"3.489660928","6.39","-3.84","-4.86"
"3.5735470080000002","8.83","-0.08","-3.61"
"3.6742103040000003","10.28","-6.67","-2.94"
"3.749707776","6.08","-1.18","-2.71"
"3.8419824640000004","8.28","-2.82","-2.12"
"3.9007027200000004","8.43","-2.04","-1.37"
"4.043309056","17.22","0.24","0.20"
"4.102029312","11.85","-0.51","-4.79"
"4.177526784","3.96","-2.67","-4.47"
"4.244635648","9.81","-1.18","-5.96"
"4.32013312","10.79","-2.12","-3.45"
"4.395630592","6.35","-3.18","-1.88"
"4.479516672","6.20","-4.16","0.12"
"4.555014144","6.98","-4.04","-3.45"
"4.647288832","12.24","-4.90","-4.98"
"4.731174912","7.30","-3.30","-3.80"
"4.815060992","8.98","0.16","-4.63"
"4.882169856","10.63","-6.24","-2.28"
