"NAME:","idan_walk_2"
"EXPERIMENT TIME:","Thu Jun 01 11:48:04 GMT+03:00 2023"
"ACTIVITY TYPE:","Walking"
"COUNTS OF ACTUAL STEPS:","102"
"  "," "
"Time [sec]","ACC X","ACC Y","ACC Z"
"0","-8.87","-4.39","-2.39"
"0.07549747200000001","-9.34","-3.61","-2.08"
"0.142606336","-9.96","-3.73","-2.24"
"0.285212672","-9.18","-3.57","-0.51"
"0.40265318400000005","-11.69","-9.18","-4.86"
"0.411041792","-4.94","-5.45","-6.51"
"0.54525952","-10.98","-4.24","-4.75"
"0.6543114240000001","-7.22","-2.51","-3.26"
"0.6543114240000001","-8.28","-0.20","-3.22"
"0.855638016","-8.59","-1.57","-2.31"
"0.931135488","-9.92","-2.24","-2.08"
"1.015021568","-13.77","-0.43","-1.96"
"1.023410176","-14.55","0.98","-6.63"
"1.149239296","-9.41","-2.59","-6.08"
"1.283457024","-9.96","-3.45","-4.28"
"1.291845632","-7.37","-2.35","-2.43"
"1.3589544960000002","-7.53","-3.02","-2.31"
"1.5183380480000002","-8.20","-3.49","-1.29"
"1.5183380480000002","-10.51","-3.88","-2.79"
"1.585446912","-9.57","-5.10","-1.80"
"1.660944384","-10.04","-6.51","-7.34"
"1.694498816","-15.14","-2.08","-2.28"
"1.7783848960000002","-4.90","-3.37","-3.49"
"1.84549376","-8.20","-0.20","-2.51"
"2.34881024","-8.79","-1.77","-1.84"
"2.3571988480000003","-10.59","-1.61","-3.26"
"2.8521267200000002","-11.41","-0.31","0.59"
"3.347054592","-15.69","-0.51","-7.49"
"3.363831808","-9.85","-3.73","-3.92"
"3.8419824640000004","-7.61","-0.59","-3.92-7.14"
"3.850371072","-9.77","-2.67","-8.04"
"4.3452989440000005","-12.28","-3.77","-3.37"
"4.353687552","-6.12","-1.45","-2.39"
"4.848615424","-7.45","-2.90","-2.28-8.24"
"5.343543296","-9.06","-1.22","-2.98"
"5.36870912","-14.98","-0.39","-1.06"
"5.377097728000001","-15.46","-0.08","-6.63"
"5.377097728000001","-7.73","-3.37","-6.94-9.69"
"5.427429376","-7.22","-0.63","-3.06"
"5.502926848","-7.69","-0.78","-1.06"
"5.595201536","-9.41","-1.80","-4.28"
"5.6623104","-11.10","-1.84","0.55"
"5.754585088000001","-15.97","0.12","-6.24"
"5.83008256","-10.43","-4.04","-3.84"
"5.9055800320000005","-7.06","-1.37","-4.35"
"6.039797760000001","-7.41","-2.51","-2.67"
"6.1069066240000005","-7.81","-2.86","-1.57"
"6.148849664","-9.49","-3.37","-1.57"
"6.232735744","-11.45","-6.00","-1.53"
