NAME:,run_3_1.csv,,
EXPERIMENT TIME:,07/06/2023 16:47,,
ACTIVITY TYPE:,Running,,
COUNT OF ACTUAL STEPS:,145,,
 ,,,
Time [sec],ACC X,ACC Y,ACC Z
0.022,1.22,-9.57,2.2
0.075,1.65,-10.08,1.8
0.126,2.59,-9.53,0.82
0.167,0.08,-9.53,-3.3
0.232,-1.96,-10.67,-2.79
0.289,-0.71,-17.06,-4
0.337,-0.67,-16.28,-3.84
0.387,-3.1,-11.49,0
0.46,-1.26,-8.16,-5.3
0.474,0.59,-1.33,-0.12
0.589,-4.28,-0.94,0.31
0.593,1.69,-16.59,-3.41
0.643,-1.29,-11.49,2.43
0.701,0.51,-14.63,1.8
0.735,-0.16,-17.5,4.35
0.79,3.88,-10.79,1.88
0.842,4.43,-10.75,2.04
0.901,-1.22,-3.8,2.47
0.932,0.31,-0.67,1.84
1.008,2.16,-8.79,3.45
1.04,-4.98,-12.4,8.9
1.093,2.2,-17.26,3.06
1.171,2.39,-12.75,-3.69
1.374,-4.39,-12.24,-2.82
1.379,-1.33,-7.57,-2.55
1.417,4.79,-12.87,-3.37
1.445,4,-12.4,2.98
1.509,-2.12,-15.22,0.75
1.558,2.35,-20.01,1.61
1.605,6.67,-11.34,0.2
1.659,3.22,-7.96,3.22
1.715,-1.84,-1.77,4.04
1.747,0.71,0.78,1.53
1.845,3.06,-13.93,-2.16
1.85,-3.69,-20.01,6
1.922,4.2,-13.06,0.55
1.95,-1.77,-11.02,-3.53
2.023,-1.1,-8.55,-3.06
2.076,-1.41,0.27,-2.94
2.128,-0.82,-0.98,3.41
2.154,-10.59,-11.73,2.71
2.215,-1.06,-11.3,5.22
2.266,-0.82,-9.96,2.16
2.323,2.67,-17.22,0.59
2.371,6.28,-11.53,0.43
2.435,2.79,-8.16,0.16
2.462,0.2,-4.59,4.47
2.515,-0.27,-1.37,0.51
2.568,-1.22,-3.26,6.04
2.622,-0.51,-20.01,3.49
2.668,3.49,-12.32,1.14
2.717,4.2,-11.77,-2.16
2.78,-2.39,-10.12,-2.2
2.826,-2.98,-11.26,-5.65
2.876,-1.18,-1.73,-1.22
2.926,-2.24,-2.31,5.57
2.988,2.86,-17.89,-16.75
3.075,0.27,-8.98,2.39
3.079,-0.59,-16.08,3.06
3.127,3.02,-15.85,3.45
3.183,3.69,-9.89,1.49
3.241,2.24,-7.1,1.37
3.29,-0.04,-3.33,1.77
3.342,2.9,0.63,9.38
3.391,-1.96,-16.28,-0.12
3.444,2.35,-20.01,5.88
3.495,3.61,-14.04,-0.51
3.54,-2.63,-12.51,-2.79
3.599,-3.77,-7.81,-3.96
3.649,0.51,-0.12,-1.8
3.715,-0.86,0.63,3.8
3.741,-7.69,-19.69,-1.8
3.791,-0.24,-11.53,4.39
3.843,-1.26,-15.06,-1.41
3.911,2.24,-14.75,3.06
3.942,6.2,-12.94,1.77
3.993,2.71,-6.83,1.73
4.053,-2.55,-3.14,4.75
4.107,-2.04,0.04,-2.39
4.143,0.04,-13.45,2.67
4.199,-2.67,-14.4,10.94
4.247,4.82,-17.1,2.63
4.42,-1.1,-2.47,-4.35
4.469,-1.69,-2,-1.14
4.5,3.92,4,14.04
4.572,6.86,-12.2,0.39
4.604,4,-12.2,3.96
4.675,-1.45,-17.18,1.45
4.706,3.33,-15.42,1.73
4.777,3.41,-10.04,1.92
4.83,2.43,-4.82,-0.16
4.88,-0.31,-0.47,3.8
4.91,2.67,2.28,10.4
5.014,0.63,-20.01,5.3
5.019,2.59,-18.48,2.63
5.074,-1.8,-19.61,2.51
5.127,-2.2,-12,-3.45
5.177,-3.06,-10.08,-4.43
5.227,-1.65,-2.2,-4.43
5.275,-0.31,-2.51,5.26
5.333,-9.96,-5.1,6.98
5.373,3.14,-10.43,3.41
5.43,-0.04,-9.73,2.2
5.479,1.37,-6.86,2.82
5.534,4.67,-13.85,4.67
5.579,4.98,-6,0.75
5.64,0.08,-4.24,4.08
5.696,0.51,-0.86,2.51
5.723,-2.63,-9.3,-0.04
5.801,-3.77,-20.01,9.92
5.831,8.2,-15.26,1.96
5.887,-2.04,-13.69,-0.75
5.937,-3.3,-7.92,-3.22
5.986,-1.26,-3.26,-2.59
6.035,-0.78,-2.86,0.78
6.087,-13.93,-7.41,8.9
6.146,2.63,-7.41,-1.49
6.285,2.9,-14.79,6.32
6.338,4.24,-7.45,-0.12
6.658,1.26,-3.69,3.84
6.663,-2.24,-1.84,2.55
6.671,-3.65,-0.04,7.49
6.682,0.04,-16.12,8.98
6.697,-3.41,-9.18,-2.39
6.745,-1.37,-7.49,-2.51
6.807,-0.04,-0.35,-0.71
6.882,2.08,-3.53,12.08
6.934,4.47,-20.01,-3.57
6.947,1.92,-14.51,2.28
7.004,-1.33,-13.14,-2.04
7.059,5.41,-15.85,2.04
7.116,4.55,-11.57,4.39
7.17,1.57,-6.59,0.71
7.223,-2.75,-1.88,2.39
7.282,2.51,1.29,2.67
7.311,-2.31,-16.99,-3.73
7.365,0.55,-18.44,5.26
7.414,4.35,-15.49,-0.51
7.468,-3.3,-13.3,-2.35
7.518,-2.67,-7.96,-4.86
7.607,-1.49,-1.29,-2.31
7.615,-3.73,-1.06,2.2
7.687,-9.61,-5.81,5.14
7.716,4.75,-9.34,1.65
7.766,0.35,-11.18,0.67
7.82,1.73,-15.22,0.04
7.882,5.33,-12.36,3.18
7.935,5.06,-8.36,0.67
7.987,-0.55,-3.3,3.33
8.019,-2.59,0.2,3.73
8.081,-2.12,0,8.12
8.14,2.2,-20.01,10.75
8.285,-1.92,-9.06,-2.08
8.338,-2.82,-10.79,-2.82
8.386,0.12,0.63,-0.67
8.436,-1.77,-2.75,8.36
8.482,9.53,-17.22,-17.53
8.535,3.8,-14,0.2
8.584,-1.88,-18.16,-0.12
8.641,1.61,-13.81,5.53
8.692,3.73,-10.4,3.57
8.743,2.43,-4.71,-0.04
8.841,-1.26,-2.08,3.1
8.846,0.27,-0.16,2.04
8.896,-2.86,-18.01,-7.02
8.948,0,-20.01,2.16
9.005,5.3,-16.24,-1.37
9.058,-1.73,-9.69,-1.77
9.11,-2.31,-8.79,-6.28
9.159,0.67,0.71,-4.94
9.209,-0.12,-2.82,2.82
9.262,-9.34,-1.73,2.47
9.294,1.77,-15.38,2.28
9.356,3.06,-7.85,1.06
9.421,0.94,-20.01,0.86
9.462,1.29,-13.14,1.29
9.502,4.71,-6.51,-0.35
9.571,-0.94,-3.37,0.43
9.626,0.39,-1.33,6
9.653,-3.45,-1.49,8.51
9.708,0.55,-19.89,4.71
9.767,7.65,-19.61,4.43
9.822,-0.94,-17.81,-1.69
9.875,-5.02,-7.85,-3.1
9.928,-1.22,-11.69,-4.08
9.975,1.22,-0.71,-1.14
10.033,0.98,9.49,16.87
10.102,-6.79,-8.2,-1.45
10.131,3.1,-18.2,1.22
10.162,0.16,-20.01,4.16
10.213,3.26,-15.38,-0.35
10.27,4.98,-10,1.33
10.327,2.51,-6.67,0.94
10.383,-1.73,-3.14,3.18
10.438,5.02,1.84,3.96
10.491,-0.51,-14.87,-3.57
10.523,0.35,-20.01,4.16
10.587,6.83,-13.34,0.59
10.639,-3.37,-10.67,-2.55
10.735,-1.45,-8.32,-4.51
10.741,0.27,-0.51,-1.26
10.773,-0.71,-0.63,4.63
10.833,1.14,-11.45,-3.96
10.883,-1.02,-9.92,3.65
10.938,-1.18,-11.41,1.33
10.998,7.02,-20.01,5.69
11.052,6.24,-13.18,4.35
11.105,3.65,-6.86,2.39
11.144,-0.31,-0.9,3.57
11.193,-1.96,-0.35,0.2
11.251,-2.16,1.18,6.43
11.307,-1.02,-20.01,11.34
11.36,6.75,-15.46,-2.16
11.392,-0.82,-14.63,-1.41
11.472,-3.61,-7.3,-4.16
11.494,-0.04,-1.1,-4.82
11.543,0.24,-1.8,2.59
11.6,0.31,-3.33,13.06
11.651,5.96,-2.86,6.28
11.938,0.9,-12.32,1.69
11.944,-1.88,-17.38,-2.71
11.949,7.18,-20.01,6.08
12.052,-0.35,0.2,7.45
12.058,0.47,-20.01,7.41
12.119,5.26,-15.97,1.61
