NAME:,walk_1_2.csv,,
EXPERIMENT TIME:,07/06/2023 16:15,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS:,90,,
 ,,,
Time [sec],ACC X,ACC Y,ACC Z
0.005,0.67,-9.96,-0.63
0.035,0.9,-11.18,-0.31
0.091,0.67,-10.08,-0.9
0.13,0.63,-10.32,-1.26
0.183,0.12,-9.92,-0.71
0.236,0.35,-9.85,-0.2
0.301,1.1,-9.85,-0.35
0.39,1.33,-10.12,-0.63
0.397,-0.39,-9.81,-0.67
0.449,-0.86,-10,-0.71
0.509,-0.9,-10.83,0
0.537,-0.08,-11.06,0.86
0.611,0.78,-13.53,0.67
0.658,0.47,-11.65,1.22
0.711,2.71,-10.36,0.82
0.764,4.04,-12.2,-0.08
0.817,1.73,-9.81,-1.02
0.846,1.96,-8.32,-2.08
0.901,1.69,-7.57,-2.35
1.011,0.16,-6.35,-3.65
1.022,0.55,-6.71,-3.18
1.066,1.26,-9.14,-4.16
1.372,1.84,-10.83,-3.96
1.384,1.49,-11.41,-7.26
1.422,1.26,-9.22,-1.26
1.473,1.88,-9.1,1.29
1.524,0.75,-8.28,0.04
1.57,0.71,-10.04,0.16
1.678,-1.22,-9.38,-0.47
1.708,-1.14,-10.4,-1.02
1.725,-2.51,-10.83,-0.55
1.776,1.88,-14.4,0.86
1.826,5.22,-12.71,2.08
1.893,4.08,-12.79,1.26
1.924,1.96,-10,-1.84
1.993,0.31,-8.16,-2.24
2.026,0.86,-5.92,-2.2
2.073,0.04,-5.06,-3.26
2.125,0.31,-4.51,-3.77
2.183,0.51,-7.88,-3.69
2.233,2.28,-13.77,-3.41
2.288,2.71,-12.79,-8.39
2.364,2.51,-7.18,-4.75
2.391,4.35,-17.22,4.2
2.436,2.79,-8.32,2.24
2.487,-0.31,-6.75,-1.92
2.539,2,-10.87,0.2
2.588,1.29,-7.22,1.49
2.643,0.04,-8.87,-0.24
2.693,0.12,-9.57,0.55
2.756,-1.49,-10.67,-1.14
2.791,-3.14,-10.59,0.35
2.843,-1.14,-13.38,0
3.006,5.26,-14.83,-0.43
3.053,0.08,-8.71,-2.28
3.111,0.82,-6.47,-0.98
3.171,-1.06,-3.84,-3.88
3.2,-0.86,-3.49,-3.84
3.248,1.14,-6.39,-5.37
3.302,6,-19.77,-0.27
3.352,3.14,-7.1,-6.98
3.406,2.9,-15.73,4.35
3.458,3.02,-9.69,0.86
3.51,1.14,-10.2,-1.06
3.614,1.26,-8.24,-0.9
3.626,1.22,-8.04,2.12
3.657,-0.04,-8.47,-0.24
3.72,-0.16,-8.94,0.71
3.769,-2.98,-10.47,-1.84
3.82,-1.1,-11.02,-0.94
3.877,-3.06,-11.38,-0.24
3.927,1.26,-15.38,1.73
3.986,5.53,-11.96,3.18
4.013,5.49,-15.3,-0.08
4.062,3.69,-10.9,-0.86
4.128,0.63,-9.1,-2.04
4.177,0.71,-5.45,-1.8
4.258,-0.2,-5.18,-3.14
4.269,-0.47,-3.61,-3.84
4.326,0.71,-9.38,-4.94
4.376,4.35,-15.85,-3.3
4.46,0.82,-4.9,-8.75
4.491,5.18,-20.01,-0.27
4.518,4.04,-11.69,1.69
4.572,0.08,-9.57,-1.88
4.644,1.41,-8.51,-0.55
4.69,1.92,-10.16,2.39
4.746,-0.86,-8.98,-0.2
4.798,0.55,-8.98,0.67
4.825,-2.04,-8.9,-1.53
4.89,-1.57,-10.83,0.16
4.944,-1.8,-12.4,-0.08
4.992,3.69,-14.28,-0.43
5.044,3.57,-13.14,3.22
5.097,5.14,-13.69,0.27
5.142,2.28,-10.59,-0.59
5.195,0.08,-7.73,-1.73
5.253,1.69,-6.39,-2.47
5.303,0.86,-6.32,-3.26
5.343,0.08,-4.86,-4.47
5.399,0.39,-7.22,-4.82
5.482,2.47,-15.18,-3.3
5.495,2.39,-9.14,-7.81
5.565,5.06,-15.53,-3.69
5.591,3.26,-10.08,0.94
5.653,1.88,-6.24,-0.63
5.731,0.67,-11.65,0.08
5.755,1.73,-10.51,0.78
5.802,0.39,-8.32,0.24
5.853,0.63,-9.3,0.27
5.905,-0.08,-9.57,-0.39
5.959,-1.26,-9.65,-0.82
6.016,-0.55,-10.24,-0.59
6.071,-1.53,-10.2,-0.24
6.135,-0.86,-12.51,-0.43
6.161,2.63,-12.51,0.71
6.212,3.8,-10.98,1.49
6.26,3.96,-12.83,0.67
6.311,2.94,-10.87,-1.1
6.359,1.33,-9.81,-2.04
6.409,1.06,-6.94,-2.51
6.65,0.47,-7.57,-2.39
6.663,1.1,-6.43,-3.1
6.685,0.9,-7.34,-3.69
6.72,1.65,-10.79,-6.12
6.869,3.33,-7.37,0.55
6.927,1.26,-6.47,-0.47
6.977,0.71,-11.77,-0.08
7.036,1.84,-9.53,0.98
7.09,-0.08,-8.75,-0.16
7.135,0.55,-9.06,0
7.191,-0.51,-10.04,-0.08
7.238,-0.67,-10,-0.27
7.275,-0.16,-10.32,-0.08
7.335,-2.31,-9.45,-0.35
7.388,-0.24,-12.71,-0.98
7.47,2.47,-13.34,0.12
7.479,3.14,-10.59,1.92
7.549,4.35,-12.79,0.04
7.601,2.94,-10.9,-0.39
7.658,1.14,-9.06,-2.2
7.707,1.06,-7.37,-3.02
7.731,0.16,-7.41,-2.86
7.79,0.16,-5.88,-3.37
7.846,1.26,-7.69,-3.3
7.896,1.69,-10.79,-3.77
7.949,1.8,-10.43,-4.55
8.002,0.27,-10.55,-6.28
8.06,2.82,-13.18,-4.43
8.124,2.94,-12.16,2.71
8.15,2.75,-8.28,0.75
8.199,2.28,-8.36,-1.1
8.258,0.86,-11.02,0.63
8.294,0.71,-8.75,0.94
8.36,0.47,-10.4,-0.16
8.396,-0.86,-9.34,-0.47
8.456,-1.92,-9.34,-1.14
8.51,-0.78,-10.04,-0.27
8.563,-0.31,-9.89,-0.51
8.616,-1.22,-10.43,-0.31
8.667,1.29,-12.12,0.75
8.715,2.67,-15.46,1.02
8.752,2.31,-8.9,1.41
8.82,6.2,-11.34,-1.33
8.877,0.67,-11.22,-1.1
8.93,0.04,-7.45,-1.14
8.979,1.88,-8.67,-3.02
9.013,0.31,-7.65,-2.94
9.068,-0.47,-5.57,-3.73
9.116,0.67,-7.41,-3.26
9.173,1.06,-10.59,-4.04
9.231,1.37,-10.24,-4.43
9.261,-0.12,-9.85,-7.3
9.352,3.33,-9.38,-5.88
9.378,5.1,-17.61,4.86
9.42,2.28,-6.12,1.1
9.474,1.57,-5.81,-1.53
9.531,2.24,-13.02,2.39
9.577,0.16,-9.61,0.39
9.637,1.33,-8.79,0.04
9.688,-0.47,-8.98,-0.16
9.74,-1.77,-10.67,-0.43
9.775,-0.78,-10.24,-0.55
9.827,-0.43,-10,-0.98
9.879,-2.04,-10.63,-0.98
9.976,-0.27,-11.81,0.82
9.984,3.22,-13.02,-0.2
10.044,2.86,-10.32,2.35
10.099,4.39,-13.02,-0.47
10.151,2.39,-11.14,-0.75
10.2,0.94,-8.98,-1.96
10.233,1.1,-7.41,-2.51
10.29,0.98,-6.86,-1.96
10.342,0.51,-5.69,-3.3
10.404,0.71,-6.67,-3.18
10.449,1.73,-9.61,-3.77
10.505,1.49,-11.73,-3.61
10.621,0.24,-13.1,-7.65
10.632,0.63,-7.85,-6.24
10.649,5.65,-16.95,2
10.698,3.33,-8.67,2.24
10.744,0.55,-5.81,-0.51
10.804,1.77,-11.45,0.59
10.849,1.53,-9.06,0.98
10.902,-0.04,-9.26,-0.24
10.955,0.47,-9.34,0.04
11.009,-1.22,-9.73,-0.51
11.055,-0.35,-9.69,0.24
11.112,0.12,-9.92,-0.04
11.163,-0.67,-10.04,0.51
11.215,-0.63,-12.04,-0.35
11.304,0.47,-12.4,0
11.315,3.3,-15.1,2.9
11.36,2.35,-9.06,0.16
11.41,6.39,-12.67,0.12
11.464,0.27,-9.34,-1.69
11.513,0.12,-8.28,-1.57
11.566,1.29,-8.24,-2.59
11.62,0.39,-6.9,-3.06
11.663,0.12,-5.57,-3.53
11.938,0.82,-8.16,-3.73
11.977,0.2,-7.69,-6.9
12.034,1.26,-5.26,-0.27
12.085,0.63,-8.47,-0.47
12.139,3.1,-11.41,1.92
12.169,0.24,-9.81,0.43
12.224,0.94,-8.98,0.39
12.277,-0.63,-9.57,-0.43
12.328,-1.92,-9.38,-0.16
12.388,-0.31,-10.36,-0.31
12.439,0.51,-10.24,-0.67
12.492,-2.12,-10.43,-1.45
12.578,0.04,-12.04,0.94
12.589,1.69,-14.55,2.2
12.634,2.9,-9.57,1.96
12.683,5.88,-11.38,-0.63
12.74,2.24,-11.18,-0.08
12.793,-0.31,-8.83,-2.28
12.844,1.41,-7.37,-1.77
12.904,1.53,-7.61,-2.55
12.957,0.86,-5.53,-3.69
13.006,0.94,-6.55,-2.94
13.039,1.18,-10.16,-4
13.097,1.06,-10.9,-4.47
13.158,1.14,-12,-7.92
13.228,1.33,-8.67,-6.16
13.248,5.22,-20.01,0.9
13.296,3.77,-10.24,1.33
13.347,1.22,-5.18,0.59
13.411,0.75,-8.16,-0.63
13.467,3.06,-11.1,2.59
13.495,-0.75,-9.18,0.24
13.551,1.61,-9.06,0.27
13.6,-0.63,-9.73,-0.35
13.66,-0.75,-9.3,-0.35
13.711,-0.31,-10.43,-0.16
13.767,-0.27,-10.24,-0.27
13.909,3.22,-14.4,1.8
13.966,3.57,-9.65,0.71
