NAME:run_4_2.csv,,,,
EXPIRAMENT TIME:,Thu Jun 08 14:16:18 GMT+03:00 2023,,,
ACTIVITY TYPE:,Run,,,
COUNT OF ACTUAL STEPS::,130,,,
,,,,
TIME,ACCX,ACCY,ACCZ,
0,10.32,4.08,1.29,1282
0.01,3.69,0.43,0.59,1283
0.02,4.35,0.31,1.69,1284
0.03,19.73,2.28,3.61,1285
0.04,10.98,4.75,0.43,1286
0.05,3.33,1.65,7.1,1287
0.06,4.9,1.02,4.55,1288
0.07,20.01,5.26,5.92,1289
0.08,8.32,3.49,1.26,1290
0.09,1.14,0.24,1.84,1291
0.1,11.22,4.28,7.88,1292
0.11,20.01,2.59,-3.41,1293
0.12,6.12,4.2,-3.3,1294
0.13,1.53,-1.14,4.16,1295
0.14,7.14,2.08,4.35,1296
0.15,20.01,4.47,2.43,1297
0.16,12.71,1.96,-5.45,1298
0.17,1.69,-0.24,-0.75,1299
0.18,9.57,0.43,5.88,1300
0.19,20.01,4.24,2.24,1301
0.2,8.75,4.12,-0.43,1302
0.21,1.1,2.43,4.28,1303
0.22,12.98,6.32,5.18,1304
0.23,18.67,6.71,1.77,1305
0.24,8.67,-0.71,2.71,1306
0.25,2.43,-1.53,2.51,1307
0.26,15.93,6.59,1.49,1308
0.27,13.3,1.8,2.51,1309
0.28,2.2,0.2,0.51,1310
0.29,3.77,0.75,5.14,1311
0.3,15.65,-5.53,4.79,1312
0.31,16.99,4.79,0.04,1313
0.32,8.55,0.16,9.96,1314
0.33,2.16,-0.24,0.67,1315
0.34,17.22,-0.67,7.69,1316
0.35,19.93,1.22,2.79,1317
0.36,6.83,4.51,-0.47,1318
0.37,1.88,0.27,3.49,1319
0.38,19.89,5.14,9.06,1320
0.39,13.22,2.82,-0.86,1321
0.4,3.73,2.55,0.82,1322
0.41,4.39,1.22,6.55,1323
0.42,7.88,8.04,3.73,1324
0.43,13.18,10,20.01,1325
0.44,1.84,0.82,2.98,1326
0.45,20.01,3.73,0.43,1327
0.46,19.14,12.71,-1.61,1328
0.47,1.26,6.35,-2.59,1329
0.48,2.67,2.94,1.06,1330
0.49,2.79,-0.04,2.79,1331
0.5,17.53,7.1,1.02,1332
0.51,7.37,10.79,7.49,1333
0.52,2.79,9.85,-3.49,1334
0.53,3.8,-8.12,3.3,1335
0.54,12.28,20.01,-1.33,1336
0.55,17.61,18.01,-8.43,1337
0.56,-0.2,19.89,14.75,1338
0.57,4.67,5.37,-1.14,1339
0.58,0.63,6.59,4.75,1340
0.59,16.12,10.4,13.81,1341
0.6,6,12.91,5.33,1342
0.61,2.71,5.92,-1.65,1343
0.62,3.1,4.55,1.18,1344
0.63,9.34,16.75,4.82,1345
0.64,8,15.89,3.88,1346
0.65,1.29,3.22,0.86,1347
0.66,1.92,2.24,5.33,1348
0.67,3.73,7.88,-3.3,1349
0.68,4.71,14.4,5.45,1350
0.69,0.39,14.16,-0.94,1351
0.7,3.33,3.65,2.47,1352
0.71,16.2,18.79,2.39,1353
0.72,5.3,10.51,4.12,1354
0.73,2.28,3.8,-0.12,1355
0.74,4.79,12.83,6.94,1356
0.75,7.96,15.97,10.28,1357
0.76,4.75,2.28,4.98,1358
0.77,0.9,7.41,2.98,1359
0.78,5.49,5.33,1.41,1360
0.79,3.8,17.18,10.79,1361
0.8,-0.71,2.79,9.38,1362
0.81,1.8,0.75,-0.35,1363
0.82,6.63,12.59,7.34,1364
0.83,5.57,15.65,5.49,1365
0.84,0.31,7.92,1.1,1366
0.85,2.16,7.3,1.22,1367
0.86,8.2,9.81,5.37,1368
0.87,3.92,11.38,2.75,1369
0.88,0.31,4.12,6.47,1370
0.89,3.49,-14.16,19.26,1371
0.9,2.28,17.46,10.79,1372
0.91,6.12,7.06,-3.26,1373
0.92,2.24,2.51,1.88,1374
0.93,5.14,12.28,12.63,1375
0.94,7.34,16.51,9.38,1376
0.95,-1.69,5.77,5.26,1377
0.96,2.16,5.84,10.51,1378
0.97,4.71,13.73,4.94,1379
0.98,10.63,13.45,7.41,1380
0.99,2.86,5.81,4.2,1381
1,7.85,10.71,6.67,1382
1.01,11.02,15.77,-7.34,1383
1.02,5.49,7.88,6.32,1384
1.03,1.96,2.51,0.67,1385
1.04,-0.86,13.77,8.32,1386
1.05,14.2,18.28,2.98,1387
1.06,3.61,7.65,2.82,1388
1.07,1.84,6.51,1.45,1389
1.08,4.31,10.83,11.92,1390
1.09,0.67,9.45,10.87,1391
1.1,4.82,15.49,7.77,1392
1.11,2.08,4.9,0.08,1393
1.12,2.71,2.59,3.92,1394
1.13,7.1,4.67,4.47,1395
1.14,9.34,13.73,4.79,1396
1.15,6.71,10.36,2.35,1397
