NAME:walk_1_2.csv,,,,
EXPIRAMENT TIME:,Thu Jun 08 14:23:22 GMT+03:00 2023,,,
ACTIVITY TYPE:,Walk,,,
COUNT OF ACTUAL STEPS::,85,,,
,,,,
TIME,ACCX,ACCY,ACCZ,
0,9.92,-1.73,0.63,2128
0.01,11.92,-1.49,-1.92,2129
0.02,8.67,-1.53,-1.41,2130
0.03,9.14,0.31,0.51,2131
0.04,8.87,0.04,-0.16,2132
0.05,7.3,-5.14,2.71,2133
0.06,12.16,-1.29,-4.94,2134
0.07,4.43,-3.26,2.16,2135
0.08,14.2,-2.24,7.65,2136
0.09,14.44,-1.77,-0.78,2137
0.1,12.98,-3.65,-2.9,2138
0.11,11.81,-2.9,-4.9,2139
0.12,9.14,-3.77,-0.63,2140
0.13,6.39,-2.16,-0.9,2141
0.14,8.04,-0.51,2.04,2142
0.15,8.47,-1.06,-1.57,2143
0.16,7.14,-4.82,-0.51,2144
0.17,10.4,-0.08,2.16,2145
0.18,9.96,-3.61,1.18,2146
0.19,9.61,-1.77,5.33,2147
0.2,12.43,-1.88,-1.22,2148
0.21,10.98,-0.63,-2.67,2149
0.22,10.94,0.2,-1.92,2150
0.23,8.36,0,-0.86,2151
0.24,7.57,-1.33,-1.92,2152
0.25,7.61,-3.3,0.94,2153
0.26,9.14,-0.12,1.53,2154
0.27,11.92,-5.65,2.63,2155
0.28,6.9,-3.14,4.31,2156
0.29,16.44,-9.85,0.31,2157
0.3,14.2,-4.08,-3.65,2158
0.31,8.24,-2.12,0.71,2159
0.32,8.75,-1.18,-0.51,2160
0.33,7.34,-1.22,-0.86,2161
0.34,9.77,-2.86,4.04,2162
0.35,8.43,-1.22,1.06,2163
0.36,8.63,-3.73,2.43,2164
0.37,12.28,-2.24,6.86,2165
0.38,11.65,-2.71,-3.33,2166
0.39,10.87,-1.45,-1.02,2167
0.4,10.32,-0.08,0,2168
0.41,9.34,-0.78,0.24,2169
0.42,6.59,-1.92,-0.04,2170
0.43,7.81,-2.08,1.18,2171
0.44,7.57,-0.67,0.78,2172
0.45,10.75,-4.24,4.59,2173
0.46,9.18,-3.61,1.61,2174
0.47,16.95,-8.12,0.43,2175
0.48,13.69,-4.71,-0.67,2176
0.49,9.77,0.12,1.22,2177
0.5,8.71,-1.1,0.16,2178
0.51,10.36,-4.08,-1.8,2179
0.52,7.37,-3.14,0.98,2180
0.53,9.02,0.75,1.88,2181
0.54,7.81,-2.47,1.92,2182
0.55,14.79,-2.79,3.26,2183
0.56,14.59,0.39,-5.22,2184
0.57,9.77,-2.9,0.24,2185
0.58,7.61,-0.71,-2.16,2186
0.59,9.1,0.27,0.43,2187
0.6,8.39,-0.24,1.45,2188
0.61,12.4,-5.57,3.22,2189
0.62,-1.37,6.16,5.45,2190
0.63,15.49,-8.2,0.39,2191
0.64,11.18,-1.49,-2.47,2192
0.65,10.87,0.16,-2.47,2193
0.66,9.65,0.71,-0.59,2194
0.67,8.83,-2.59,-0.27,2195
0.68,6.67,-5.33,1.02,2196
0.69,8.51,-1.61,3.96,2197
0.7,14.59,-6.39,-0.12,2198
0.71,10.87,-1.88,-2.12,2199
0.72,9.45,-0.71,-1.65,2200
0.73,9.45,-0.51,-0.67,2201
0.74,8,-1.14,0.94,2202
0.75,5.53,-3.26,-1.06,2203
0.76,11.81,-2.63,0.43,2204
0.77,8.79,-6.55,4.59,2205
0.78,13.42,-2.59,-0.67,2206
0.79,10.87,-0.31,-0.98,2207
0.8,9.14,-0.86,-0.47,2208
0.81,7.85,-1.37,-1.1,2209
0.82,8,-4.98,0.78,2210
0.83,11.92,-3.26,-1.14,2211
0.84,13.93,-5.33,-0.27,2212
0.85,12.36,-2.51,-2.08,2213
0.86,9.1,-0.27,-1.49,2214
0.87,9.1,-0.67,-1.45,2215
0.88,9.38,-0.51,-0.08,2216
0.89,12.12,-4.59,1.06,2217
0.9,8.24,-3.73,3.69,2218
0.91,9.77,0.47,-1.8,2219
0.92,10.32,-2.79,-0.67,2220
0.93,7.37,-1.29,-1.65,2221
0.94,9.02,-1.57,0.59,2222
0.95,12.2,-0.9,-1.73,2223
0.96,4.71,0.2,-1.37,2224
0.97,12.87,-3.14,-2.35,2225
0.98,10.16,0.16,-1.88,2226
0.99,9.41,-0.16,-0.86,2227
1,9.3,-0.59,-0.47,2228
1.01,10.71,-2.75,0.27,2229
1.02,12.2,-2.28,-1.29,2230
1.03,9.18,2.35,-1.57,2231
1.04,8.87,-0.86,-2.04,2232
1.05,9.26,-0.98,-0.2,2233
1.06,11.77,-6.75,2.04,2234
1.07,9.77,2.55,4.94,2235
1.08,12.79,-0.82,-4.24,2236
1.09,8.83,-1.57,-1.49,2237
1.1,8.47,-0.47,-0.94,2238
1.11,6.32,-2.71,-0.75,2239
1.12,10.36,-2.51,2.59,2240
1.13,12.71,0,-4.12,2241
1.14,9.02,-0.35,-0.31,2242
1.15,10.12,-1.37,-1.14,2243
1.16,6.35,-2.67,0.12,2244
1.17,11.69,-2.9,-2.35,2245
1.18,9.22,1.29,-1.96,2246
1.19,10.71,-2.35,-0.55,2247
1.2,10.4,-1.73,-0.94,2248
1.21,10.2,-1.45,-0.86,2249
1.22,10.16,-1.41,-0.98,2250
1.23,10.32,-1.37,-0.98,2251
1.24,10.2,-1.45,-0.98,2252
1.25,10.16,-1.37,-1.14,2253
