"NAME:walk_5_1.csv"
"EXPIRAMENT TIME:","Thu Jun 08 14:40:43 GMT+03:00 2023"
"ACTIVITY TYPE:","Walk"
"COUNT OF ACTUAL STEPS::","110"

"TIME","ACCX","ACCY","ACCZ"
"0.0","7.61","-4.94","-2.98","1127"
"0.01","7.73","-6.00","-2.86","1128"
"0.02","9.26","0.47","-4.20","1129"
"0.03","6.71","-0.27","-5.69","1130"
"0.04","4.67","-3.18","-2.71","1131"
"0.05","8.98","-0.27","-7.18","1132"
"0.060000000000000005","12.36","-7.88","-3.22","1133"
"0.07","6.32","2.24","-3.73","1134"
"0.08","6.28","-0.08","-2.51","1135"
"0.09","5.88","-0.82","-3.73","1136"
"0.09999999999999999","8.47","-6.39","-3.06","1137"
"0.10999999999999999","9.22","-5.53","-6.51","1138"
"0.11999999999999998","11.49","-1.06","-6.63","1139"
"0.12999999999999998","8.28","-3.14","-4.43","1140"
"0.13999999999999999","5.45","-0.24","-4.86","1141"
"0.15","7.57","-3.14","-6.86","1142"
"0.16","6.39","-8.55","-2.82","1143"
"0.17","9.06","2.75","-5.92","1144"
"0.18000000000000002","9.96","-3.65","-6.12","1145"
"0.19000000000000003","5.41","1.06","-4.79","1146"
"0.20000000000000004","5.73","-2.51","-3.53","1147"
"0.21000000000000005","7.65","-3.53","-8.79","1148"
"0.22000000000000006","4.20","0.31","-4.98","1149"
"0.23000000000000007","10.59","-3.84","-5.57","1150"
"0.24000000000000007","12.16","-4.12","-7.96","1151"
"0.25000000000000006","6.94","-1.53","-3.69","1152"
"0.26000000000000006","5.73","-1.14","-3.06","1153"
"0.2700000000000001","7.10","-1.45","-6.20","1154"
"0.2800000000000001","8.83","-8.20","-5.57","1155"
"0.2900000000000001","10.71","0.90","-3.84","1156"
"0.3000000000000001","8.51","-5.33","-3.65","1157"
"0.3100000000000001","7.22","-1.69","-3.02","1158"
"0.3200000000000001","10.00","-3.45","-6.98","1159"
"0.3300000000000001","7.96","-6.59","-4.35","1160"
"0.34000000000000014","10.79","-1.14","-4.67","1161"
"0.35000000000000014","9.45","-3.96","-3.37","1162"
"0.36000000000000015","7.77","-1.45","-4.75","1163"
"0.37000000000000016","12.40","-5.06","-8.59","1164"
"0.38000000000000017","10.28","-4.04","-5.26","1165"
"0.3900000000000002","10.00","-4.43","-5.10","1166"
"0.4000000000000002","9.02","-2.67","-4.31","1167"
"0.4100000000000002","6.00","-2.24","-5.41","1168"
"0.4200000000000002","6.55","-3.26","-8.20","1169"
"0.4300000000000002","8.83","-4.28","-4.16","1170"
"0.4400000000000002","6.86","-2.00","-4.75","1171"
"0.45000000000000023","7.14","-3.61","-6.39","1172"
"0.46000000000000024","7.65","-5.37","-2.00","1173"
"0.47000000000000025","9.22","1.57","-3.61","1174"
"0.48000000000000026","10.32","-5.88","-3.80","1175"
"0.49000000000000027","6.63","-1.14","-3.73","1176"
"0.5000000000000002","6.71","-1.26","-3.49","1177"
"0.5100000000000002","7.81","-5.92","-3.18","1178"
"0.5200000000000002","7.18","5.14","-4.35","1179"
"0.5300000000000002","8.79","-2.86","-3.22","1180"
"0.5400000000000003","6.79","-1.88","-3.26","1181"
"0.5500000000000003","2.98","2.16","-6.67","1182"
"0.5600000000000003","10.59","-2.79","-3.65","1183"
"0.5700000000000003","8.55","0.86","-4.39","1184"
"0.5800000000000003","8.28","-3.14","-4.39","1185"
"0.5900000000000003","9.02","-3.30","-4.98","1186"
"0.6000000000000003","10.00","-11.96","-4.98","1187"
"0.6100000000000003","11.53","-1.96","-3.80","1188"
"0.6200000000000003","10.51","-1.84","-4.00","1189"
"0.6300000000000003","8.08","-1.80","-2.08","1190"
"0.6400000000000003","6.00","-0.43","-3.02","1191"
"0.6500000000000004","8.39","-1.88","-4.79","1192"
"0.6600000000000004","8.28","-2.75","-2.98","1193"
"0.6700000000000004","9.14","-6.12","-5.37","1194"
"0.6800000000000004","9.85","0.43","-6.35","1195"
"0.6900000000000004","11.53","-2.67","-4.39","1196"
"0.7000000000000004","8.90","-2.43","-4.08","1197"
"0.7100000000000004","5.30","-0.67","-3.14","1198"
"0.7200000000000004","7.61","-0.86","-5.81","1199"
"0.7300000000000004","8.67","-0.71","-9.30","1200"
"0.7400000000000004","10.71","-8.71","-8.36","1201"
"0.7500000000000004","10.67","-1.80","-5.92","1202"
"0.7600000000000005","6.79","1.06","-2.31","1203"
"0.7700000000000005","7.14","-0.82","-4.71","1204"
"0.7800000000000005","6.28","-0.82","-5.10","1205"
"0.7900000000000005","9.89","-3.18","-7.02","1206"
"0.8000000000000005","9.61","-3.49","-6.43","1207"
"0.8100000000000005","6.08","-0.71","-4.47","1208"
"0.8200000000000005","6.71","-2.51","-4.16","1209"
"0.8300000000000005","7.45","-2.75","-7.26","1210"
"0.8400000000000005","8.36","-0.86","-8.98","1211"
"0.8500000000000005","10.98","-1.57","-5.22","1212"
"0.8600000000000005","8.20","-2.12","-5.53","1213"
"0.8700000000000006","7.14","-3.26","-3.18","1214"
"0.8800000000000006","9.92","-2.35","-3.96","1215"
"0.8900000000000006","7.85","-1.33","-6.43","1216"
"0.9000000000000006","5.53","-0.67","-4.51","1217"
"0.9100000000000006","6.79","0.27","-8.39","1218"
"0.9200000000000006","10.47","-10.36","-8.04","1219"
"0.9300000000000006","10.55","-1.37","-8.08","1220"
"0.9400000000000006","6.43","-1.29","-4.55","1221"
