run_4_1,NAME:,,
08/06/2023 10:38,EXPERIMENT TIME:,,
Walking,ACTIVITY TYPE:,,
130,COUNT OF ACTUAL STEPS,,
,,,
ACC Z,ACC Y,ACC X,Time [sec]
1.43,-9.69,-2.28,0.076
1.75,-10.45,-3.24,0.204
1.75,-10.45,-3.24,0.299
1.75,-10.45,-3.24,0.4
1.75,-10.45,-3.24,0.501
1.75,-10.45,-3.24,0.567
1.75,-10.45,-3.24,0.628
1.75,-10.45,-3.24,0.687
1.75,-10.45,-3.24,0.756
2.34,-9.1,-4.12,0.822
2.38,-8.94,-4.64,0.926
1.78,-7.22,-4.03,0.991
1.78,-7.22,-4.03,1.055
1.78,-7.22,-4.03,1.163
1.78,-7.22,-4.03,1.272
1.78,-7.22,-4.03,1.342
1.78,-7.22,-4.03,1.408
1.78,-7.22,-4.03,1.476
1.78,-7.22,-4.03,1.545
-0.67,-5.92,-2.09,1.653
-1.8,-4.62,-1.39,1.726
2.68,-8.39,-2.28,1.79
2.68,-8.39,-2.28,1.896
2.68,-8.39,-2.28,1.963
2.68,-8.39,-2.28,2.035
2.68,-8.39,-2.28,2.143
2.68,-8.39,-2.28,2.209
2.68,-8.39,-2.28,2.277
2.68,-8.39,-2.28,2.387
5.03,-6.75,-2.03,2.456
6.09,-5.6,-1.7,2.526
7.36,-2.9,-2.84,2.627
7.36,-2.9,-2.84,2.695
7.36,-2.9,-2.84,2.804
7.36,-2.9,-2.84,2.868
7.36,-2.9,-2.84,2.973
7.36,-2.9,-2.84,2.983
7.36,-2.9,-2.84,3.125
7.36,-2.9,-2.84,3.196
6.56,-3.09,-4.41,3.263
6.3,-2.17,-2.64,3.371
5.71,-2.26,-1.7,3.438
5.71,-2.26,-1.7,3.504
5.71,-2.26,-1.7,3.615
5.71,-2.26,-1.7,3.688
5.71,-2.26,-1.7,3.755
5.71,-2.26,-1.7,3.866
5.71,-2.26,-1.7,3.934
5.71,-2.26,-1.7,4.007
5.6,-1.4,-1.71,4.118
5.23,-2.55,-4.09,4.125
-2.84,-4.09,-1.92,4.239
-2.84,-4.09,-1.92,4.319
-2.84,-4.09,-1.92,4.431
-2.84,-4.09,-1.92,4.5
-2.84,-4.09,-1.92,4.569
-2.84,-4.09,-1.92,4.634
-2.84,-4.09,-1.92,4.745
-2.84,-4.09,-1.92,4.814
-0.78,-6.94,-3.15,4.884
-1.58,-6.28,-2.56,5.001
5.41,-4.08,-3.02,5.071
5.41,-4.08,-3.02,5.14
5.41,-4.08,-3.02,5.212
5.41,-4.08,-3.02,5.282
5.41,-4.08,-3.02,5.353
5.41,-4.08,-3.02,5.466
5.41,-4.08,-3.02,5.539
5.41,-4.08,-3.02,5.653
4.71,-2.63,-0.95,5.663
7,-2.51,-1.36,5.774
6.84,-3.13,-2.51,5.845
6.84,-3.13,-2.51,5.957
6.84,-3.13,-2.51,6.029
6.84,-3.13,-2.51,6.103
6.84,-3.13,-2.51,6.18
6.84,-3.13,-2.51,6.299
6.84,-3.13,-2.51,6.374
6.84,-3.13,-2.51,6.447
6.56,-2.92,-2.24,6.515
6.85,-3.24,-3.39,6.586
5.95,-4.69,-2.94,6.658
5.95,-4.69,-2.94,6.774
5.95,-4.69,-2.94,6.848
5.95,-4.69,-2.94,6.925
5.95,-4.69,-2.94,6.999
5.95,-4.69,-2.94,7.115
5.95,-4.69,-2.94,7.124
5.95,-4.69,-2.94,7.241
5.52,-4.42,-3.83,7.31
6.77,-9.31,-3.44,7.42
3.96,-10.81,-3.71,7.488
3.96,-10.81,-3.71,7.565
3.96,-10.81,-3.71,7.638
3.96,-10.81,-3.71,7.712
3.96,-10.81,-3.71,7.828
3.96,-10.81,-3.71,7.901
3.96,-10.81,-3.71,7.971
3.96,-10.81,-3.71,8.085
9.27,-17.85,-3.96,8.156
7.41,-20.01,-2.72,8.229
7.14,-15.51,-2.31,8.298
7.14,-15.51,-2.31,8.371
7.14,-15.51,-2.31,8.444
7.14,-15.51,-2.31,8.558
7.14,-15.51,-2.31,8.633
7.14,-15.51,-2.31,8.703
7.14,-15.51,-2.31,8.812
7.14,-15.51,-2.31,8.886
2.64,-15.51,-2.82,8.952
1.1,-12.98,-5.36,9.021
0.51,-9.98,-4.2,9.134
0.51,-9.98,-4.2,9.204
0.51,-9.98,-4.2,9.272
0.51,-9.98,-4.2,9.349
0.51,-9.98,-4.2,9.422
0.51,-9.98,-4.2,9.532
0.51,-9.98,-4.2,9.598
0.51,-9.98,-4.2,9.67
0.82,-8.73,-4.12,9.742
0.1,-3.3,-1.52,9.818
1.29,-3.06,-2.37,9.886
1.29,-3.06,-2.37,9.993
1.29,-3.06,-2.37,10.066
1.29,-3.06,-2.37,10.182
1.29,-3.06,-2.37,10.253
1.29,-3.06,-2.37,10.318
1.29,-3.06,-2.37,10.388
1.29,-3.06,-2.37,10.502
