walk_2_2,NAME:,,
08/06/2023 10:46,EXPERIMENT TIME:,,
Walking,ACTIVITY TYPE:,,
85,COUNT OF ACTUAL STEPS,,
,,,
ACC Z,ACC Y,ACC X,Time [sec]
-11.55,-0.43,-0.41,0.013
-11.1,-1.31,0.48,0.129
-11.01,-1.46,1.16,0.212
-10.8,-1.99,1.63,0.306
-10.8,-1.99,1.63,0.377
-10.8,-1.99,1.63,0.467
-10.8,-1.99,1.63,0.515
-10.8,-1.99,1.63,0.599
-10.8,-1.99,1.63,0.677
-10.8,-1.99,1.63,0.741
-10.8,-1.99,1.63,0.839
-10.16,-2.25,0.81,0.912
-10.4,-2.85,0.16,0.998
-10.62,-2.8,0.13,1.087
-10.62,-2.8,0.13,1.163
-10.62,-2.8,0.13,1.245
-10.62,-2.8,0.13,1.338
-10.62,-2.8,0.13,1.409
-10.62,-2.8,0.13,1.492
-10.62,-2.8,0.13,1.564
-10.62,-2.8,0.13,1.642
-11.75,-2.21,0.68,1.733
-10.76,-2.14,1.19,1.812
-10.54,-1.66,1.18,1.892
-10.54,-1.66,1.18,1.976
-10.54,-1.66,1.18,2.053
-10.54,-1.66,1.18,2.13
-10.54,-1.66,1.18,2.211
-10.54,-1.66,1.18,2.289
-10.54,-1.66,1.18,2.367
-10.54,-1.66,1.18,2.473
-10.63,-2.12,1.31,2.544
-11.44,-1.57,0.82,2.62
-11.49,-1.35,0.18,2.702
-11.49,-1.35,0.18,2.777
-11.49,-1.35,0.18,2.867
-11.49,-1.35,0.18,2.951
-11.49,-1.35,0.18,3.029
-11.49,-1.35,0.18,3.126
-11.49,-1.35,0.18,3.2
-11.49,-1.35,0.18,3.273
-11.05,-0.54,0.22,3.362
-10.36,-0.54,1.19,3.436
-10.42,-0.54,2,3.508
-10.42,-0.54,2,3.582
-10.42,-0.54,2,3.662
-10.42,-0.54,2,3.771
-10.42,-0.54,2,3.843
-10.42,-0.54,2,3.918
-10.42,-0.54,2,4.009
-10.42,-0.54,2,4.086
-10.43,-0.09,1.11,4.166
-11.21,0.1,0.13,4.246
-11.48,0.04,-0.71,4.333
-11.48,0.04,-0.71,4.41
-11.48,0.04,-0.71,4.496
-11.48,0.04,-0.71,4.575
-11.48,0.04,-0.71,4.652
-11.48,0.04,-0.71,4.726
-11.48,0.04,-0.71,4.803
-11.48,0.04,-0.71,4.895
-12.25,-0.68,-0.03,4.983
-12.28,0.17,0.39,5.057
-13.15,-1.4,1.95,5.137
-13.15,-1.4,1.95,5.214
-13.15,-1.4,1.95,5.299
-13.15,-1.4,1.95,5.377
-13.15,-1.4,1.95,5.455
-13.15,-1.4,1.95,5.539
-13.15,-1.4,1.95,5.639
-13.15,-1.4,1.95,5.715
-12.76,-0.63,1.29,5.796
-13.44,-2.56,1.1,5.878
-12.04,-2.08,-0.17,5.956
-12.04,-2.08,-0.17,6.034
-12.04,-2.08,-0.17,6.112
-12.04,-2.08,-0.17,6.2
-12.04,-2.08,-0.17,6.279
-12.04,-2.08,-0.17,6.363
-12.04,-2.08,-0.17,6.444
-12.04,-2.08,-0.17,6.521
-13.18,-3.75,1.28,6.596
-11.11,-3.15,1.37,6.676
-11.4,-2.31,1.67,6.753
-11.4,-2.31,1.67,6.832
-11.4,-2.31,1.67,6.919
-11.4,-2.31,1.67,6.996
-11.4,-2.31,1.67,7.081
-11.4,-2.31,1.67,7.159
-11.4,-2.31,1.67,7.236
-11.4,-2.31,1.67,7.324
-10.6,-0.95,0.58,7.404
-11.38,-0.34,0.46,7.502
-10.97,0.43,0.77,7.576
-10.97,0.43,0.77,7.657
-10.97,0.43,0.77,7.735
-10.97,0.43,0.77,7.813
-10.97,0.43,0.77,7.901
-10.97,0.43,0.77,7.98
-10.97,0.43,0.77,8.06
-10.97,0.43,0.77,8.131
-10.08,0.59,0.81,8.206
-10.53,0.99,0.46,8.29
-10.94,0.93,-0.08,8.369
-10.94,0.93,-0.08,8.449
-10.94,0.93,-0.08,8.535
-10.94,0.93,-0.08,8.611
-10.94,0.93,-0.08,8.691
-10.94,0.93,-0.08,8.77
-10.94,0.93,-0.08,8.866
-10.94,0.93,-0.08,8.946
-10.92,0.77,0.27,9.026
-10.85,0.64,0.77,9.116
-11.56,0.5,1.12,9.193
-11.56,0.5,1.12,9.274
-11.56,0.5,1.12,9.348
-11.56,0.5,1.12,9.433
-11.56,0.5,1.12,9.507
-11.56,0.5,1.12,9.579
-11.56,0.5,1.12,9.661
-11.56,0.5,1.12,9.741
-12.02,0.56,0.71,9.815
-12.51,0.54,0.31,9.895
-13.1,-0.67,-0.22,9.972
-13.1,-0.67,-0.22,10.076
-13.1,-0.67,-0.22,10.159
-13.1,-0.67,-0.22,10.232
-13.1,-0.67,-0.22,10.317
-13.1,-0.67,-0.22,10.421
-13.1,-0.67,-0.22,10.497
-13.1,-0.67,-0.22,10.577
-13.3,0.14,0.24,10.658
-13.56,-1.52,1.54,10.734
-11.6,-0.97,1.67,10.812
-11.6,-0.97,1.67,10.898
-11.6,-0.97,1.67,10.986
-11.6,-0.97,1.67,11.06
-11.6,-0.97,1.67,11.156
-11.6,-0.97,1.67,11.23
-11.6,-0.97,1.67,11.303
-11.6,-0.97,1.67,11.377
-10.68,-2.68,1.56,11.455
-10.6,-1.56,0.67,11.53
-10.64,-1.7,0.67,11.621
-10.64,-1.7,0.67,11.694
-10.64,-1.7,0.67,11.779
-10.64,-1.7,0.67,11.864
-10.64,-1.7,0.67,11.939
-10.64,-1.7,0.67,12.021
-10.64,-1.7,0.67,12.097
-10.64,-1.7,0.67,12.178
-11.41,-0.86,0.64,12.257
-10.28,-0.89,0.64,12.336
-10.6,-0.38,0.34,12.425
-10.6,-0.38,0.34,12.527
-10.6,-0.38,0.34,12.605
-10.6,-0.38,0.34,12.682
-10.6,-0.38,0.34,12.769
-10.6,-0.38,0.34,12.844
-10.6,-0.38,0.34,12.921
-10.6,-0.38,0.34,12.997
-10.41,0.12,0.01,13.088
-10.64,-0.37,0.71,13.172
-10.75,0.04,1.31,13.253
-10.75,0.04,1.31,13.329
-10.75,0.04,1.31,13.382
-10.75,0.04,1.31,13.476
-10.75,0.04,1.31,13.555
-10.75,0.04,1.31,13.658
-10.75,0.04,1.31,13.737
-10.75,0.04,1.31,13.815
-10.79,-0.25,1.36,13.898
-11.14,0.52,0.73,13.975
-12.09,0.5,0.84,14.051
-12.09,0.5,0.84,14.134
-12.09,0.5,0.84,14.218
-12.09,0.5,0.84,14.295
-12.09,0.5,0.84,14.374
-12.09,0.5,0.84,14.451
-12.09,0.5,0.84,14.537
-12.09,0.5,0.84,14.615
-12.36,0.42,1.75,14.696
-13.57,-0.76,2.96,14.797
-12.47,-3.06,2.94,14.882
-12.47,-3.06,2.94,14.96
-12.47,-3.06,2.94,15.039
-12.47,-3.06,2.94,15.117
-12.47,-3.06,2.94,15.194
-12.47,-3.06,2.94,15.276
-12.47,-3.06,2.94,15.356
-12.47,-3.06,2.94,15.43
-12.84,-4.55,2.35,15.507
-10.97,-3.96,1.57,15.594
-11.4,-2.86,1.63,15.666
-11.4,-2.86,1.63,15.742
-11.4,-2.86,1.63,15.828
-11.4,-2.86,1.63,15.929
-11.4,-2.86,1.63,16.015
-11.4,-2.86,1.63,16.077
-11.4,-2.86,1.63,16.177
-11.4,-2.86,1.63,16.259
-11.06,-2.05,1.37,16.341
-11.09,-1.86,1.1,16.418
-10.64,-0.99,0.52,16.499
-10.64,-0.99,0.52,16.579
-10.64,-0.99,0.52,16.658
-10.64,-0.99,0.52,16.739
-10.64,-0.99,0.52,16.816
-10.64,-0.99,0.52,16.901
-10.64,-0.99,0.52,16.978
-10.64,-0.99,0.52,17.059
-9.94,-0.37,0.97,17.141
-10.04,-0.2,1.05,17.22
-10.51,-0.09,1.31,17.299
-10.51,-0.09,1.31,17.38
-10.51,-0.09,1.31,17.469
-10.51,-0.09,1.31,17.55
-10.51,-0.09,1.31,17.629
-10.51,-0.09,1.31,17.709
-10.51,-0.09,1.31,17.785
-10.51,-0.09,1.31,17.865
-11.01,0.04,0.52,17.92
-11.62,-0.29,0.03,18.026
-11.91,-0.17,-0.54,18.109
-11.91,-0.17,-0.54,18.198
-11.91,-0.17,-0.54,18.277
-11.91,-0.17,-0.54,18.361
-11.91,-0.17,-0.54,18.417
-11.91,-0.17,-0.54,18.528
-11.91,-0.17,-0.54,18.613
-11.91,-0.17,-0.54,18.695
-12.84,-0.63,-0.12,18.778
-13.96,-1.05,0.71,18.852
-13.62,-2.89,1.27,18.929
-13.62,-2.89,1.27,19.018
-13.62,-2.89,1.27,19.106
-13.62,-2.89,1.27,19.188
-13.62,-2.89,1.27,19.507
-13.62,-2.89,1.27,19.611
-13.62,-2.89,1.27,19.626
-13.62,-2.89,1.27,19.636
-13.38,-3.63,0.82,19.693
-11.72,-3.16,0.22,19.7
-12.09,-2.3,0.24,19.754
-12.09,-2.3,0.24,19.834
-12.09,-2.3,0.24,19.913
-12.09,-2.3,0.24,19.969
-12.09,-2.3,0.24,20.078
-12.09,-2.3,0.24,20.161
-12.09,-2.3,0.24,20.219
-12.09,-2.3,0.24,20.303
-11.74,-1.9,0.65,20.386
-11.75,-1.77,0.42,20.447
-11.09,-1.19,-0.17,20.528
-11.09,-1.19,-0.17,20.814
-11.09,-1.19,-0.17,21.012
-11.09,-1.19,-0.17,21.1
-11.09,-1.19,-0.17,21.109
-11.09,-1.19,-0.17,21.195
-11.09,-1.19,-0.17,21.246
-11.09,-1.19,-0.17,21.253
-9.62,-1.44,0.03,21.308
-9.48,-1.28,0.52,21.361
-10.28,-1.29,1.5,21.416
-10.28,-1.29,1.5,21.498
-10.28,-1.29,1.5,21.552
-10.28,-1.29,1.5,21.63
-10.28,-1.29,1.5,21.686
-10.28,-1.29,1.5,21.975
-10.28,-1.29,1.5,22.271
-10.28,-1.29,1.5,22.342
-11.64,-0.55,1.31,22.446
-12.45,-0.21,0.38,22.456
-13.25,-1.36,-0.05,22.462
-13.25,-1.36,-0.05,22.47
-13.25,-1.36,-0.05,22.48
-13.25,-1.36,-0.05,22.536
-13.25,-1.36,-0.05,22.619
-13.25,-1.36,-0.05,22.678
-13.25,-1.36,-0.05,22.757
-13.49,-0.58,0.25,22.809
-12.98,-2.03,1.33,22.911
-11.04,-1.48,1.16,22.968
-11.04,-1.48,1.16,23.069
-11.04,-1.48,1.16,23.187
-11.04,-1.48,1.16,23.261
-11.04,-1.48,1.16,23.343
-11.04,-1.48,1.16,23.401
-11.04,-1.48,1.16,23.482
-11.04,-1.48,1.16,23.541
-10.11,-2.41,1.18,23.624
-10.71,-1.73,0.85,23.71
-10.74,-1.18,0.72,23.797
-10.74,-1.18,0.72,23.887
-10.74,-1.18,0.72,23.971
-10.74,-1.18,0.72,24.028
-10.74,-1.18,0.72,24.087
-10.74,-1.18,0.72,24.171
-10.74,-1.18,0.72,24.278
-10.74,-1.18,0.72,24.365
-10.81,-1.43,0.51,24.45
-10.15,-1.03,0.05,24.536
-10.66,-0.89,-0.24,24.623
-10.66,-0.89,-0.24,24.712
-10.66,-0.89,-0.24,24.771
-10.66,-0.89,-0.24,24.857
-10.66,-0.89,-0.24,24.945
-10.66,-0.89,-0.24,25.034
-10.66,-0.89,-0.24,25.114
-10.66,-0.89,-0.24,25.178
-10.46,-0.95,0.41,25.261
-10.77,-0.75,0.93,25.349
-11.17,-0.73,1.57,25.41
-11.17,-0.73,1.57,25.528
-11.17,-0.73,1.57,25.615
-11.17,-0.73,1.57,25.673
-11.17,-0.73,1.57,25.784
-11.17,-0.73,1.57,25.85
-11.17,-0.73,1.57,25.954
-11.17,-0.73,1.57,26.014
-11.62,-0.01,0.58,26.099
-12,-0.08,0,26.19
-11.92,0.25,-0.42,26.248
-11.92,0.25,-0.42,26.336
-11.92,0.25,-0.42,26.396
-11.92,0.25,-0.42,26.479
-11.92,0.25,-0.42,26.565
-11.92,0.25,-0.42,26.627
-11.92,0.25,-0.42,26.711
-11.92,0.25,-0.42,26.794
-12.6,0,0.26,26.882
-12.3,0.5,0.9,26.942
-13.11,-1.12,2.38,27.024
-13.11,-1.12,2.38,27.109
-13.11,-1.12,2.38,27.199
-13.11,-1.12,2.38,27.292
-13.11,-1.12,2.38,27.381
-13.11,-1.12,2.38,27.439
-13.11,-1.12,2.38,27.524
-13.11,-1.12,2.38,27.615
-12.94,-0.78,1.16,27.702
-14.11,-2.14,0.37,27.759
-12.4,-2.39,-0.5,27.846
-12.4,-2.39,-0.5,27.94
-12.4,-2.39,-0.5,28.027
-12.4,-2.39,-0.5,28.091
-12.4,-2.39,-0.5,28.179
-12.4,-2.39,-0.5,28.267
-12.4,-2.39,-0.5,28.326
-12.4,-2.39,-0.5,28.411
-12.53,-2.33,0.72,28.502
-11.49,-2.85,1.91,28.584
-10.89,-1.87,1.48,28.671
-10.89,-1.87,1.48,28.734
-10.89,-1.87,1.48,28.82
-10.89,-1.87,1.48,28.91
-10.89,-1.87,1.48,28.999
-10.89,-1.87,1.48,29.061
-10.89,-1.87,1.48,29.151
-10.89,-1.87,1.48,29.24
-11.38,-3.82,0.73,29.297
-10.77,-2.89,0.24,29.384
-12.62,-3.32,0.3,29.472
-12.62,-3.32,0.3,29.559
-12.62,-3.32,0.3,29.648
-12.62,-3.32,0.3,29.714
-12.62,-3.32,0.3,29.799
-12.62,-3.32,0.3,29.859
-12.62,-3.32,0.3,29.95
-12.62,-3.32,0.3,30.038
-10.51,-2.04,-0.18,30.127
-11.23,-1.92,-0.71,30.223
-10.29,-1.16,-0.63,30.282
-10.29,-1.16,-0.63,30.368
