NAME:,run_3_3.csv,,,,,,,,,,,,,
EXPERIMENT TIME:,06/06/2023 12:09,,,,,,,,,,,,,
ACTIVITY TYPE:,Running,,,,,,,,,,,,,
COUNT OF ACTUAL STEPS:,70,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Time [sec],ACC X,ACC Y,ACC Z,,,,,,,,,,,
21010,-10.15969,3.216581,-1.137571,,,,,,,,,,,
21091,-10.081236,3.844207,-1.412158,,,,,,,,,,,
21172,-10.081236,3.098902,-0.470719,,,,,,,,,,,
21253,-9.767424,3.138128,-1.216025,,,,,,,,,,,
21334,-10.473503,3.295035,-0.745305,,,,,,,,,,,
21415,-9.610518,3.373488,-1.176798,,,,,,,,,,,
21496,-10.120463,2.706636,-1.255251,,,,,,,,,,,
21577,-10.316596,2.824315,-1.216025,,,,,,,,,,,
21658,-9.610518,3.451941,-1.137571,,,,,,,,,,,
21739,-10.51273,1.96133,-1.255251,,,,,,,,,,,
21820,-9.649744,2.706636,-1.255251,,,,,,,,,,,
21901,-10.551956,2.118237,-2.235916,,,,,,,,,,,
21982,-11.061902,2.000557,-1.372931,,,,,,,,,,,
22063,-12.47406,2.588956,-1.059118,,,,,,,,,,,
22144,-12.2387,2.981222,-0.980665,,,,,,,,,,,
22225,-3.92266,2.902768,-2.392823,,,,,,,,,,,
22306,-5.099459,4.942552,-2.824315,,,,,,,,,,,
22387,-20.005568,4.471833,-0.784532,,,,,,,,,,,
22468,-20.005568,5.413271,1.294478,,,,,,,,,,,
22549,-7.335374,1.137571,1.451384,,,,,,,,,,,
22630,-0.23536,1.333704,-4.864099,,,,,,,,,,,
22711,-3.373488,14.866882,-10.865768,,,,,,,,,,,
22792,-12.35638,-4.15802,5.727084,,,,,,,,,,,
22873,-18.514957,2.039783,0.11768,,,,,,,,,,,
22954,-4.550286,7.492281,-1.569064,,,,,,,,,,,
23035,3.569621,-0.823759,-2.275143,,,,,,,,,,,
23116,-13.101686,10.51273,-3.334261,,,,,,,,,,,
23197,-18.397276,0.274586,1.019892,,,,,,,,,,,
23278,-3.216581,0.078453,-2.981222,,,,,,,,,,,
23359,6.707749,3.883434,-2.392823,,,,,,,,,,,
23440,-18.201143,18.201143,14.513843,,,,,,,,,,,
23521,-14.082351,-3.92266,4.15802,,,,,,,,,,,
23602,-14.20003,5.727084,-0.666852,,,,,,,,,,,
23683,1.294478,1.176798,-3.608848,,,,,,,,,,,
23764,3.961887,0.392266,-0.078453,,,,,,,,,,,
23845,-20.005568,6.11935,10.591183,,,,,,,,,,,
23926,-15.337602,-5.217138,-11.375715,,,,,,,,,,,
24007,5.177911,4.707192,-3.530394,,,,,,,,,,,
24088,-6.393936,3.80498,-0.392266,,,,,,,,,,,
24169,-12.081794,16.592852,-8.43372,,,,,,,,,,,
24250,-13.415498,2.628182,-1.529837,,,,,,,,,,,
24331,-3.177355,5.021005,-1.725971,,,,,,,,,,,
24412,2.628182,2.549729,-2.706636,,,,,,,,,,,
24493,-3.098902,6.668522,-4.471833,,,,,,,,,,,
24574,-20.005568,5.452498,-20.005568,,,,,,,,,,,
24655,-7.649188,3.92266,3.80498,,,,,,,,,,,
24736,12.277926,2.824315,-2.981222,,,,,,,,,,,
24817,-4.903325,-0.902212,1.098345,,,,,,,,,,,
24898,-20.005568,-16.04368,12.905553,,,,,,,,,,,
24979,-20.005568,9.845878,-5.923217,,,,,,,,,,,
25060,1.608291,7.296148,-3.255808,,,,,,,,,,,
25141,1.529837,0.23536,-3.687301,,,,,,,,,,,
25222,-7.531507,13.807764,3.412714,,,,,,,,,,,
25303,-20.005568,-4.471833,20.005568,,,,,,,,,,,
25870,1.84365,1.804424,-2.902768,,,,,,,,,,,
25951,-5.570178,13.180139,-0.784532,,,,,,,,,,,
26032,-20.005568,-7.256921,-7.806094,,,,,,,,,,,
26113,-4.785645,-0.196133,-4.236473,,,,,,,,,,,
26194,7.492281,4.432606,-3.373488,,,,,,,,,,,
26275,-13.886217,2.863542,9.022119,,,,,,,,,,,
26356,-18.279596,-17.102798,6.433163,,,,,,,,,,,
26437,-19.534847,6.707749,-2.628182,,,,,,,,,,,
26518,0.431493,0.588399,-1.725971,,,,,,,,,,,
26599,1.059118,0.039227,-3.334261,,,,,,,,,,,
26680,-19.338715,11.061902,0.745305,,,,,,,,,,,
26761,-20.005568,-11.179583,-7.492281,,,,,,,,,,,
26842,2.31437,3.412714,-3.961887,,,,,,,,,,,
26923,1.216025,3.412714,-1.333704,,,,,,,,,,,
27004,-20.005568,20.005568,-19.221035,,,,,,,,,,,
27085,-14.396163,-13.493951,4.746419,,,,,,,,,,,
27166,-17.33816,2.235916,-3.295035,,,,,,,,,,,
27247,1.372931,-2.275143,-0.745305,,,,,,,,,,,
27328,2.000557,2.902768,-2.19669,,,,,,,,,,,
27409,-20.005568,-1.725971,8.825986,,,,,,,,,,,
27490,-20.005568,-13.807764,-6.982335,,,,,,,,,,,
27571,4.04034,3.373488,-8.31604,,,,,,,,,,,
