NAME:,run_5_1.csv,,,,,,,,,,,,,,
EXPERIMENT TIME:,06/06/2023 12:13,,,,,,,,,,,,,,
ACTIVITY TYPE:,Running,,,,,,,,,,,,,,
COUNT OF ACTUAL STEPS:,60,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Time [sec],ACC X,ACC Y,ACC Z,,,,,,,,,,,,
31815,-10.63041,-0.078453,0,,,,,,,,,,,,
31896,-10.120463,-0.588399,0.156906,,,,,,,,,,,,
31977,-10.002784,-1.569064,0.470719,,,,,,,,,,,,
32058,-10.787315,-0.902212,0.313813,,,,,,,,,,,,
32139,-10.04201,-0.666852,0.784532,,,,,,,,,,,,
32220,-10.473503,-0.392266,0.156906,,,,,,,,,,,,
32301,-10.002784,-1.647517,1.176798,,,,,,,,,,,,
32382,-10.27737,-0.274586,0.980665,,,,,,,,,,,,
32463,-9.845878,-0.666852,1.412158,,,,,,,,,,,,
32544,-10.120463,-0.784532,0.470719,,,,,,,,,,,,
32625,-10.39505,-1.451384,1.137571,,,,,,,,,,,,
32706,-10.002784,-0.823759,1.294478,,,,,,,,,,,,
32787,-10.591183,0.078453,2.000557,,,,,,,,,,,,
32868,-11.218808,-0.706079,2.628182,,,,,,,,,,,,
32949,-9.649744,-1.569064,2.941995,,,,,,,,,,,,
33030,-8.512173,-0.549172,1.569064,,,,,,,,,,,,
33111,-5.88399,-2.471276,0.274586,,,,,,,,,,,,
33192,-7.492281,-3.569621,4.432606,,,,,,,,,,,,
33840,6.23703,3.020448,-1.922104,,,,,,,,,,,,
33921,-20.005568,-7.492281,15.69064,,,,,,,,,,,,
34002,-20.005568,4.197247,6.590069,,,,,,,,,,,,
34083,-3.295035,0.431493,0.706079,,,,,,,,,,,,
34164,1.882877,-3.295035,-7.884547,,,,,,,,,,,,
34245,-2.745862,-6.511616,4.04034,,,,,,,,,,,,
34326,-15.376828,14.513843,9.296705,,,,,,,,,,,,
34407,-15.416055,5.805537,0.11768,,,,,,,,,,,,
34488,-9.022119,-4.942552,0.902212,,,,,,,,,,,,
34569,1.019892,-5.413271,-3.098902,,,,,,,,,,,,
34650,2.118237,-0.470719,-4.628739,,,,,,,,,,,,
34731,-20.005568,-2.392823,-1.882877,,,,,,,,,,,,
34812,-11.454168,0.823759,4.667965,,,,,,,,,,,,
34893,2.157463,1.96133,-3.844207,,,,,,,,,,,,
34974,-1.098345,-5.76631,0.706079,,,,,,,,,,,,
35055,-11.571848,-18.083464,2.157463,,,,,,,,,,,,
35136,-16.63208,-2.353596,6.11935,,,,,,,,,,,,
35217,-8.43372,0.11768,-2.157463,,,,,,,,,,,,
35298,-2.118237,-4.314926,-2.588956,,,,,,,,,,,,
35379,0.313813,-3.255808,-3.92266,,,,,,,,,,,,
35460,-20.005568,1.255251,7.688414,,,,,,,,,,,,
35541,-17.691198,7.806094,4.511059,,,,,,,,,,,,
35622,3.216581,3.961887,1.725971,,,,,,,,,,,,
35703,0.706079,-8.08068,-4.628739,,,,,,,,,,,,
35784,-9.453611,-5.805537,-13.846991,,,,,,,,,,,,
35865,-14.866882,-0.588399,2.902768,,,,,,,,,,,,
35946,-11.807208,-1.765197,-3.530394,,,,,,,,,,,,
36027,-1.725971,-5.256365,-3.216581,,,,,,,,,,,,
36108,1.255251,-2.19669,-6.393936,,,,,,,,,,,,
36189,-17.691198,-12.827099,-7.806094,,,,,,,,,,,,
36270,-20.005568,7.531507,8.512173,,,,,,,,,,,,
36351,1.84365,1.294478,1.137571,,,,,,,,,,,,
36432,4.471833,-1.490611,-7.806094,,,,,,,,,,,,
36513,-7.100015,-6.668522,1.098345,,,,,,,,,,,,
36594,-16.945892,20.005568,16.122133,,,,,,,,,,,,
36675,-20.005568,4.981779,-2.432049,,,,,,,,,,,,
36756,-13.258593,-8.159133,-7.178468,,,,,,,,,,,,
36837,2.118237,-3.80498,-5.021005,,,,,,,,,,,,
36918,-8.43372,-3.92266,-8.865212,,,,,,,,,,,,
36999,-20.005568,-1.686744,2.19669,,,,,,,,,,,,
37080,-5.76631,-3.295035,-2.941995,,,,,,,,,,,,
37161,3.92266,1.255251,-7.688414,,,,,,,,,,,,
37242,-2.392823,-10.355823,0.823759,,,,,,,,,,,,
37323,-20.005568,2.824315,-2.31437,,,,,,,,,,,,
37404,-15.572961,12.317153,8.551399,,,,,,,,,,,,
37485,-4.589512,-5.844764,-2.31437,,,,,,,,,,,,
37566,1.882877,-0.353039,-1.804424,,,,,,,,,,,,
37647,2.667409,-2.981222,-6.354709,,,,,,,,,,,,
37728,-20.005568,-8.708306,17.573517,,,,,,,,,,,,
37809,-10.826543,7.84532,6.040897,,,,,,,,,,,,
37890,2.824315,4.197247,-3.92266,,,,,,,,,,,,
37971,-2.039783,-6.825429,-7.649188,,,,,,,,,,,,
38052,-6.825429,3.020448,-6.903882,,,,,,,,,,,,
38133,-18.436504,5.374045,4.550286,,,,,,,,,,,,
38214,-12.003341,-3.255808,-4.942552,,,,,,,,,,,,
38295,-0.431493,-4.707192,-1.882877,,,,,,,,,,,,
38376,5.687858,-2.941995,-5.923217,,,,,,,,,,,,
38457,-20.005568,-10.904996,-5.452498,,,,,,,,,,,,
38538,-20.005568,17.33816,9.688971,,,,,,,,,,,,
38619,0.784532,-1.019892,0,,,,,,,,,,,,
38700,2.549729,-3.373488,-6.550843,,,,,,,,,,,,
38781,-8.43372,-7.256921,2.785089,,,,,,,,,,,,
38862,-20.005568,20.005568,6.982335,,,,,,,,,,,,
38943,-20.005568,1.255251,-2.981222,,,,,,,,,,,,
39024,-8.198359,-7.335374,-5.334818,,,,,,,,,,,,
39105,3.138128,-1.137571,-6.197803,,,,,,,,,,,,
39753,-10.787315,-3.726527,-7.100015,,,,,,,,,,,,
39834,3.020448,-3.138128,-1.569064,,,,,,,,,,,,
39915,-4.001113,-5.334818,0.313813,,,,,,,,,,,,
39996,-20.005568,14.592296,9.80665,,,,,,,,,,,,
40077,-7.100015,2.863542,4.118793,,,,,,,,,,,,
40158,4.746419,2.19669,-2.863542,,,,,,,,,,,,
40239,-5.334818,-8.982892,-5.844764,,,,,,,,,,,,
40320,-20.005568,-1.333704,-9.80665,,,,,,,,,,,,
40401,-9.492838,7.413828,10.39505,,,,,,,,,,,,
40482,-6.707749,-4.15802,-4.079566,,,,,,,,,,,,
40563,0.706079,-4.550286,-0.902212,,,,,,,,,,,,
40644,3.765754,-1.765197,-6.11935,,,,,,,,,,,,
40725,-20.005568,-4.2757,0.627626,,,,,,,,,,,,
40806,-20.005568,11.493395,8.512173,,,,,,,,,,,,
40887,1.490611,1.84365,1.255251,,,,,,,,,,,,
40968,5.727084,0.11768,-10.002784,,,,,,,,,,,,
41049,-11.336488,-5.138685,7.84532,,,,,,,,,,,,
41130,-19.299488,20.005568,14.945335,,,,,,,,,,,,
41211,-17.691198,3.138128,-4.471833,,,,,,,,,,,,
41292,-7.923774,-6.590069,-6.276257,,,,,,,,,,,,
41373,2.785089,0.902212,-2.588956,,,,,,,,,,,,
41454,-2.549729,-4.667965,-1.804424,,,,,,,,,,,,
41535,-20.005568,2.19669,10.198917,,,,,,,,,,,,
41616,-12.709418,1.294478,2.275143,,,,,,,,,,,,
41697,4.785645,-0.509946,-4.393379,,,,,,,,,,,,
41778,-3.648074,-6.11935,-5.76631,,,,,,,,,,,,
41859,-4.550286,1.725971,-1.96133,,,,,,,,,,,,
41940,-17.33816,7.570734,7.256921,,,,,,,,,,,,
42021,-20.005568,-1.412158,-4.118793,,,,,,,,,,,,
42102,-5.099459,-5.687858,-2.824315,,,,,,,,,,,,
42183,6.629296,-0.392266,-6.040897,,,,,,,,,,,,
42264,-20.005568,-4.314926,-15.455281,,,,,,,,,,,,
42345,-20.005568,11.728755,9.571291,,,,,,,,,,,,
42426,-0.11768,-0.745305,0.823759,,,,,,,,,,,,
42507,9.963557,1.882877,-9.688971,,,,,,,,,,,,
42588,-15.808321,-9.257479,5.413271,,,,,,,,,,,,
42669,3.687301,20.005568,2.549729,,,,,,,,,,,,
42750,-19.338715,9.649744,0.823759,,,,,,,,,,,,
42831,-6.746975,-6.629296,-4.785645,,,,,,,,,,,,
42912,0.745305,-0.078453,-1.137571,,,,,,,,,,,,
42993,1.059118,-5.060232,-3.059675,,,,,,,,,,,,
43074,-20.005568,2.000557,6.707749,,,,,,,,,,,,
43155,-12.709418,2.000557,4.864099,,,,,,,,,,,,
43236,2.275143,0,-1.765197,,,,,,,,,,,,
43317,-0.666852,-5.099459,-6.786202,,,,,,,,,,,,
43398,-12.827099,0.627626,5.099459,,,,,,,,,,,,
43479,-12.513286,16.279039,8.590626,,,,,,,,,,,,
43560,-15.494508,0.196133,-4.393379,,,,,,,,,,,,
43641,-6.668522,-6.23703,-3.255808,,,,,,,,,,,,
43722,4.354153,-0.274586,-10.081236,,,,,,,,,,,,
43803,-20.005568,-3.491168,-12.630966,,,,,,,,,,,,
43884,-20.005568,13.337045,8.276814,,,,,,,,,,,,
43965,-1.372931,0.039227,-1.529837,,,,,,,,,,,,
44046,11.964113,1.098345,-8.629852,,,,,,,,,,,,
44127,-15.337602,-8.002227,8.394493,,,,,,,,,,,,
44208,-5.923217,19.6133,17.024345,,,,,,,,,,,,
44289,-20.005568,12.160246,4.628739,,,,,,,,,,,,
44370,-2.706636,-7.727641,-5.334818,,,,,,,,,,,,
44451,-0.039227,1.686744,-2.353596,,,,,,,,,,,,
44532,1.255251,-4.393379,-4.197247,,,,,,,,,,,,
44613,-20.005568,3.687301,3.765754,,,,,,,,,,,,
44694,-10.904996,2.785089,4.432606,,,,,,,,,,,,
44775,4.15802,-1.333704,-1.294478,,,,,,,,,,,,
44856,-0.941438,-7.217695,-8.472946,,,,,,,,,,,,
44937,-13.101686,-2.706636,-0.745305,,,,,,,,,,,,
45585,8.747532,1.098345,-7.609961,,,,,,,,,,,,
45666,-8.394493,-8.237586,-0.11768,,,,,,,,,,,,
45747,-20.005568,-2.353596,10.944222,,,,,,,,,,,,
45828,-20.005568,13.925444,8.825986,,,,,,,,,,,,
45909,-3.177355,-6.197803,-1.529837,,,,,,,,,,,,
45990,-2.588956,-3.334261,-0.274586,,,,,,,,,,,,
46071,3.961887,-5.021005,-4.864099,,,,,,,,,,,,
46152,-20.005568,-6.511616,6.197803,,,,,,,,,,,,
46233,-20.005568,11.650301,5.923217,,,,,,,,,,,,
46314,1.412158,1.569064,-0.588399,,,,,,,,,,,,
46395,-0.431493,-2.941995,-7.766868,,,,,,,,,,,,
46476,-7.021562,-3.451941,3.412714,,,,,,,,,,,,
46557,-15.298375,20.005568,9.100572,,,,,,,,,,,,
46638,-20.005568,1.686744,-4.079566,,,,,,,,,,,,
46719,-10.904996,-5.648631,-7.060789,,,,,,,,,,,,
46800,2.824315,-0.706079,-6.668522,,,,,,,,,,,,
46881,-6.903882,-3.177355,1.647517,,,,,,,,,,,,
46962,-20.005568,14.396163,-5.295591,,,,,,,,,,,,
47043,-7.296148,0.392266,-1.059118,,,,,,,,,,,,
47124,6.786202,0.549172,-5.844764,,,,,,,,,,,,
47205,-4.824872,-5.923217,-3.648074,,,,,,,,,,,,
47286,-17.181252,-8.629852,-8.982892,,,,,,,,,,,,
47367,-18.318823,15.102242,11.807208,,,,,,,,,,,,
47448,-14.239256,-9.257479,-2.039783,,,,,,,,,,,,
47529,-0.980665,-4.314926,-1.569064,,,,,,,,,,,,
47610,4.2757,-1.725971,-7.766868,,,,,,,,,,,,
47691,-20.005568,-7.84532,-10.355823,,,,,,,,,,,,
47772,-20.005568,15.063015,11.375715,,,,,,,,,,,,
47853,2.07901,-1.372931,1.294478,,,,,,,,,,,,
47934,8.708306,0.549172,-8.159133,,,,,,,,,,,,
48015,-10.198917,-5.530951,6.354709,,,,,,,,,,,,
48096,-4.903325,20.005568,5.88399,,,,,,,,,,,,
48177,-17.377384,7.923774,2.510503,,,,,,,,,,,,
48258,-0.549172,-5.923217,-3.255808,,,,,,,,,,,,
48339,0.431493,-1.647517,0.039227,,,,,,,,,,,,
48420,0.588399,-1.255251,-3.295035,,,,,,,,,,,,
48501,-20.005568,-3.765754,-1.176798,,,,,,,,,,,,
48582,-12.827099,2.628182,5.021005,,,,,,,,,,,,
48663,2.000557,0.627626,-0.392266,,,,,,,,,,,,
48744,0.353039,-4.785645,-8.394493,,,,,,,,,,,,
48825,-10.826543,1.490611,9.532064,,,,,,,,,,,,
48906,-20.005568,20.005568,4.001113,,,,,,,,,,,,
48987,-20.005568,-2.785089,-0.902212,,,,,,,,,,,,
49068,-10.316596,-4.903325,-5.021005,,,,,,,,,,,,
49149,3.726527,0.431493,-6.472389,,,,,,,,,,,,
49230,-1.686744,-2.941995,-0.313813,,,,,,,,,,,,
49311,-20.005568,8.002227,12.984006,,,,,,,,,,,,
49392,-11.061902,1.019892,3.883434,,,,,,,,,,,,
49473,2.628182,1.019892,-1.412158,,,,,,,,,,,,
49554,-0.039227,-5.217138,-7.609961,,,,,,,,,,,,
49635,-10.551956,5.021005,11.689528,,,,,,,,,,,,
49716,-9.218252,13.258593,8.276814,,,,,,,,,,,,
49797,-19.691755,0.313813,-1.019892,,,,,,,,,,,,
49878,-6.982335,-6.158576,-6.668522,,,,,,,,,,,,
49959,5.217138,-2.471276,-5.962444,,,,,,,,,,,,
50040,-4.628739,0.11768,1.255251,,,,,,,,,,,,
50121,-20.005568,2.628182,10.51273,,,,,,,,,,,,
50202,-6.668522,1.294478,1.882877,,,,,,,,,,,,
50283,4.628739,-0.274586,-4.864099,,,,,,,,,,,,
50364,-4.001113,-6.00167,-6.668522,,,,,,,,,,,,
50445,-20.005568,1.019892,-8.66908,,,,,,,,,,,,
50526,-5.060232,11.375715,8.276814,,,,,,,,,,,,
50607,-13.96467,-2.863542,-3.216581,,,,,,,,,,,,
50850,-5.295591,-2.981222,1.294478,,,,,,,,,,,,
51062,-2.785089,-7.570734,-6.23703,,,,,,,,,,,,
51203,-10.591183,-1.412158,7.374601,,,,,,,,,,,,
51386,-20.005568,17.455837,-0.039227,,,,,,,,,,,,
51546,-20.005568,-3.138128,-2.392823,,,,,,,,,,,,
51663,-3.295303,-4.981779,-4.432606,,,,,,,,,,,,
51799,-3.295035,-4.981779,-4.432606,,,,,,,,,,,,
51949,2.392823,-4.354153,-6.668522,,,,,,,,,,,,
51984,-2.785089,-7.570734,-6.23703,,,,,,,,,,,,
52065,-10.591183,-1.412158,7.374601,,,,,,,,,,,,
52146,-20.005568,17.455837,-0.039227,,,,,,,,,,,,
52227,-20.005568,-3.138128,-2.392823,,,,,,,,,,,,
52308,-3.295035,-4.981779,-4.432606,,,,,,,,,,,,
52389,2.392823,-4.354153,-6.668522,,,,,,,,,,,,
52470,-1.569064,-2.353596,2.902768,,,,,,,,,,,,
52551,-20.005568,13.729311,20.005568,,,,,,,,,,,,
52794,-2.353596,-5.962444,-3.608848,,,,,,,,,,,,
52875,-14.788428,-4.15802,-5.413271,,,,,,,,,,,,
52956,-8.198359,17.416613,11.061902,,,,,,,,,,,,
53037,-16.435947,-3.295035,-5.609404,,,,,,,,,,,,
53118,-6.354709,-4.942552,-5.570178,,,,,,,,,,,,
53199,4.432606,-2.07901,-7.060789,,,,,,,,,,,,
53280,-1.96133,-2.235916,2.981222,,,,,,,,,,,,
53523,3.177355,2.510503,-1.137571,,,,,,,,,,,,
53604,2.941995,-7.100015,-4.981779,,,,,,,,,,,,
53685,-13.886217,2.510503,-0.666852,,,,,,,,,,,,
53766,-9.100572,16.200586,5.295591,,,,,,,,,,,,
