NAME:,walk_4_1.csv,,,,,,,,,,,,,
EXPERIMENT TIME:,06/06/2023 11:54,,,,,,,,,,,,,
ACTIVITY TYPE:,Walking,,,,,,,,,,,,,
COUNT OF ACTUAL STEPS:,90,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Time [sec],ACC X,ACC Y,ACC Z,,,,,,,,,,,
264542,-10.15969,-1.647517,0.313813,,,,,,,,,,,
264623,-10.15969,-1.490611,0.274586,,,,,,,,,,,
264704,-10.04201,-1.412158,0.392266,,,,,,,,,,,
264785,-10.355823,-1.96133,0.274586,,,,,,,,,,,
264866,-10.081236,-1.294478,0.23536,,,,,,,,,,,
264947,-9.845878,-1.922104,0.470719,,,,,,,,,,,
265028,-9.885103,-2.039783,0.902212,,,,,,,,,,,
265109,-9.688971,-1.725971,1.059118,,,,,,,,,,,
265190,-10.081236,-2.19669,0.941438,,,,,,,,,,,
265271,-9.963557,-1.647517,0.627626,,,,,,,,,,,
265352,-9.610518,-1.647517,-0.039227,,,,,,,,,,,
265433,-10.944222,-0.509946,-0.196133,,,,,,,,,,,
265514,-10.74809,-1.725971,-0.274586,,,,,,,,,,,
265595,-10.355823,-1.294478,-0.549172,,,,,,,,,,,
265676,-10.355823,-1.019892,-0.784532,,,,,,,,,,,
265757,-10.081236,-1.372931,-0.431493,,,,,,,,,,,
265838,-10.355823,-1.176798,-0.549172,,,,,,,,,,,
265919,-12.513286,-0.039227,0.627626,,,,,,,,,,,
266000,-11.846434,-2.07901,-2.628182,,,,,,,,,,,
266081,-10.787315,-5.217138,1.216025,,,,,,,,,,,
266162,-9.767424,-1.647517,0.666852,,,,,,,,,,,
266243,-8.43372,-1.725971,0.902212,,,,,,,,,,,
266324,-7.609961,-0.823759,2.118237,,,,,,,,,,,
266405,-6.903882,1.176798,2.31437,,,,,,,,,,,
266486,-13.572405,-2.471276,-0.784532,,,,,,,,,,,
266567,-13.297818,0.392266,3.80498,,,,,,,,,,,
266648,-10.120463,-5.609404,1.804424,,,,,,,,,,,
266729,-8.08068,-0.862985,-0.392266,,,,,,,,,,,
266810,-9.767424,-3.530394,1.372931,,,,,,,,,,,
266891,-8.786758,-0.627626,-0.353039,,,,,,,,,,,
266972,-9.610518,-0.666852,0.11768,,,,,,,,,,,
267053,-9.885103,-1.451384,-0.353039,,,,,,,,,,,
267134,-11.650301,-2.275143,-0.431493,,,,,,,,,,,
267215,-14.160804,-1.882877,1.608291,,,,,,,,,,,
267296,-9.924331,-3.608848,-2.628182,,,,,,,,,,,
267377,-10.983448,-5.177911,2.31437,,,,,,,,,,,
267458,-9.218252,0.745305,-0.039227,,,,,,,,,,,
267539,-6.786202,-0.588399,1.412158,,,,,,,,,,,
267620,-5.687858,0.039227,2.902768,,,,,,,,,,,
267701,-8.198359,0.078453,-1.608291,,,,,,,,,,,
267782,-12.081794,-1.294478,4.942552,,,,,,,,,,,
267863,-10.708862,-2.745862,1.255251,,,,,,,,,,,
267944,-9.139798,-1.059118,-0.941438,,,,,,,,,,,
268835,-7.178468,1.137571,1.569064,,,,,,,,,,,
269726,-11.924888,-5.256365,1.96133,,,,,,,,,,,
269807,-9.845878,0.156906,-0.313813,,,,,,,,,,,
270779,-15.494508,-3.177355,0.470719,,,,,,,,,,,
270860,-8.786758,-4.354153,-0.353039,,,,,,,,,,,
270941,-10.904996,-1.765197,1.059118,,,,,,,,,,,
271022,-8.43372,0.862985,0.274586,,,,,,,,,,,
271103,-5.76631,0.078453,1.529837,,,,,,,,,,,
271184,-6.982335,-0.745305,3.177355,,,,,,,,,,,
271265,-11.767981,-0.823759,-1.176798,,,,,,,,,,,
271346,-14.592296,0.706079,3.098902,,,,,,,,,,,
271427,-9.80665,-4.903325,1.529837,,,,,,,,,,,
271508,-7.453054,-1.019892,-0.313813,,,,,,,,,,,
