NAME:,run_2_1,,
EXPERIMENT TIME:,6/6/2023 10:49,,
ACTIVITY TYPE:,Running,,
COUNT OF ACTUAL STEPS:,169,,
,,,
Time[sec],ACC X,ACC Y,ACC Z
0,1.49,-9.69,-2.71
0.07,1.29,-9.57,-2.59
0.14,1.33,-9.65,-2.43
0.21,1.49,-9.81,-2.08
0.28,1.33,-9.65,-2.16
0.35,1.53,-9.77,-2.28
0.42,1.57,-9.69,-1.88
0.5,1.33,-9.53,-2.16
0.57,1.8,-9.14,-1.92
0.64,1.26,-10.28,-1.73
0.71,1.84,-10.51,-0.43
0.78,0.47,-8.32,-2.71
0.85,1.14,-10.51,-2.04
0.92,0,-9.1,-2.04
0.99,0.16,-10.08,-2.16
1.06,0.2,-9.53,-2.51
1.13,0.12,-9.57,-2.47
1.2,-0.55,-9.1,-1.65
1.28,1.06,-9.22,-0.94
1.35,-0.63,-11.89,-1.22
1.42,3.49,-16.91,0.16
1.49,6.35,-16.32,-0.94
1.56,2.55,0.75,-2.59
1.63,2.9,-0.55,-0.94
1.7,2.67,-9.69,-6.16
1.77,3.8,-11.1,-10.4
1.84,8.12,-11.96,-1.02
1.91,3.96,-10.32,-4.35
1.99,-0.31,-15.1,-5.26
2.06,0.98,-9.14,-3.53
2.13,-1.26,-7.06,-0.67
2.2,1.29,2.47,0.31
2.27,4.2,-12.36,-0.16
2.34,-2.04,-20.01,-6.24
2.41,1.65,-14.79,-6.51
2.48,-0.04,0.08,-2.67
2.55,3.37,2.08,-2.2
2.63,18.99,-15.02,-10.36
2.7,-1.84,-12.87,-9.49
2.77,0.24,-15.97,-6.9
2.84,0.12,-13.22,-3.37
2.91,0.63,-2.98,-1.02
2.98,-0.12,2.08,-0.94
3.05,14.59,-4.98,-0.51
3.12,-3.77,-20.01,-7.57
3.19,0.2,-13.61,-9.3
3.26,-0.24,-0.27,-1.49
3.33,4.39,0.82,-1.02
3.41,10.08,-3.69,-5.53
3.48,3.33,-7.45,-3.8
3.55,0.27,-18.36,-4.39
3.62,-1.26,-14.71,-1.57
3.69,-0.16,-5.26,-0.82
3.76,0.78,-0.04,-0.9
3.83,5.96,-3.26,2.51
3.9,3.69,-17.57,-6.55
3.97,-3.37,-19.22,-7.53
4.05,0,-3.37,-3.69
4.12,3.33,1.73,-2.2
4.19,2.94,-1.02,-1.53
4.26,3.53,-9.53,0.86
4.33,2.12,-14.63,-4.12
4.4,-0.67,-12.4,-2.35
4.47,0.43,-8.16,-4.04
4.54,-1.84,-0.35,-1.06
4.61,2.98,-3.61,-10.08
4.68,2.39,-20.01,-4.75
4.75,-0.59,-18.44,-6.59
4.83,1.57,-6.47,-4.86
4.9,1.88,0.75,-3.45
4.97,1.14,-2.94,-0.94
5.04,-2.59,0.78,8.55
5.11,3.41,-11.14,-9.1
5.61,1.29,-11.65,-6.86
5.68,-1.1,0.04,-1.14
5.75,4.04,3.65,-1.22
5.82,10.83,-20.01,9.73
5.89,1.02,-9.53,-7.14
5.96,-0.71,-13.42,-5.33
6.03,-0.47,-10.94,-1.1
6.1,-0.08,-2.98,-0.43
6.17,1.65,0.08,-1.06
6.25,1.77,-20.01,1.53
6.32,-7.18,-20.01,-11.61
6.39,1.49,-12.87,-6.16
6.46,-0.67,1.49,-0.43
6.53,3.3,3.14,3.18
6.6,12.75,-16.59,-9.69
6.67,-1.53,-11.53,-11.85
6.74,2.43,-15.26,-5.73
6.81,-0.43,-10.08,-1.96
6.89,-0.82,-4.16,-0.78
6.96,0,0.82,-0.78
7.03,10.4,-10.24,0.2
7.1,-3.73,-20.01,-8.79
7.17,1.18,-12,-6.43
7.24,0.75,0.24,-3.1
7.31,3.22,2.43,0.39
7.38,4.94,-20.01,15.85
7.45,-3.02,-12.2,-8.9
7.52,-0.75,-16.08,-4.04
7.6,1.92,-7.18,-3.37
7.67,-0.16,-1.8,-0.63
7.74,1.37,0.27,10.08
7.81,2.2,-20.01,3.45
7.88,-5.81,-20.01,-5.84
7.95,0,-8.63,-3.77
8.02,5.65,3.65,-4.16
8.09,0.78,-0.78,-0.16
8.16,-2.98,-16.71,20.01
8.23,-0.2,-11.57,-10.4
8.3,-1.92,-12.87,-1.49
8.38,1.18,-5.92,-2.31
8.45,-1.73,-1.29,-1.73
8.52,2.71,-0.75,7.73
8.59,4.79,-20.01,-1.92
8.66,-2.79,-18.99,-3.65
8.73,-0.59,-6.43,-4.12
8.8,3.3,2.86,-0.9
8.87,2.51,-1.8,1.14
8.94,3.92,-11.45,-7.14
9.02,2.75,-20.01,-1.84
9.09,-2.43,-11.41,-2.31
9.16,2.86,-5.57,-0.55
9.23,-1.26,1.37,-0.94
9.3,3.41,-14.55,1.96
9.37,-1.77,-17.61,-7.88
9.44,3.53,-7.41,-4.75
9.51,7.26,5.33,-13.18
9.58,0.39,3.88,-2.2
9.65,0.63,-20.01,6.63
9.72,-1.65,-11.57,-8.59
9.8,-1.33,-11.73,-0.82
9.87,0.94,-7.22,0.98
9.94,-3.57,-0.71,-5.18
10.01,5.41,-4.75,-1.33
10.08,6.47,-16.75,-3.65
10.15,-4.51,-17.34,-4.94
10.22,-0.08,-6.08,-1.22
10.29,2.16,0.2,-5.37
10.36,2,-1.29,-0.94
10.44,-1.02,-14.4,-4.2
10.51,4.67,-13.69,1.29
10.58,0,-10.75,-3.84
10.65,-2.16,-6.47,-1.57
10.72,-0.16,-1.41,-1.73
11.57,6.59,-12.55,2.79
11.64,-5.06,-20.01,-9.22
11.71,0.35,-12.12,-6.43
11.78,0.75,-0.67,-2.08
11.86,4.51,3.3,1.65
11.93,15.02,-10.67,-17.06
12,-8,-13.93,-11.22
12.07,-0.2,-14.36,-4.59
12.14,-0.47,-9.34,-1.53
12.21,-0.59,-1.73,-1.65
12.28,0.51,0.55,8.83
12.35,4.39,-19.5,-1.41
12.42,-4.86,-20.01,-3.65
12.49,1.49,-10.04,-4.51
12.56,2.04,3.3,-1.37
12.64,2.31,0.82,1.18
12.71,-6.83,-19.02,16.55
12.78,1.96,-12.83,-6.32
12.85,-2.2,-15.69,-0.94
12.92,2.31,-6.12,-5.41
12.99,0.35,0.98,-1.65
13.06,13.45,-4.04,3.26
13.13,-0.78,-20.01,-2.63
13.2,0.39,-15.18,-6.04
13.27,-2.2,1.14,-0.16
13.35,5.26,4.35,-3.33
13.42,19.93,-6.32,-6.12
13.49,-4.67,-14.87,-9.57
13.56,0,-14.75,-4.9
13.63,0.08,-9.14,-1.22
13.7,-2.59,-0.59,-1.73
13.77,1.22,-1.1,-0.35
13.84,0.2,-20.01,2.71
13.91,-11.26,-20.01,-9.1
13.99,2.67,-11.3,-7.45
14.06,-1.53,4.24,0
14.13,2.63,-4.79,4.04
14.2,-4.67,-10.36,20.01
14.27,-2.08,-11.41,-9.1
14.34,0.63,-13.42,-0.27
14.41,-1.26,-6.32,-2.98
14.48,-1.65,-0.71,-1.26
14.55,6.86,-1.29,2.35
14.62,9.89,-17.46,0.51
14.69,2.59,-16.16,-2.08
14.77,-0.9,-4.86,-3.1
14.84,4.82,4.79,-2.16
14.91,4.47,-2.94,3.41
14.98,-1.29,-15.93,11.96
15.05,1.41,-20.01,4.43
15.12,-1.22,-11.89,2.35
15.19,0.43,-1.96,-1.29
15.26,-0.63,0.63,-1.92
15.33,14,-6.71,-0.51
15.41,2.24,-19.81,-6.63
15.48,-0.39,-14.75,-5.14
15.55,-1.02,-0.94,2.75
15.62,4.35,5.22,-0.59
15.69,15.73,-3.88,-17.06
15.76,-7.02,-16.99,-8.43
15.83,0.39,-16.91,-5.73
15.9,0.63,-11.41,1.73
15.97,0.39,-0.43,-1.77
16.04,-0.08,0.35,-1.65
16.11,1.53,-20.01,-1.45
16.19,-7.73,-20.01,-10.63
16.26,1.18,-8.79,-5.92
16.33,1.37,3.61,-3.18
16.4,6.08,2.43,1.8
16.47,0.39,-20.01,9.41
16.54,-0.82,-8.9,-10.55
16.61,-2.43,-13.38,-0.43
16.68,0.24,-8.28,-2.43
16.75,0.04,0.04,-2
16.83,2.51,-4.35,-11.85
17.54,0.04,-1.73,-1.49
17.61,1.29,-20.01,3.92
17.68,-8.39,-20.01,-9.14
18.53,-1.22,0.78,2
18.61,5.45,4.86,0.16
18.68,9.53,-1.61,-6.83
19.6,-1.06,-10.47,-1.69
19.67,0.63,-1.84,-1.41
20.1,4.94,-0.55,1.8
20.17,-8.24,-20.01,20.01
20.24,5.41,-6.86,-8.51
20.31,-3.18,-16.99,2.35
20.38,-2,-7.18,-3.22
20.45,1.18,-0.27,0.31
20.52,11.1,-5.02,-12.28
20.59,4.12,-20.01,4.04
20.66,2,-13.53,-3.14
20.74,-1.22,-3.1,0.08
20.81,3.65,5.45,-2.98
20.88,20.01,-20.01,5.77
20.95,-2.82,-13.73,-6.47
21.02,-2.47,-15.3,-3.02
21.09,1.84,-8.59,-0.35
21.16,-0.24,-0.39,-1.57
21.23,0.51,0.35,10.94
21.3,4.2,-14.32,-0.75
21.37,-1.73,-19.46,-3.53
21.44,1.22,-6.47,-4.9
21.52,1.77,4.24,-4.35
21.59,9.77,-5.49,-2.59
21.66,-6.47,-18.04,-13.85
21.73,4.28,-17.57,-3.14
21.8,-2.2,-11.41,-0.31
21.87,0.35,-1.84,-0.04
21.94,1.1,-1.22,-1.69
22.01,1.06,-19.65,2.75
22.08,-3.96,-20.01,-6.39
22.16,3.33,-9.57,-4.9
22.23,0.55,4.35,-3.41
22.3,3.41,0.08,3.65
22.37,-5.33,-5.22,9.1
22.44,3.77,-16.32,-6.16
22.51,-2.35,-12.12,2.43
22.58,2.71,-2.12,-1.92
22.65,0.51,1.61,-0.94
22.72,3.61,-20.01,-0.43
22.79,-5.92,-20.01,-9.26
22.86,1.49,-9.26,-6.24
22.94,0.94,2.47,-1.1
23.01,3.84,-0.2,2.28
23.08,-9.14,-14.63,-1.77
23.15,2.35,-17.18,-8.28
23.22,-1.77,-11.57,-0.55
23.29,-1.06,-6.47,2.24
23.36,0.04,0.9,-1.88
23.43,7.77,-2.67,-8.83
23.5,0.98,-20.01,-5.77
23.58,-3.1,-16.44,-6.86
23.65,-1.22,-4.43,2.59
23.72,6.86,5.22,1.41
23.79,2.28,-1.06,-3.41
23.86,-2.47,-16.44,-5.37
23.93,1.61,-18.71,-5.02
24,-0.59,-12.12,-0.39
24.07,-1.73,-1.57,-1.61
24.14,0.82,0.75,-0.82
24.21,12.36,-11.34,-0.51
24.28,-1.22,-20.01,-7.92
24.36,2.47,-15.26,-4.16
24.43,-1.22,1.73,1.29
24.5,7.3,0.9,3.06
24.57,10.79,-4.12,1.88
24.64,-0.47,-10.94,-8.98
24.71,-1.49,-16.4,-1.69
24.78,0.39,-9.38,-1.06
24.85,-1.49,-1.96,-1.96
24.92,-0.16,0.98,5.41
25,3.06,-20.01,2.28
25.07,-7.45,-20.01,-4.12
25.14,3.65,-10.83,-5.14
25.21,0.98,3.33,-0.43
25.28,8.12,-1.88,3.02
25.35,-4,-13.77,-11.26
26.06,12.08,-7.57,-7.06
26.13,-2.24,-13.06,-10.32
26.2,0.63,-13.69,-1.69
26.27,-0.2,-6.94,-2.59
26.34,-0.04,-3.06,-0.78
26.41,3.61,2.2,3.14
26.49,2.9,-16.87,-5.81
26.56,1.37,-20.01,-3.84
26.63,-0.43,-5.92,-4.55
26.7,3.33,3.45,-3.41
26.77,9.81,-3.41,-1.73
26.84,-1.37,-15.22,-11.02
26.91,6.04,-15.57,-2.71
26.98,0.98,-11.96,1.37
27.05,-0.04,-4.31,-1.14
27.13,-0.82,0.51,-0.98
27.2,1.69,-17.14,1.57
27.27,-3.57,-20.01,-3.8
27.34,0.63,-13.73,-6.9
