NAME:,walk_1_1,,
EXPERIMENT TIME:,6/6/2023 10:26,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS:,122,,
,,,
Time[sec],ACC X,ACC Y,ACC Z
0,2.82,-9.06,-4.28
0.07,2.82,-9.18,-4.28
0.14,2.94,-9.14,-4.24
0.22,2.82,-9.1,-4.31
0.29,2.94,-9.34,-4.28
0.36,3.14,-8.83,-4.71
0.43,2.35,-8.75,-4.94
0.5,3.65,-8.71,-4.67
0.57,3.37,-8.87,-3.92
0.64,2.39,-10.4,-4.28
0.71,2.2,-9.81,-3.92
0.78,0.27,-9.06,-3.8
0.85,1.65,-9.26,-4.59
0.92,1.57,-9.02,-4.31
1,2.16,-8.67,-4.39
1.07,1.1,-9.26,-3.77
1.14,-1.8,-10.4,-4.9
1.21,1.88,-15.89,-4.39
1.28,3.22,-11.85,-5.3
1.35,4.82,-9.34,-2.86
1.42,0.59,-2.12,-2.94
1.49,2.47,-4.47,-3.84
1.56,4.08,-6.59,-8.08
1.64,3.37,-14.16,-8.98
1.71,5.3,-13.69,-5.33
1.78,6.83,-3.77,-4.94
1.85,2.98,-11.14,-3.37
1.92,3.1,-5.96,-2.31
1.99,1.1,-7.06,-2.67
2.06,0.47,-8.59,-3.61
2.13,0.47,-9.61,-4.31
2.2,3.57,-14.95,-4.71
2.28,5.14,-14.63,-3.18
2.35,3.45,-10.32,-3.69
2.42,0.94,-5.81,-3.3
2.49,2.16,-1.37,-3.88
2.56,3.96,-6.79,-6.04
2.63,3.49,-12.12,-6.9
2.7,2.63,-20.01,2.2
2.77,7.53,-1.88,-6.55
2.84,1.22,-7.49,-5.06
2.91,3.26,-6.28,-2.63
2.98,-0.08,-6.9,-3.02
3.06,0.12,-8.47,-3.92
3.98,-0.55,-8.63,-3.06
4.05,0.98,-8,-4.86
4.12,1.18,-11.53,-7.14
4.19,0.55,-14.59,-3.45
4.26,2.59,-14.36,-5.45
4.33,0.59,-7.34,-3.22
4.4,1.8,-0.71,-3.26
4.48,3.3,-7.3,-5.84
4.55,2.16,-10.83,-5.22
4.62,3.26,-7.26,-9.77
4.69,5.77,-8.87,-3.1
4.76,4.71,-9.06,-3.33
4.83,2.47,-7.57,-2.08
4.9,-0.67,-7.49,-3.02
4.97,-0.35,-8.59,-3.77
5.04,0.27,-10.32,-4.24
5.11,3.57,-12.51,-2.82
5.19,3.49,-11.53,-2.67
5.26,0.24,-11.3,-4.31
5.33,0.12,-5.96,-3.41
5.4,-0.2,-1.61,-2.55
5.47,4.82,-8.79,-6.2
5.54,3.1,-10.28,-2.71
5.61,4.47,-13.96,-2.43
5.68,5.3,-7.14,-3.45
5.75,5.22,-8.28,-3.96
5.83,2.28,-6.08,-2
5.9,0.78,-10.12,-3.84
5.97,-1.14,-8.04,-4.71
6.04,1.1,-11.1,-3.61
6.11,6,-13.02,-4.51
6.18,5.22,-14.4,-3.96
6.25,1.29,-10.32,-1.69
6.32,0.82,-5.57,-4.39
6.39,1.41,-2.75,-3.69
6.46,2.47,-9.1,-6.98
6.54,4.35,-13.38,-8.47
6.61,8.12,-16.71,-1.69
6.68,2.98,-3.18,-4.79
6.75,4.94,-11.14,-2.55
6.82,2.16,-7.41,-1.57
6.89,0.78,-8.39,-3.73
6.96,-0.2,-8.55,-4.59
7.03,-0.16,-10.83,-4.2
7.1,5.96,-13.96,-1.92
7.17,5.49,-16.12,-3.53
7.24,1.61,-8.36,-2.55
7.32,0.67,-4.55,-3.49
7.39,1.88,-3.26,-5.26
7.46,0.51,-10.63,-8.43
7.53,2.24,-11.61,-11.69
7.6,7.53,-20.01,-5.1
7.67,3.1,-4.63,-3.26
7.74,1.57,-7.45,-2.9
7.81,0.59,-6.98,-2.31
7.88,0.75,-8.87,-3.45
7.95,0.63,-8.24,-5.37
8.03,-0.35,-11.45,-6.47
8.1,1.96,-11.38,-2.98
8.17,1.02,-15.85,-5.53
8.24,2.35,-4.9,-2.39
8.31,1.92,-2.51,-3.33
8.38,3.14,-7.26,-6.83
8.45,1.65,-11.02,-4.75
8.52,3.14,-5.49,-11.96
8.59,8.39,-13.96,-3.65
8.67,6.08,-7.53,-4.16
8.74,1.73,-7.1,-2.28
8.81,-1.06,-7.57,-4
8.88,0,-8.63,-3.84
8.95,0.82,-11.41,-4.28
9.02,6.16,-13.77,-4.59
9.09,6.12,-12.59,-3.18
9.16,-1.18,-11.65,-3.57
9.23,0.63,-6.04,-3.26
9.94,-2.71,-10.94,-5.61
10.01,3.61,-13.53,-4.39
10.08,5.1,-15.26,-4.79
10.16,2.79,-7.45,-2.35
10.23,1.84,-2.51,-4.47
10.3,1.33,-4.43,-4.79
10.37,0.67,-9.02,-8.87
10.44,1.53,-11.57,-10.04
10.51,8.04,-20.01,-1.26
10.58,4.47,-2.82,-5.06
10.65,1.96,-9.65,-1.8
10.72,3.26,-5.88,-2.08
10.79,0.12,-8.51,-3.77
10.87,0.86,-9.41,-5.37
10.94,-2.31,-10.79,-5.53
11.01,4.75,-12.91,-2.86
11.08,2.94,-16.79,-5.61
11.15,2.47,-5.81,-1.84
11.22,2.2,-3.1,-3.1
11.29,4.12,-4.55,-5.49
11.36,-0.9,-10.67,-7.69
11.43,1.37,-10.59,-11.3
11.51,9.38,-15.1,-7.18
11.58,4.43,-2.98,-3.65
11.65,1.18,-7.06,-2.31
11.72,0.98,-7.18,-2.39
11.79,0.04,-8.79,-4.35
11.86,0.16,-8.55,-5.26
11.93,-0.47,-10.94,-5.73
12,3.73,-13.18,-2.16
12.07,1.73,-10.87,-3.61
12.14,1.22,-6.71,-2.79
12.22,2.35,-2.47,-3.96
12.29,1.26,-7.37,-7.3
12.36,5.22,-12.2,-3.26
12.43,4.39,-14.28,-0.55
12.5,4.82,-5.22,-5.49
12.57,5.49,-10.55,-3.33
12.64,3.41,-6.55,-1.69
12.71,-0.59,-8.79,-3.8
