"""Time [sec]""","""ACC X""","""ACC Y""","""ACC Z"""
"""0""","""9.89""","""-3.41""","""-2.79"""
"""0.07549747200000001""","""9.45""","""-3.14""","""-2.82"""
"""0.159383552""","""8.04""","""-3.14""","""-2.08"""
"""0.23488102400000002""","""7.41""","""-2.16""","""-1.37"""
"""0.32715571200000004""","""8.75""","""-1.88""","""-0.98"""
"""0.41943040000000004""","""11.41""","""-2.04""","""-0.71"""
"""0.478150656""","""15.38""","""-6.90""","""-4.31"""
"""0.612368384""","""4.35""","""-2.00""","""-3.69"""
"""0.6794772480000001""","""10.20""","""-2.71""","""-4.71"""
"""0.7381975040000001""","""9.61""","""-3.80""","""-3.57"""
"""1.249902592""","""8.43""","""-2.04""","""-3.45"""
"""1.753219072""","""8.39""","""-1.69""","""-2.51"""
"""1.7699962880000002""","""7.53""","""-0.59""","""-1.3311.77"""
"""1.7867735040000001""","""17.53""","""-3.61""","""-8.39"""
"""1.795162112""","""7.18""","""-0.51""","""-4.086.83"""
"""1.8706595840000002""","""4.35""","""-1.57""","""-3.69"""
"""1.962934272""","""7.45""","""-1.33""","""-3.18"""
"""2.0132659200000003""","""12.24""","""-4.90""","""-4.35"""
"""2.1139292160000003""","""9.49""","""-1.33""","""-2.79"""
"""2.189426688""","""7.61""","""-0.98""","""-1.53"""
"""2.281701376""","""6.32""","""-1.77""","""0.27"""
"""2.34881024""","""13.02""","""-3.30""","""-0.51"""
"""2.4326963200000002""","""14.83""","""-2.00""","""-2.98"""
"""2.541748224""","""5.77""","""-2.00""","""-3.26"""
"""2.60046848""","""8.59""","""-1.96""","""-3.30"""
"""2.667577344""","""11.77""","""-1.41""","""-3.77"""
"""2.81018368""","""8.55""","""-2.51""","""-2.79"""
"""2.843738112""","""6.90""","""-3.02""","""-1.22"""
"""2.927624192""","""8.71""","""-3.02""","""-1.57"""
"""3.011510272""","""14.24""","""-4.20""","""-1.45"""
"""3.0786191360000004""","""13.85""","""-7.41""","""-4.39"""
"""3.162505216""","""5.88""","""0.51""","""-2.90"""
"""3.246391296""","""9.02""","""-4.63""","""-1.77"""
"""3.3386659840000004""","""8.12""","""-2.86""","""-3.33"""
"""3.422552064""","""11.85""","""-1.65""","""-2.04"""
"""3.506438144""","""7.85""","""-0.90""","""-1.33"""
"""3.5735470080000002""","""7.85""","""-0.71""","""-2.39"""
"""3.6406558720000004""","""13.93""","""-2.39""","""-1.84"""
"""3.7748736000000003""","""12.04""","""0.04""","""-4.90"""
"""3.8168166400000003""","""3.18""","""-2.04""","""-3.22"""
"""3.909091328""","""9.57""","""0.12""","""-4.71"""
"""3.9594229760000004""","""9.22""","""-2.31""","""-3.10"""
"""4.060086272""","""8.24""","""-2.63""","""-2.82"""
"""4.1439723520000005""","""6.47""","""-2.43""","""-1.10"""
"""4.211081216""","""9.45""","""-4.24""","""-2.75"""
"""4.303355904""","""11.89""","""-4.24""","""-0.31"""
"""4.378853376""","""11.10""","""-9.57""","""-7.57"""
"""4.454350848000001""","""6.32""","""0.47""","""-3.18"""
"""4.588568576""","""8.00""","""-7.45""","""-3.53"""
"""4.655677440000001""","""7.65""","""0.04""","""-2.67"""
"""4.714397696000001""","""8.67""","""-0.75""","""-2.20"""
"""4.78150656""","""6.86""","""-1.80""","""-0.82"""
"""4.882169856""","""11.02""","""-1.84""","""-4.08"""
"""4.932501504""","""16.32""","""-4.24""","""-6.98"""
"""5.033164800000001""","""8.12""","""0.24""","""-3.73"""
"""5.108662272""","""7.26""","""-2.43""","""-4.59"""
"""5.20093696""","""13.57""","""-2.59""","""-4.04"""
"""5.259657216""","""5.81""","""-1.29""","""-3.18"""
"""5.351931904000001""","""7.53""","""-3.22""","""-2.12"""
"""5.486149632""","""8.39""","""-2.94""","""-1.37"""
"""5.544869888""","""11.85""","""-2.82""","""-1.37"""
"""5.611978752000001""","""12.94""","""-4.86""","""-5.65"""
"""5.687476224""","""6.86""","""-1.53""","""-4.63"""
"""5.754585088000001""","""8.83""","""-1.02""","""-2.28"""
"""5.8468597760000005""","""7.61""","""-4.47""","""-2.90"""
"""5.930745856000001""","""8.04""","""-1.84""","""-3.22"""
"""6.014631936000001""","""9.41""","""-0.59""","""-1.53"""
"""6.073352192000001""","""7.26""","""-1.33""","""-1.37"""
"""6.174015488""","""13.96""","""-2.28""","""1.80"""
"""6.257901568""","""13.77""","""-3.88""","""-3.37"""
"""6.3082332160000005""","""6.12""","""-2.31""","""-4.00"""
"""6.408896512""","""9.34""","""-1.65""","""-2.43"""
