Time [sec],ACC X,ACC Y,ACC Z
0.006,1.14,-9.06,1.73
0.035,2.04,-9.1,2.9
0.104,0.78,-8.28,1.33
0.151,2.43,-9.96,0.67
0.205,0.71,-12.4,0.08
0.23,-1.18,-9.69,-0.59
0.296,-0.12,-15.22,-2.43
0.347,0.08,-13.45,-2.79
0.4,-1.57,-16.08,-4.04
0.451,-0.31,-12,-2.24
0.606,-4.98,-0.2,0.35
0.641,6,-16,-4.39
0.716,-2.82,-9.06,0.98
0.749,-1.22,-15.81,2.2
0.802,0.08,-15.85,1.8
0.852,3.45,-13.77,4.12
0.906,5.14,-11.18,0.75
0.953,-1.45,-5.49,2.59
1.004,1.29,-1.18,2.98
1.058,-1.92,-2.71,6.04
1.225,2.67,-16.83,-3.41
1.268,-2.04,-10.08,-0.51
1.326,-3.53,-5.1,-4.98
1.38,-1.02,-0.59,1.37
1.427,-2.12,-0.98,5.73
1.478,-3.84,-10.98,3.02
1.532,-1.84,-12.91,3.33
1.568,-0.43,-14.83,-1.1
1.617,1.65,-14.83,3.57
1.667,1.88,-9.89,3.37
1.727,2.82,-4.51,-0.39
1.78,-0.27,-1.06,5.18
1.857,-0.82,0.59,0.04
1.871,-2.59,-11.06,-2.08
1.939,-2.08,-20.01,11.77
1.97,5.61,-12.2,-2
2.023,-2.31,-12.32,-2.9
2.08,-2.43,-6.86,-3.8
2.138,-0.9,-3.22,-2
2.187,-1.22,-1.57,1.65
2.239,-11.53,-9.61,9.38
2.298,-3.88,-10.83,4.55
2.349,0.63,-13.96,0.71
2.38,3.33,-11.53,0.82
2.43,4.67,-16.12,1.73
2.534,2.86,-4.43,1.61
2.547,-1.73,-1.69,6.08
2.775,-1.61,0.35,-0.2
2.786,-2.47,-2.08,6.16
2.842,-2.47,-8.08,-4.04
2.905,-0.9,-1.14,-1.92
2.962,-2.86,-0.47,2.04
3.009,-20.01,-8.28,3.88
3.169,2.2,-16.48,0
3.201,6.08,-11.45,1.61
3.256,1.14,-7.73,2.47
3.311,1.06,-2.12,3.88
3.366,0.63,0.67,-0.82
3.398,-3.92,-14.71,2.59
3.451,-3.65,-20.01,7.18
3.522,6.16,-12.2,-2.98
3.556,-2.79,-15.02,-3.73
3.609,-2.31,-9.85,-5.18
3.659,-1.69,-1.26,-1.8
3.726,1.73,-1.88,2.71
3.782,-14.36,-8.87,7.53
3.804,1.84,-8.59,0.43
3.862,0.24,-12.71,-0.78
3.912,0.94,-10.24,-0.59
3.96,2.24,-13.3,3.14
4.012,1.45,-10.59,-0.2
