Time [sec],ACC X,ACC Y,ACC Z
0.025,1.06,-9.85,-0.78
0.032,0.94,-9.85,-0.94
0.052,1.1,-10.16,-1.77
0.129,0.31,-9.69,-1.14
0.157,0.27,-9.53,-0.86
0.232,0.43,-9.61,-0.98
0.279,0.43,-9.41,-1.18
0.327,0.2,-10.04,-0.27
0.381,-0.16,-10.16,-0.35
0.431,-1.18,-10.83,-0.16
0.484,-0.39,-10.87,0.16
0.553,3.45,-11.77,0.71
0.583,2.04,-12.32,0.98
0.614,4.2,-10.32,-0.55
0.689,2.63,-11.1,-2.47
0.737,0.82,-8.24,-1.18
0.788,2.63,-8.04,-2
0.845,2.67,-7.57,-2.39
0.89,2.04,-7.22,-3.49
0.937,1.61,-7.61,-3.53
0.993,1.96,-7.88,-4.31
1.047,1.06,-9.06,-5.41
1.094,1.61,-10.2,-5.22
1.143,1.88,-9.34,-6.24
1.195,6.32,-14.91,-0.47
1.246,3.65,-8.59,0.24
1.319,0.75,-8.39,0.82
1.339,1.1,-8.9,-1.53
1.393,2.39,-10.16,0.43
1.451,1.14,-8.75,0.2
1.511,1.45,-9.89,0.39
1.535,-0.98,-9.53,-0.24
1.601,-1.8,-9.18,-0.55
1.648,-0.04,-10.71,-1.06
1.701,-2.79,-11.18,-0.98
1.754,0.43,-13.02,1.06
1.791,5.45,-12.91,1.41
1.842,3.45,-9.38,2.16
2.012,2.16,-7.73,-1.84
2.061,0.98,-6.55,-3.06
2.122,1.14,-5.1,-3.22
2.148,1.18,-3.92,-3.8
2.209,2.2,-9.81,-5.1
2.266,4.35,-14.28,-4.75
2.559,2.16,-8.32,-7.18
2.565,4.79,-18.44,2.86
2.572,3.37,-5.92,1.57
2.576,1.22,-5.18,-0.12
2.626,0.47,-8.98,-0.12
2.677,0.55,-9.45,0.24
2.728,-1.96,-9.41,-1.06
2.779,-0.94,-9.81,-0.98
2.836,-2.75,-9.22,-0.47
2.866,2.2,-15.18,2.51
2.929,5.33,-12.36,1.8
2.98,5.69,-14.04,1.37
3.03,4.2,-11.41,-0.43
3.132,0.55,-9.06,-2.12
3.14,1.06,-6,-2.28
3.182,0.16,-4.9,-2.94
3.234,0.86,-3.26,-3.57
3.289,1.61,-5.22,-4.16
3.342,1.8,-13.81,-1.96
3.373,3.22,-12.63,-6.39
3.424,4.39,-6.47,-6.2
3.496,3.77,-15.14,6.32
3.525,2.79,-6.51,2.12
3.58,1.02,-4.12,-2
3.631,3.57,-13.93,1.65
3.702,1.18,-8.32,2
3.727,0.35,-9.3,0.43
3.895,-0.04,-10.4,-0.82
3.944,-2.75,-10.51,-0.94
3.998,0.04,-12.28,1.69
4.052,6.79,-12.47,1.33
4.104,4.39,-12.55,2.2
4.139,5.49,-14.16,1.37
4.199,-0.71,-10.12,-3.26
4.252,1.69,-7.22,-1.02
4.302,-0.75,-6.39,-2.71
4.353,0.43,-3.96,-2.75
4.402,0.94,-2.79,-3.92
4.499,1.84,-10.12,-4.28
4.523,5.26,-13.73,-3.22
4.563,0.9,-4.12,-9.14
4.619,8.47,-20.01,-7.02
4.684,4.47,-15.14,3.14
4.704,1.22,-7.06,-0.9
4.759,3.22,-5.37,-1.41
4.813,2.63,-12.71,4.31
4.865,-1.02,-9.1,0.31
4.916,0.71,-7.49,0.04
4.963,-0.71,-9.26,-0.94
5.066,-1.41,-10.59,-1.26
5.076,-4.2,-11.57,-0.9
5.125,-0.24,-11.41,0.75
5.182,7.18,-14.36,1.41
5.21,4.2,-13.1,3.18
5.268,8,-12.75,0.94
5.329,1.41,-9.45,-2.31
5.382,1.53,-8,-1.65
5.443,1.18,-5.88,-3.14
5.467,-0.35,-4.67,-3.14
5.527,0.82,-3.65,-5.22
5.575,0.98,-10.08,-3.49
5.623,3.69,-10.67,-4.51
5.684,7.92,-20.01,-5.69
5.718,2.2,-9.34,0.39
5.787,1.06,-6.94,-0.43
5.841,1.77,-10.43,-2.16
5.895,1.88,-10.79,0.51
5.964,-0.04,-8.24,-0.24
5.974,0.78,-8.94,-0.51
6.037,0.2,-9.73,-0.2
6.097,-0.55,-9.81,-0.35
6.127,1.22,-9.96,0.08
6.186,-1.29,-10.12,-0.55
6.238,-0.51,-11.41,0
6.285,1.92,-12.12,0.12
6.362,2,-13.89,3.26
6.387,3.92,-9.18,-0.12
6.438,5.92,-12.67,-0.78
6.494,0.04,-9.53,-1.45
6.54,1.29,-7.88,-1.73
6.593,1.96,-7.61,-3.1
6.641,1.61,-5.92,-3.84
6.7,1.06,-5.84,-3.92
6.743,0.82,-8.67,-4.04
6.797,1.41,-11.14,-4.82
6.843,2.51,-9.49,-6
6.903,1.29,-9.65,-7.02
7.005,3.92,-12.83,-2.79
7.018,6.39,-11.02,1.29
7.063,2.04,-5.61,0.59
7.116,0.16,-8.12,-0.59
7.167,2.47,-12.32,1.06
7.203,0.94,-8.87,-0.12
7.251,1.69,-9.57,0.24
7.314,-0.31,-9.69,-0.59
7.361,-0.75,-8.94,-0.24
7.418,0.04,-9.53,-0.08
7.471,0.08,-10.32,-0.67
7.529,-2.39,-10.4,-1.49
7.571,-0.98,-11.38,0.71
7.847,3.22,-14.04,0.47
7.874,1.65,-7.81,-3.02
7.936,0.78,-7.3,-3.1
7.984,0.24,-5.1,-3.57
8.014,1.06,-6.08,-3.53
8.077,1.92,-10.55,-4.12
8.135,2.71,-10.08,-3.45
8.17,1.84,-11.92,-7.1
8.231,1.41,-9.41,-6.83
8.331,4.79,-15.06,3.26
8.341,3.49,-5.57,0.24
8.38,1.1,-7.3,0.2
8.436,2.39,-11.96,0.35
8.491,1.41,-8.98,0.27
8.522,0.78,-8.63,0.12
8.593,1.61,-10.2,0.39
8.628,-0.86,-9.49,-0.51
8.683,-1.37,-9.26,-0.51
8.735,-0.08,-10.12,-0.98
8.789,-2.31,-9.92,-0.2
8.84,-0.55,-11.81,0.08
8.895,4.08,-13.22,0.67
8.963,3.96,-11.06,2.94
8.985,5.49,-12.67,0.51
9.04,2.31,-10.98,-1.53
9.096,-0.2,-8.36,-2.12
9.149,1.26,-5.88,-2.63
9.208,0.9,-6.75,-3.1
9.259,1.29,-4.82,-3.73
9.308,1.45,-4.94,-3.77
9.365,2.39,-11.45,-4.16
9.397,2.79,-14.04,-4.55
9.45,0.9,-7.41,-8.83
9.508,5.22,-20.01,3.02
9.661,1.29,-10.83,-0.43
9.718,2.43,-11.49,1.77
9.77,0.55,-8.71,-0.63
9.8,1.18,-9.02,-0.12
9.862,-0.78,-9.49,-0.86
9.913,-1.49,-9.49,-0.78
9.969,0,-9.89,-0.75
10.028,-1.8,-10.63,0.31
10.075,-0.24,-12.55,0.2
10.126,3.45,-14.2,2.31
10.19,3.3,-9.3,0.98
10.207,6.59,-12.94,0.67
10.261,2.04,-10.28,-2.04
10.318,0.86,-7.81,-1.41
10.376,1.77,-6.35,-2.67
10.431,1.02,-6.55,-2.82
10.48,0.98,-5.65,-2.24
10.533,1.29,-8.47,-5.22
