"""Time[sec]""","""ACC X""","""ACC Y""","""ACC Z"""
"""0.0""","""3.10""","""0.20""","""6.43"""
"""0.1""","""3.02""","""0.12""","""6.43"""
"""0.2""","""3.37""","""0.08""","""7.61"""
"""0.3""","""2.75""","""2.71""","""8.20"""
"""0.4""","""1.61""","""3.49""","""6.63"""
"""0.5""","""6.20""","""5.45""","""16.20"""
"""0.6""","""3.37""","""3.18""","""9.96"""
"""0.7""","""2.35""","""0.24""","""-1.29"""
"""0.8""","""1.73""","""-2.08""","""1.77"""
"""0.9""","""4.98""","""1.96""","""19.06"""
"""1.0""","""4.94""","""5.92""","""11.34"""
"""1.1""","""0.43""","""2.90""","""0.98"""
"""1.2""","""-1.69""","""3.18""","""-0.27"""
"""1.3""","""2.90""","""8.75""","""16.59"""
"""1.4""","""4.59""","""2.00""","""13.34"""
"""1.5""","""3.02""","""-2.28""","""-1.14"""
"""1.6""","""1.57""","""-2.16""","""1.02"""
"""1.7""","""6.55""","""7.18""","""20.01"""
"""1.8""","""3.33""","""5.61""","""6.39"""
"""1.9""","""-0.20""","""1.41""","""0.39"""
"""2.0""","""-1.45""","""2.67""","""4.71"""
"""2.1""","""0.94""","""5.26""","""18.44"""
"""2.2""","""4.86""","""1.10""","""12.55"""
"""2.3""","""2.39""","""-2.90""","""-1.22"""
"""2.4""","""2.51""","""-6.9""","""8.002.31"""
"""2.4""","""-0.86""","""4.47""","""7.57"""
"""2.5""","""-2.63""","""5.22""","""-1.573.80"""
"""2.5""","""5.33""","""-2.2""","""14.003.84"""
"""2.5""","""2.75""","""-1.73""","""-2.82"""
"""2.6""","""7.81""","""-3.30""","""15.53"""
"""2.7""","""5.33""","""5.02""","""11.96"""
"""2.8""","""-0.75""","""4.00""","""3.02"""
"""2.9""","""0.04""","""1.06""","""3.26"""
"""3.0""","""7.65""","""-5.73""","""16.00"""
"""3.1""","""6.75""","""-2.79""","""12.59"""
"""3.2""","""1.57""","""-2.82""","""-0.55"""
"""3.3""","""3.33""","""-3.73""","""1.22"""
"""3.4""","""9.41""","""6.39""","""17.81"""
"""3.5""","""3.22""","""4.31""","""5.96"""
"""3.6""","""-0.24""","""0.94""","""-1.26"""
"""3.7""","""2.63""","""4.35""","""5.65"""
"""3.8""","""3.45""","""1.80""","""12.98"""
"""3.9""","""3.69""","""-1.14""","""2.94"""
"""4.0""","""2.59""","""-3.06""","""2.39"""
"""4.1""","""10.40""","""5.26""","""15.10"""
"""4.2""","""3.84""","""6.00""","""9.92"""
"""4.3""","""0.31""","""2.79""","""-0.82"""
"""4.4""","""3.65""","""3.96""","""10.04"""
"""4.5""","""5.18""","""1.02""","""12.79"""
"""4.6""","""1.84""","""-1.69""","""3.53"""
"""4.7""","""4.98""","""-3.02""","""0.63"""
"""4.8""","""9.61""","""3.69""","""9.96"""
"""4.9""","""0.86""","""0.43""","""12.71"""
"""5.0""","""0.39""","""3.30""","""5.22"""
"""5.1""","""-1.65""","""2.71""","""5.96"""
"""5.2""","""3.69""","""6.55""","""20.01"""
"""5.3""","""4.47""","""-2.59""","""7.30"""
"""5.4""","""1.26""","""-5.96""","""-0.51"""
"""5.5""","""4.94""","""-0.98""","""10.40"""
"""5.6""","""3.88""","""5.06""","""13.81"""
"""5.7""","""-0.67""","""4.28""","""3.88"""
"""5.8""","""-2.08""","""1.41""","""0.43"""
"""5.9""","""8.79""","""3.18""","""8.28"""
"""6.0""","""4.98""","""-0.31""","""12.63"""
"""6.1""","""0.39""","""-1.22""","""-1.77"""
"""6.2""","""3.96""","""-5.73""","""3.45"""
"""6.3""","""12.16""","""0.04""","""19.73"""
"""6.4""","""4.94""","""3.37""","""11.38"""
"""6.5""","""-0.55""","""2.79""","""-0.94"""
"""6.6""","""0.94""","""5.30""","""8.28"""
"""6.7""","""4.59""","""7.41""","""20.01"""
"""6.8""","""7.45""","""-1.37""","""10.83"""
"""6.9""","""1.41""","""-5.84""","""-2.12"""
"""7.0""","""4.16""","""-4.51""","""6.24"""
"""7.1""","""8.12""","""5.02""","""17.10"""
"""7.2""","""0.24""","""2.28""","""4.20"""
"""7.3""","""-2.71""","""4.51""","""-2.08"""
"""7.4""","""6.86""","""5.06""","""14.36"""
"""7.5""","""3.73""","""-1.10""","""12.00"""
"""7.6""","""4.16""","""-4.43""","""-0.27"""
"""7.7""","""4.16""","""-6.75""","""-0.08"""
"""7.8""","""10.04""","""-0.43""","""17.77"""
"""7.9""","""2.67""","""4.24""","""12.28"""
"""8.0""","""-2.24""","""3.53""","""2.16"""
"""8.1""","""-2.35""","""3.14""","""4.67"""
"""8.2""","""6.35""","""5.10""","""20.01"""
"""8.3""","""6.39""","""-0.08""","""8.67"""
"""8.4""","""1.29""","""-9.30""","""-3.41"""
"""8.5""","""5.84""","""-8.83""","""11.73"""
"""8.6""","""5.77""","""1.69""","""20.01"""
"""8.7""","""-0.39""","""1.41""","""2.79"""
