"""TIME""","""ACCX""","""ACCY""","""ACCZ"""
"""0.0""","""10.40""","""2.75""","""0.59""","""1571"""
"""0.01""","""9.41""","""1.26""","""0.59""","""1572"""
"""0.02""","""17.93""","""6.28""","""1.29""","""1573"""
"""0.03""","""5.22""","""0.39""","""0.31""","""1574"""
"""0.04""","""2.67""","""-2.94""","""3.26""","""1575"""
"""0.05""","""20.01""","""4.20""","""2.04""","""1576"""
"""0.060000000000000005""","""6.75""","""2.59""","""1.88""","""1577"""
"""0.07""","""2.43""","""-2.24""","""0.55""","""1578"""
"""0.08""","""19.93""","""3.92""","""-3.65""","""1579"""
"""0.09""","""7.65""","""2.04""","""1.29""","""1580"""
"""0.09999999999999999""","""1.77""","""-1.88""","""1.92""","""1581"""
"""0.10999999999999999""","""13.93""","""7.18""","""0.27""","""1582"""
"""0.11999999999999998""","""11.49""","""1.49""","""1.14""","""1583"""
"""0.12999999999999998""","""0.51""","""0.59""","""0.12""","""1584"""
"""0.13999999999999999""","""20.01""","""5.22""","""0.98""","""1585"""
"""0.15""","""7.92""","""2.12""","""1.65""","""1586"""
"""0.16""","""0.39""","""-2.04""","""1.69""","""1587"""
"""0.17""","""20.01""","""1.45""","""-2.43""","""1588"""
"""0.18000000000000002""","""15.06""","""3.96""","""1.45""","""1589"""
"""0.19000000000000003""","""-0.08""","""0.16""","""0.59""","""1590"""
"""0.20000000000000004""","""20.01""","""-3.61""","""5.22""","""1591"""
"""0.21000000000000005""","""17.02""","""3.92""","""-0.24""","""1592"""
"""0.22000000000000006""","""3.73""","""-0.67""","""0.12""","""1593"""
"""0.23000000000000007""","""5.45""","""1.57""","""5.49""","""1594"""
"""0.24000000000000007""","""17.18""","""2.43""","""-6.04""","""1595"""
"""0.25000000000000006""","""2.82""","""2.00""","""0.16""","""1596"""
"""0.26000000000000006""","""-0.31""","""-1.92""","""0.90""","""1597"""
"""0.2700000000000001""","""20.01""","""1.22""","""9.85""","""1598"""
"""0.2800000000000001""","""18.99""","""2.82""","""-1.45""","""1599"""
"""0.2900000000000001""","""2.28""","""0.67""","""3.84""","""1600"""
"""0.3000000000000001""","""12.16""","""0.00""","""3.96""","""1601"""
"""0.3100000000000001""","""17.38""","""8.98""","""1.53""","""1602"""
"""0.3200000000000001""","""8.67""","""2.79""","""2.00""","""1603"""
"""0.3300000000000001""","""2.39""","""-3.22""","""0.47""","""1604"""
"""0.34000000000000014""","""20.01""","""-4.39""","""5.92""","""1605"""
"""0.35000000000000014""","""19.26""","""5.69""","""2.28""","""1606"""
"""0.36000000000000015""","""5.14""","""1.45""","""0.51""","""1607"""
"""0.37000000000000016""","""0.43""","""-0.86""","""0.35""","""1608"""
"""0.38000000000000017""","""16.28""","""-2.59""","""-1.41""","""1609"""
"""0.3900000000000002""","""13.93""","""4.00""","""-1.06""","""1610"""
"""0.4000000000000002""","""5.96""","""0.98""","""3.41""","""1611"""
"""0.4100000000000002""","""1.45""","""-0.98""","""2.75""","""1612"""
"""0.4200000000000002""","""17.30""","""3.18""","""2.67""","""1613"""
"""0.4300000000000002""","""7.30""","""2.75""","""-1.53""","""1614"""
"""0.4400000000000002""","""1.14""","""-0.78""","""0.90""","""1615"""
"""0.45000000000000023""","""4.55""","""-1.10""","""3.30""","""1616"""
"""0.46000000000000024""","""16.79""","""5.02""","""-4.08""","""1617"""
"""0.47000000000000025""","""3.37""","""2.71""","""-1.84""","""1618"""
"""0.48000000000000026""","""0.86""","""2.98""","""3.84""","""1619"""
"""0.49000000000000027""","""6.20""","""-4.86""","""3.96""","""1620"""
"""0.5000000000000002""","""19.93""","""7.65""","""1.18""","""1621"""
"""0.5100000000000002""","""6.59""","""2.71""","""0.82""","""1622"""
"""0.5200000000000002""","""1.10""","""-2.47""","""2.35""","""1623"""
"""0.5300000000000002""","""12.67""","""-2.35""","""5.65""","""1624"""
"""0.5400000000000003""","""20.01""","""1.10""","""-1.10""","""1625"""
"""0.5500000000000003""","""5.81""","""2.08""","""-1.10""","""1626"""
"""0.5600000000000003""","""3.06""","""0.39""","""3.80""","""1627"""
"""0.5700000000000003""","""15.14""","""4.79""","""0.71""","""1628"""
"""0.5800000000000003""","""10.47""","""3.18""","""-1.02""","""1629"""
"""0.5900000000000003""","""1.33""","""0.35""","""4.51""","""1630"""
"""0.6000000000000003""","""9.14""","""1.29""","""3.10""","""1631"""
"""0.6100000000000003""","""20.01""","""9.41""","""0.63""","""1632"""
"""0.6200000000000003""","""7.10""","""2.94""","""2.35""","""1633"""
"""0.6300000000000003""","""0.86""","""0.43""","""2.00""","""1634"""
"""0.6400000000000003""","""20.01""","""1.29""","""-0.20""","""1635"""
"""0.6500000000000004""","""19.50""","""-0.43""","""1.33""","""1636"""
"""0.6600000000000004""","""3.92""","""2.04""","""-0.16""","""1637"""
"""0.6700000000000004""","""2.79""","""-2.16""","""2.35""","""1638"""
"""0.6800000000000004""","""15.14""","""4.90""","""-4.43""","""1639"""
"""0.6900000000000004""","""5.92""","""2.86""","""-1.80""","""1640"""
"""0.7000000000000004""","""2.75""","""0.39""","""3.61""","""1641"""
"""0.7100000000000004""","""10.98""","""-4.86""","""3.18""","""1642"""
"""0.7200000000000004""","""19.18""","""7.69""","""0.31""","""1643"""
"""0.7300000000000004""","""10.55""","""2.12""","""1.02""","""1644"""
"""0.7400000000000004""","""2.67""","""0.31""","""2.75""","""1645"""
"""0.7500000000000004""","""17.89""","""3.80""","""1.53""","""1646"""
"""0.7600000000000005""","""2.20""","""3.02""","""-0.82""","""1647"""
"""0.7700000000000005""","""2.20""","""-1.45""","""2.94""","""1648"""
"""0.7800000000000005""","""19.93""","""2.35""","""-2.35""","""1649"""
"""0.7900000000000005""","""2.39""","""5.61""","""-0.27""","""1650"""
"""0.8000000000000005""","""1.33""","""-2.16""","""1.45""","""1651"""
"""0.8100000000000005""","""12.63""","""-2.16""","""4.71""","""1652"""
"""0.8200000000000005""","""20.01""","""1.06""","""0.08""","""1653"""
"""0.8300000000000005""","""3.53""","""-0.55""","""-0.67""","""1654"""
"""0.8400000000000005""","""0.39""","""-1.92""","""-2.16""","""1655"""
"""0.8500000000000005""","""18.36""","""-0.35""","""-3.18""","""1656"""
"""0.8600000000000005""","""2.86""","""1.77""","""-1.29""","""1657"""
"""0.8700000000000006""","""0.94""","""-0.86""","""3.53""","""1658"""
"""0.8800000000000006""","""20.01""","""3.69""","""2.75""","""1659"""
"""0.8900000000000006""","""10.16""","""3.57""","""-1.73""","""1660"""
"""0.9000000000000006""","""1.53""","""-0.71""","""2.51""","""1661"""
"""0.9100000000000006""","""20.01""","""4.79""","""-12.32""","""1662"""
"""0.9200000000000006""","""20.01""","""4.08""","""-0.08""","""1663"""
"""0.9300000000000006""","""3.73""","""0.43""","""2.51""","""1664"""
"""0.9400000000000006""","""7.18""","""-6.55""","""3.49""","""1665"""
"""0.9500000000000006""","""20.01""","""4.94""","""-1.10""","""1666"""
"""0.9600000000000006""","""11.57""","""2.16""","""0.35""","""1667"""
"""0.9700000000000006""","""1.53""","""-0.71""","""-1.49""","""1668"""
"""0.9800000000000006""","""19.61""","""0.20""","""-2.71""","""1669"""
"""0.9900000000000007""","""6.86""","""3.26""","""0.59""","""1670"""
"""1.0000000000000007""","""0.63""","""-0.71""","""-0.31""","""1671"""
"""1.0100000000000007""","""19.34""","""1.41""","""-1.10""","""1672"""
"""1.0200000000000007""","""11.30""","""3.02""","""-0.59""","""1673"""
"""1.0300000000000007""","""3.18""","""-0.04""","""-0.31""","""1674"""
"""1.0400000000000007""","""20.01""","""-1.65""","""2.20""","""1675"""
"""1.0500000000000007""","""20.01""","""2.16""","""0.47""","""1676"""
"""1.0600000000000007""","""4.86""","""0.51""","""0.67""","""1677"""
"""1.0700000000000007""","""3.02""","""-1.61""","""3.41""","""1678"""
"""1.0800000000000007""","""17.30""","""0.04""","""-2.28""","""1679"""
"""1.0900000000000007""","""5.53""","""1.88""","""-1.61""","""1680"""
"""1.1000000000000008""","""1.73""","""-0.94""","""0.90""","""1681"""
"""1.1100000000000008""","""19.14""","""1.65""","""5.92""","""1682"""
"""1.1200000000000008""","""17.81""","""2.35""","""-0.43""","""1683"""
"""1.1300000000000008""","""2.47""","""0.39""","""4.35""","""1684"""
"""1.1400000000000008""","""20.01""","""0.27""","""0.43""","""1685"""
"""1.1500000000000008""","""14.24""","""9.85""","""2.79""","""1686"""
"""1.1600000000000008""","""6.51""","""2.20""","""-0.82""","""1687"""
"""1.1700000000000008""","""6.04""","""0.47""","""-0.43""","""1688"""
"""1.1800000000000008""","""4.75""","""0.47""","""2.79""","""1689"""
"""1.1900000000000008""","""8.47""","""0.63""","""-0.63""","""1690"""
"""1.2000000000000008""","""11.73""","""0.71""","""0.39""","""1691"""
"""1.2100000000000009""","""7.61""","""1.65""","""-0.12""","""1692"""
"""1.2200000000000009""","""10.51""","""1.80""","""0.08""","""1693"""
"""1.2300000000000009""","""10.59""","""2.08""","""-0.27""","""1694"""
"""1.2400000000000009""","""10.51""","""2.04""","""-0.55""","""1695"""
"""1.2500000000000009""","""10.47""","""2.08""","""-0.39""","""1696"""
"""1.260000000000001""","""10.63""","""2.08""","""-0.08""","""1697"""
"""1.270000000000001""","""10.63""","""1.92""","""-0.20""","""1698"""
"""1.280000000000001""","""10.43""","""2.00""","""-0.08""","""1699"""
"""1.290000000000001""","""10.55""","""1.77""","""0.04""","""1700"""
"""1.300000000000001""","""10.59""","""1.77""","""0.16""","""1701"""
