TIME,ACCX,ACCY,ACCZ,
0,8.08,-3.41,-4.12,766
0.01,8.04,-3.96,-3.57,767
0.02,7.81,-3.41,-2.86,768
0.03,8.79,-3.88,-3.22,769
0.04,5.73,-1.26,-4.59,770
0.05,5.02,-1.41,-6.9,771
0.06,11.1,-2.55,-4.31,772
0.07,7.69,-0.63,-5.57,773
0.08,8.94,-8.43,-4.08,774
0.09,8.47,-8.55,-3.3,775
0.1,9.02,-2.55,-3.37,776
0.11,7.14,-2.79,-2.31,777
0.12,7.1,-4.94,0.12,778
0.13,10.98,2.31,-4.63,779
0.14,7.14,-4.51,0.27,780
0.15,6,0.59,0.63,781
0.16,7.14,-5.33,-3.84,782
0.17,8.32,-6.2,-2.35,783
0.18,9.14,-1.22,-4.86,784
0.19,7.77,-2.82,-1.26,785
0.2,6.67,-1.96,-4.04,786
0.21,5.49,-1.33,-8.47,787
0.22,10.98,-4.2,-4.43,788
0.23,6.71,-1.88,-3.26,789
0.24,7.14,-1.37,-2.71,790
0.25,9.02,0.31,-2.08,791
0.26,7.06,6.71,-7.06,792
0.27,4.43,1.69,-4.63,793
0.28,5.96,-0.75,-3.92,794
0.29,8.08,0.47,-7.22,795
0.3,7.37,-7.57,-6.12,796
0.31,12.75,-1.84,-3.02,797
0.32,7.02,-1.88,-2.12,798
0.33,7.41,-2.71,-3.53,799
0.34,5.22,-0.27,-7.73,800
0.35,8.71,9.06,-11.02,801
0.36,3.49,5.3,4.55,802
0.37,6.83,7.85,-5.88,803
0.38,9.26,6.59,-1.29,804
0.39,6.35,6.35,-3.57,805
0.4,9.41,2.75,-4.24,806
0.41,13.22,-3.61,-3.96,807
0.42,11.89,-1.14,-3.84,808
0.43,10.16,-1.29,-1.65,809
0.44,7.85,-4.67,-9.26,810
0.45,9.92,2.04,-7.3,811
0.46,9.73,-1.57,-2.04,812
0.47,10.55,-4.63,-12.67,813
0.48,11.14,2.12,-5.53,814
0.49,8.28,-0.82,-1.26,815
0.5,7.49,5.41,-6.71,816
0.51,8.75,3.33,-7.3,817
0.52,7.37,0.82,-1.84,818
0.53,6.63,0.75,-6.08,819
0.54,1.77,-5.69,-6.51,820
0.55,10.79,2.31,-6.94,821
0.56,5.65,0.31,-2.98,822
0.57,3.84,0.82,-2.24,823
0.58,9.77,-4.47,-8.55,824
0.59,12.08,1.69,-6.86,825
0.6,9.1,0,-3.84,826
0.61,3.73,-3.57,-4.16,827
0.62,7.02,-8.98,-8.36,828
0.63,15.1,-4.24,-7.57,829
0.64,6.75,3.45,-6.63,830
0.65,6.67,-11.53,-4.94,831
0.66,7.85,8,-2.16,832
0.67,10.43,-3.14,-8.36,833
0.68,2.28,-0.04,-1.29,834
0.69,4.31,4.2,-12.43,835
0.7,6.2,7.14,-2.98,836
0.71,9.49,0.12,-2.79,837
0.72,5.22,4.2,-7.77,838
0.73,12.24,-0.86,-12.16,839
0.74,11.73,9.38,-18.16,840
0.75,7.73,1.49,-9.45,841
0.76,7.45,1.37,-5.77,842
0.77,9.38,-0.59,-6.24,843
0.78,3.61,2.04,-4.71,844
0.79,5.33,0.55,-3.84,845
0.8,7.06,1.14,-11.65,846
0.81,5.96,-1.41,-8.94,847
0.82,6.04,-4.28,-8.55,848
0.83,6,-0.94,-5.65,849
0.84,5.49,2.43,-8.67,850
0.85,5.88,-3.92,-14.12,851
0.86,8.2,-0.94,-11.1,852
0.87,4.79,4.04,-6.08,853
0.88,3.06,2.71,-9.38,854
0.89,3.84,-2.16,-10.87,855
0.9,4.82,2,-8.47,856
0.91,5.22,0.2,-3.88,857
0.92,6,3.84,-7.02,858
0.93,6.83,-0.67,-7.3,859
0.94,3.53,6.12,-3.69,860
0.95,2.47,0.94,-3.8,861
0.96,1.92,0.71,-10.87,862
0.97,8.59,2.12,-9.14,863
0.98,4.59,0.94,-4.82,864
0.99,6.47,0.51,-8.36,865
1,4.24,2.35,-4.31,866
1.01,6.24,-1.45,-6.43,867
1.02,5.84,1.22,-6.63,868
1.03,8.16,0.82,-5.18,869
1.04,9.26,-0.08,-10.16,870
1.05,4.63,1.02,-3.3,871
1.06,6.04,-2.63,-6.12,872
1.07,2.39,-5.1,-10.24,873
1.08,11.96,-2.16,-6.35,874
1.09,5.06,-1.77,-5.96,875
1.1,2.67,1.45,-6.71,876
1.11,2.63,-2.39,-7.49,877
1.12,7.69,1.18,-8.28,878
1.13,6.32,0.78,-5.1,879
1.14,4.75,-0.71,-5.33,880
1.15,6.55,-6.47,-11.61,881
1.16,9.3,-1.06,-8.9,882
1.17,6.71,-0.08,-6.04,883
1.18,2.51,0.04,-4.35,884
1.19,4.47,6.28,-14.08,885
1.2,6.16,0.59,-9.45,886
1.21,4.35,1.02,-6.28,887
1.22,4.04,-0.75,-9.69,888
1.23,7.41,0.24,-6.79,889
1.24,5.92,1.73,-5.02,890
1.25,3.1,0.51,-6.04,891
1.26,6.51,-3.41,-11.22,892
