ACC Z,ACC Y,ACC X,Time [sec]
3.1,-9.04,-2.79,0.004
3.1,-9.04,-2.79,0.093
3.1,-9.04,-2.79,0.157
3.1,-9.04,-2.79,0.219
3.1,-9.04,-2.79,0.297
3.18,-8.85,-3.14,0.376
3.26,-8.76,-3.49,0.454
3.18,-8.81,-3.69,0.591
3.18,-8.81,-3.69,0.649
3.18,-8.81,-3.69,0.701
3.18,-8.81,-3.69,0.791
3.18,-8.81,-3.69,0.87
3.18,-8.81,-3.69,0.967
3.18,-8.81,-3.69,1.028
3.18,-8.81,-3.69,1.116
1.96,-11.17,-4.86,1.182
0.8,-9.73,-5.27,1.277
-0.27,-6.76,-4.05,1.356
-0.27,-6.76,-4.05,1.439
-0.27,-6.76,-4.05,1.502
-0.27,-6.76,-4.05,1.58
-0.27,-6.76,-4.05,1.663
-0.27,-6.76,-4.05,1.744
-0.27,-6.76,-4.05,1.823
-0.27,-6.76,-4.05,1.919
0.1,-3.7,-2.82,2.001
-0.65,-1.77,-0.8,2.068
1.33,-2.56,-2.13,2.153
1.33,-2.56,-2.13,2.23
1.33,-2.56,-2.13,2.31
1.33,-2.56,-2.13,2.394
1.33,-2.56,-2.13,2.468
1.33,-2.56,-2.13,2.566
1.33,-2.56,-2.13,2.653
1.33,-2.56,-2.13,2.733
0.8,1.45,-0.58,2.814
2.46,0.22,-1.48,2.896
6.68,-1.09,-2.98,2.971
6.68,-1.09,-2.98,3.049
6.68,-1.09,-2.98,3.142
6.68,-1.09,-2.98,3.201
6.68,-1.09,-2.98,3.283
6.68,-1.09,-2.98,3.361
6.68,-1.09,-2.98,3.453
6.68,-1.09,-2.98,3.54
5.84,-0.77,-2.17,3.602
5.73,-0.9,-2.5,3.693
1.19,-5.24,-1.41,3.778
1.19,-5.24,-1.41,3.859
1.19,-5.24,-1.41,3.931
1.19,-5.24,-1.41,4.015
1.19,-5.24,-1.41,4.091
1.19,-5.24,-1.41,4.189
1.19,-5.24,-1.41,4.264
1.19,-5.24,-1.41,4.341
1.28,-8.02,-2.24,4.435
