ACC Z,ACC Y,ACC X,Time [sec]
-11.17,-1.03,1.87,0.032
-11.21,-0.9,1.62,0.138
-11.14,-0.72,1.18,0.251
-11.14,-0.72,1.18,0.335
-11.14,-0.72,1.18,0.418
-11.14,-0.72,1.18,0.476
-11.14,-0.72,1.18,0.564
-11.14,-0.72,1.18,0.653
-11.14,-0.72,1.18,0.714
-11.14,-0.72,1.18,0.801
-10.47,-0.2,1.6,0.86
-9.73,0.12,2.18,0.951
-9.62,1.01,2.8,1.037
-9.62,1.01,2.8,1.129
-9.62,1.01,2.8,1.217
-9.62,1.01,2.8,1.275
-9.62,1.01,2.8,1.368
-9.62,1.01,2.8,1.46
-9.62,1.01,2.8,1.521
-9.62,1.01,2.8,1.611
-10.21,1.11,2.51,1.707
-11.35,1.29,1.65,1.766
-12.74,0.07,1.56,1.855
-12.74,0.07,1.56,1.949
-12.74,0.07,1.56,2.009
-12.74,0.07,1.56,2.069
-12.74,0.07,1.56,2.161
-12.74,0.07,1.56,2.254
-12.74,0.07,1.56,2.342
-12.74,0.07,1.56,2.402
-13.39,0.03,2.63,2.49
-12.5,-1.29,3.97,2.588
-11.02,-1.35,4.11,2.646
-11.02,-1.35,4.11,2.738
-11.02,-1.35,4.11,2.829
-11.02,-1.35,4.11,2.889
-11.02,-1.35,4.11,2.98
-11.02,-1.35,4.11,3.075
-11.02,-1.35,4.11,3.141
-11.02,-1.35,4.11,3.234
-10.59,-2.3,3.31,3.291
-10.33,-1.57,2.18,3.387
-9.85,-0.98,2.38,3.449
-9.85,-0.98,2.38,3.542
-9.85,-0.98,2.38,3.637
-9.85,-0.98,2.38,3.699
-9.85,-0.98,2.38,3.79
-9.85,-0.98,2.38,3.885
-9.85,-0.98,2.38,3.955
-9.85,-0.98,2.38,4.051
-9.41,-0.6,1.87,4.11
-10.06,-0.12,1.74,4.201
-10.76,0.12,1.05,4.261
-10.76,0.12,1.05,4.353
-10.76,0.12,1.05,4.45
-10.76,0.12,1.05,4.521
-10.76,0.12,1.05,4.621
-10.76,0.12,1.05,4.677
-10.76,0.12,1.05,4.772
-10.76,0.12,1.05,4.834
-10.94,0.58,1.63,4.925
-12.02,0.88,2,5.019
-13.15,-0.31,3.52,5.083
-13.15,-0.31,3.52,5.142
-13.15,-0.31,3.52,5.238
-13.15,-0.31,3.52,5.336
