""
"""Time [sec]""",""" ACC X""","""ACC Y""","""ACC Z"""
"""631984.0""","""5.84""","""-2.39""","""2.16"""
"""632085.0""","""9.22""","""-4.39""","""-1.22"""
"""632186.0""","""8.79""","""-4.98""","""0.55"""
"""632287.0""","""8.87""","""-5.88""","""-0.82"""
"""632388.0""","""14.08""","""-5.3""","""1.1"""
"""632489.0""","""15.22""","""-2.86""","""0.0"""
"""632792.0""","""17.34""","""-3.84""","""-4.16"""
"""632893.0""","""12.75""","""-4.43""","""0.71"""
"""632994.0""","""-8.67""","""-2.39""","""2.39"""
"""633095.0""","""9.26""","""-5.37""","""-0.9"""
"""633196.0""","""19.14""","""-15.97""","""3.22"""
"""633297.0""","""8.71""","""0.24""","""-0.2"""
"""633398.0""","""-5.84""","""-10.43""","""-2.63"""
"""633499.0""","""1.06""","""-0.2""","""11.06"""
"""633600.0""","""20.01""","""-7.57""","""-20.01"""
"""633701.0""","""-4.82""","""0.98""","""-1.77"""
"""633802.0""","""1.69""","""-3.14""","""1.49"""
"""633903.0""","""20.01""","""20.01""","""20.01"""
"""634004.0""","""8.16""","""1.57""","""-5.57"""
"""634105.0""","""-3.3""","""-8.36""","""-5.53"""
"""634206.0""","""4.51""","""4.43""","""20.01"""
"""634307.0""","""20.01""","""0.35""","""-19.18"""
"""634408.0""","""0.31""","""0.43""","""-5.22"""
"""634509.0""","""4.59""","""-8.9""","""1.69"""
"""634610.0""","""20.01""","""-6.24""","""-11.61"""
"""634711.0""","""9.96""","""-0.08""","""-5.06"""
"""634812.0""","""-3.33""","""-11.18""","""-8.67"""
"""634913.0""","""0.08""","""-4.51""","""20.01"""
"""635014.0""","""20.01""","""-5.88""","""-20.01"""
"""635115.0""","""-8.87""","""0.59""","""4.98"""
"""635216.0""","""1.92""","""-12.28""","""2.31"""
"""635317.0""","""20.01""","""-20.01""","""-20.01"""
"""635418.0""","""8.08""","""-5.14""","""-6.51"""
"""635519.0""","""-4.9""","""-8.39""","""-4.94"""
"""635620.0""","""2.51""","""-1.69""","""11.96"""
"""635721.0""","""20.01""","""-0.2""","""-20.01"""
"""635822.0""","""-7.34""","""2.12""","""-5.77"""
"""635923.0""","""2.2""","""-9.22""","""1.29"""
"""636024.0""","""20.01""","""18.32""","""7.49"""
"""636125.0""","""6.2""","""-2.08""","""-2.31"""
"""636226.0""","""-5.18""","""-3.69""","""-0.63"""
"""636327.0""","""11.57""","""-20.01""","""19.61"""
"""636428.0""","""20.01""","""2.35""","""-20.01"""
"""636529.0""","""-19.69""","""2.04""","""19.38"""
"""636630.0""","""20.01""","""-16.75""","""4.67"""
"""636731.0""","""7.61""","""-11.02""","""5.06"""
"""636832.0""","""-3.06""","""-12.94""","""16.0"""
"""636933.0""","""-9.38""","""4.43""","""7.53"""
"""637034.0""","""2.08""","""4.31""","""0.71"""
"""637135.0""","""4.59""","""-2.79""","""-4.28"""
"""637236.0""","""0.35""","""5.14""","""-3.57"""
"""637337.0""","""11.57""","""-20.01""","""-20.01"""
"""637438.0""","""11.34""","""-10.08""","""4.28"""
"""637539.0""","""-3.26""","""-14.95""","""0.24"""
