""
"""Time [sec]""",""" ACC X""","""ACC Y""","""ACC Z"""
"""133850.0""","""8.9""","""-2.28""","""2.71"""
"""133951.0""","""8.24""","""-1.65""","""3.02"""
"""134052.0""","""9.22""","""-3.65""","""3.61"""
"""134153.0""","""10.43""","""-2.51""","""4.04"""
"""134254.0""","""14.04""","""-0.98""","""-2.12"""
"""134355.0""","""7.26""","""-2.47""","""-0.51"""
"""134456.0""","""10.04""","""-2.59""","""-0.75"""
"""134557.0""","""6.9""","""-3.45""","""0.31"""
"""134658.0""","""13.65""","""-4.04""","""0.39"""
"""134759.0""","""10.59""","""-3.02""","""-1.88"""
"""134860.0""","""12.2""","""-3.88""","""-0.12"""
"""134961.0""","""4.16""","""-1.45""","""1.26"""
"""135062.0""","""6.2""","""-1.29""","""1.57"""
"""135163.0""","""11.18""","""-6.98""","""5.65"""
"""135264.0""","""8.36""","""2.12""","""0.51"""
"""135365.0""","""13.3""","""-2.47""","""-2.28"""
"""135466.0""","""4.28""","""-4.12""","""-1.49"""
"""135567.0""","""10.43""","""-2.75""","""-1.84"""
"""135668.0""","""11.18""","""-4.67""","""0.9"""
"""135769.0""","""11.45""","""-2.86""","""-4.59"""
"""135870.0""","""11.69""","""-1.77""","""-0.94"""
"""135971.0""","""3.3""","""-0.16""","""0.75"""
"""136072.0""","""7.18""","""-0.94""","""1.77"""
"""136173.0""","""10.9""","""-7.22""","""6.35"""
"""136274.0""","""5.57""","""1.73""","""-0.27"""
"""136375.0""","""10.0""","""0.35""","""-2.04"""
"""136476.0""","""6.51""","""-3.41""","""-1.69"""
"""136577.0""","""9.3""","""-1.92""","""-0.51"""
"""136678.0""","""10.87""","""-4.71""","""1.41"""
"""136779.0""","""14.79""","""0.63""","""-5.53"""
"""136880.0""","""13.3""","""-3.33""","""-1.29"""
"""136981.0""","""4.39""","""-0.24""","""0.16"""
"""137082.0""","""4.79""","""-0.16""","""2.0"""
"""137183.0""","""12.24""","""-5.81""","""3.1"""
"""137284.0""","""20.01""","""-0.16""","""-2.47"""
"""137385.0""","""11.1""","""-5.37""","""-1.06"""
"""137486.0""","""3.37""","""-1.37""","""-0.67"""
"""137587.0""","""8.12""","""-4.9""","""0.04"""
"""137688.0""","""9.85""","""-3.41""","""0.75"""
"""137789.0""","""15.3""","""-4.2""","""-4.94"""
"""137890.0""","""14.71""","""-0.78""","""-1.14"""
"""137991.0""","""4.82""","""-0.27""","""0.16"""
"""138092.0""","""5.06""","""-1.02""","""1.49"""
"""138193.0""","""14.95""","""-5.77""","""1.84"""
"""138294.0""","""20.01""","""-0.35""","""0.75"""
"""138395.0""","""12.04""","""-4.86""","""-1.69"""
"""138496.0""","""4.9""","""-0.75""","""-0.78"""
"""138597.0""","""8.39""","""-5.57""","""0.31"""
"""138698.0""","""10.36""","""-2.08""","""-0.39"""
"""1.3879913E7""","""17.42""","""-4.39""","""-5.88"""
"""139102.0""","""5.88""","""-0.78""","""1.29"""
"""139203.0""","""14.98""","""-3.92""","""-0.27"""
"""139304.0""","""20.01""","""-1.37""","""-2.24"""
"""139405.0""","""7.37""","""-5.22""","""-0.75"""
"""139506.0""","""6.12""","""0.82""","""-1.26"""
"""139607.0""","""7.69""","""-5.81""","""-0.27"""
"""139708.0""","""10.63""","""-2.24""","""0.12"""
"""139809.0""","""16.87""","""-4.75""","""-5.33"""
"""139910.0""","""12.24""","""-1.61""","""-0.2"""
"""140011.0""","""6.28""","""-0.51""","""-0.47"""
"""140112.0""","""5.57""","""-1.29""","""1.33"""
"""140213.0""","""13.18""","""-3.84""","""0.08"""
"""140314.0""","""19.89""","""-1.1""","""-1.29"""
"""140415.0""","""4.31""","""-1.45""","""0.55"""
"""140516.0""","""7.26""","""1.45""","""-0.71"""
"""140617.0""","""8.98""","""-3.61""","""-1.53"""
"""140718.0""","""10.0""","""-1.26""","""-0.55"""
"""140819.0""","""12.24""","""-4.43""","""-0.94"""
"""140920.0""","""12.24""","""1.14""","""-1.45"""
"""141021.0""","""10.04""","""-5.26""","""-0.82"""
"""141122.0""","""4.2""","""-1.22""","""1.14"""
"""141223.0""","""7.81""","""-1.57""","""1.45"""
"""141324.0""","""12.83""","""-6.63""","""6.28"""
"""141425.0""","""7.61""","""3.65""","""-1.22"""
"""141526.0""","""11.53""","""-0.78""","""-1.45"""
"""141627.0""","""6.83""","""-4.86""","""-0.27"""
"""141728.0""","""9.85""","""-6.63""","""0.86"""
"""141829.0""","""11.57""","""-3.02""","""0.31"""
"""141930.0""","""13.26""","""-2.82""","""-4.0"""
"""142031.0""","""13.89""","""-2.08""","""-1.33"""
"""142132.0""","""5.92""","""-1.8""","""-0.39"""
"""142233.0""","""5.14""","""-2.47""","""2.0"""
"""142334.0""","""15.34""","""-3.88""","""-0.39"""
"""142435.0""","""20.01""","""-2.94""","""0.0"""
"""142536.0""","""8.55""","""-1.73""","""-1.88"""
"""142637.0""","""5.65""","""-0.12""","""-1.53"""
"""142738.0""","""7.49""","""-5.53""","""-0.08"""
"""142839.0""","""10.12""","""-2.67""","""-0.16"""
"""142940.0""","""15.93""","""-2.39""","""-2.67"""
"""143041.0""","""11.22""","""0.71""","""-0.55"""
"""143142.0""","""8.47""","""-2.98""","""-0.43"""
"""143243.0""","""3.22""","""-2.67""","""1.53"""
"""143344.0""","""11.69""","""-2.75""","""0.27"""
"""143445.0""","""17.06""","""-3.49""","""2.2"""
"""143546.0""","""7.61""","""-1.88""","""-1.29"""
"""143647.0""","""7.3""","""0.55""","""-0.51"""
"""143748.0""","""8.08""","""-2.94""","""-1.8"""
"""143849.0""","""9.49""","""-2.51""","""0.35"""
"""143950.0""","""15.14""","""-2.59""","""-0.9"""
"""144051.0""","""10.12""","""-1.92""","""-1.37"""
"""144152.0""","""10.43""","""-4.43""","""-0.55"""
"""144253.0""","""3.02""","""-0.71""","""0.9"""
"""144354.0""","""10.04""","""-1.84""","""0.63"""
"""144455.0""","""10.63""","""-5.33""","""1.88"""
"""144556.0""","""5.49""","""2.28""","""-1.61"""
"""144657.0""","""10.9""","""1.26""","""-0.31"""
"""144758.0""","""7.61""","""-3.49""","""-2.12"""
"""144859.0""","""8.71""","""-4.2""","""-0.55"""
"""144960.0""","""12.32""","""-3.33""","""0.63"""
"""145061.0""","""9.57""","""-1.92""","""-3.22"""
"""145162.0""","""14.04""","""-5.22""","""-0.47"""
"""145263.0""","""4.28""","""1.06""","""0.43"""
"""145364.0""","""6.47""","""-2.04""","""1.18"""
"""145465.0""","""13.06""","""-4.24""","""3.18"""
"""145566.0""","""18.95""","""-1.61""","""-0.2"""
"""145667.0""","""12.12""","""-3.22""","""-1.22"""
"""145768.0""","""4.31""","""-2.0""","""-0.63"""
"""145869.0""","""9.34""","""-5.65""","""0.08"""
"""145970.0""","""10.12""","""-2.71""","""-0.31"""
"""146071.0""","""14.83""","""-4.31""","""-3.88"""
"""146172.0""","""14.36""","""-0.67""","""-1.1"""
