Time [sec],N
0,10.4
0.101,10.45
0.202,10.42
0.303,10.38
0.404,10.33
0.505,10.31
0.606,9.49
0.707,10.17
0.808,10.27
0.909,10.11
1.01,10.05
1.111,11.44
1.212,9.25
1.313,9.75
1.414,7.3
1.515,14.44
1.616,19.97
1.717,15.58
1.818,17.93
1.919,6.01
2.02,8.86
2.121,12.49
2.222,8.75
2.323,9.87
2.424,20.1
2.525,7.77
2.626,8.87
2.727,15.54
2.828,10
2.93,12.74
3.03,21.25
3.132,9.54
3.232,16.59
3.333,21.48
3.434,12.16
3.535,7.49
3.636,25.45
3.737,16.93
3.838,15.76
3.939,15.55
4.04,9.81
4.142,9.35
4.242,22.32
4.343,21.29
4.445,4.49
4.545,21.96
4.646,24.19
4.747,8.2
4.848,17.4
4.949,9.97
5.05,1.4
5.151,17.02
5.252,24.62
5.353,19.78
5.454,12.32
5.555,16.72
5.656,10.62
5.757,10.86
5.858,6.19
5.959,28.47
6.06,14.17
6.161,9.08
6.262,5.5
6.363,23.79
6.464,7.09
6.565,7.9
6.666,11.23
6.767,17.33
6.868,15.97
6.97,9.44
7.07,18.46
7.171,5.88
7.272,8.82
7.373,22.37
7.474,25.4
7.575,9.73
7.677,6.46
7.777,20.01
7.878,4.58
7.979,21.37
8.08,19.25
8.181,9.48
8.282,19.08
8.383,20.42
8.484,5.24
8.585,25.27
8.686,26
8.787,3.65
8.888,6.14
8.989,15.76
9.09,5.88
9.191,20.25
9.292,15.79
9.393,14.43
9.494,12.99
9.595,22.89
9.697,23.93
9.797,10.45
9.898,12.23
9.999,15.73
10.1,17.99
10.202,12.46
10.302,18.23
10.403,21.66
10.505,9.14
10.605,8.8
10.707,28.97
10.807,16.95
10.908,7.17
11.009,29.92
11.11,12.46
11.211,12.37
11.312,1.33
11.413,24.53
11.514,5.39
11.615,10.12
11.716,10.2
11.817,9.95
11.918,10.78
12.019,10.61
