Time [sec],N
0,11.13
0.101,10.65
0.203,11.03
0.303,10.93
0.405,10.28
0.505,10.5
0.606,12.65
0.707,9.56
0.808,9.77
0.909,9.37
1.01,11
1.111,14.15
1.213,9.81
1.313,11.04
1.415,9.57
1.515,10.22
1.616,9.64
1.718,11.95
1.818,16.36
1.92,7.54
2.02,9.92
2.121,8.41
2.223,8.17
2.323,12.43
2.425,13.97
2.525,7.75
2.626,10.07
2.728,8.5
2.828,9.09
2.93,12.76
3.03,17.66
3.131,10.86
3.233,8.51
3.333,8.92
3.434,8.88
3.535,13.41
3.636,10.59
3.738,14.36
3.838,7.69
3.94,9.45
4.04,10.59
4.141,12.18
4.242,8.03
4.343,12.04
4.445,9.07
4.545,8.3
4.646,12.36
4.748,13.79
4.848,7.95
4.949,9.06
5.05,9.21
5.151,9.91
5.253,13.56
5.353,18.91
5.455,12.04
5.555,5.52
5.656,8.02
5.758,10.38
5.858,13.2
5.96,10.4
6.06,14.93
6.161,8.11
6.263,8.2
6.363,12.05
6.465,11.51
6.565,7.61
6.666,10.25
6.768,8.17
6.868,8.76
6.97,13.2
7.07,15.93
7.171,12.27
7.273,8.57
7.373,8.56
7.475,9.62
7.575,13.28
7.676,13.14
7.778,16.73
7.878,8.19
7.98,7.19
8.08,10.94
8.181,15.93
8.283,9.25
8.383,8.09
8.485,8.77
8.585,10.14
8.686,12.53
8.788,14.73
8.888,10.87
8.99,8.41
9.09,9.28
9.191,8.84
9.293,13.37
9.393,15.28
9.495,14.63
9.595,7.81
9.696,9.38
9.798,10.3
9.898,13.01
9.999,13.17
10.1,14.66
10.201,7.82
10.303,7.89
10.403,10.8
10.505,16.87
10.605,10.3
10.706,9.57
10.808,9.75
10.908,9.73
11.01,12.6
11.11,16.89
11.211,15.85
11.313,10.91
11.413,7.3
11.514,10.4
11.615,10.37
11.716,10.37
11.818,9.81
11.918,8.97
12.019,10.93
12.12,12.71
12.221,10.36
12.322,14.84
12.423,9
12.524,9.26
12.625,9.29
12.726,10.12
12.827,14.76
12.928,13.77
13.029,8.78
13.13,9.25
13.231,10.13
13.333,12.64
13.433,12.59
13.534,15.03
13.635,8.21
13.736,9.39
13.837,9.97
13.938,11.94
14.039,11.73
14.14,13.7
14.241,8.41
14.343,9.29
14.443,9.61
14.544,13.25
14.645,14.18
14.746,15.7
14.848,7.95
14.948,9.39
15.049,9.63
15.151,12.67
15.251,18.53
15.353,14
15.453,7.27
15.554,8.47
15.655,9.67
15.756,11.89
15.857,13.6
15.958,7.77
16.059,8.28
16.16,9.14
16.261,9.15
16.362,10.84
16.463,11.37
16.564,11.24
16.665,12.37
16.766,9.45
16.867,9.42
16.968,10.13
17.069,9.55
17.17,11.75
17.271,13.11
17.372,7.64
17.473,13.11
17.574,9.22
17.675,11.5
17.776,9.58
17.877,10.24
17.978,10.21
18.079,14.69
18.18,11.04
18.281,11.06
18.382,10.9
18.483,10.67
18.584,10.72
18.685,10.57
18.786,11.5
18.887,11.44
18.988,10.72
19.089,11.05
19.19,11.21
19.291,9.9
19.392,10.69
19.493,11.07
19.594,10.75
19.695,9.97
19.796,10.43
19.897,12.75
19.998,10.38
20.099,10.33
20.2,10.68
20.301,10.39
20.402,11.8
20.503,10.92
20.604,10.16
20.705,10.51
20.806,10.22
20.907,10.44
21.008,10.26
21.109,10.55
21.21,10.52
21.311,12.43
21.412,11
21.513,11.23
21.614,10.99
21.715,9.53
21.816,10.04
21.917,10.78
22.018,10.49
22.119,9.67
22.22,11.88
22.321,12.98
22.422,10.74
22.523,12.21
22.624,8.83
22.725,9.4
22.826,10.39
22.927,11.83
23.028,15.14
23.129,9.03
23.23,10.95
23.331,9.11
23.432,9.99
23.533,8.91
23.634,11.06
23.735,10.26
23.836,11.26
23.937,14.23
24.038,9.4
24.139,9.72
24.24,9.62
24.341,11.61
24.442,10.99
24.543,12.22
24.644,13.89
24.745,9.02
24.846,9.58
24.947,10.03
25.048,11.2
25.149,14.98
25.25,11.98
25.351,9.68
25.452,10.9
25.553,8.6
25.654,11.15
25.755,12.09
25.856,6.71
25.957,11.12
26.058,9.94
26.159,9.09
26.26,10.37
26.361,12.21
26.462,18
26.563,11.23
26.664,8.52
26.765,10.15
26.866,8.84
26.967,10.66
27.068,12.19
27.169,9.6
27.27,11.94
27.371,9.38
27.472,9.27
27.573,10.28
27.674,12.34
27.775,15.73
27.876,11.68
27.977,8.51
28.078,9.93
28.179,8.89
28.28,12.29
28.381,11.58
28.482,8.38
28.583,11.39
28.684,9.43
28.785,9.2
28.886,9.61
28.987,11.66
29.088,18.73
29.189,9.26
29.29,9.27
29.391,8.97
29.492,8.82
29.593,11.04
29.694,11.24
29.795,16.78
29.896,15.13
29.997,9.1
30.098,10.22
30.199,9.37
30.3,10.86
30.401,10.64
30.502,10.04
30.603,12.4
30.704,9.13
30.805,9.64
30.906,9.7
31.007,12.57
31.108,16.12
31.209,14.14
31.31,9.17
31.411,9.4
31.512,10.34
31.613,11.46
31.714,12.08
31.815,8.48
31.916,13.05
32.017,8.36
32.118,8.82
32.219,10.18
32.32,12.49
32.421,17.95
32.522,11.27
32.623,8.04
32.724,9.08
32.825,10.67
32.926,9.62
33.027,10.85
33.128,16.16
33.229,13.33
33.33,9.67
33.431,10.22
33.532,8.93
33.633,11.98
33.734,13.45
33.835,7.48
33.936,9.79
34.037,9.82
34.138,9.58
34.239,9.17
34.34,11.53
34.441,15.93
34.542,8.53
34.643,9.2
34.744,9.5
34.845,9.18
34.946,9.7
35.047,11.32
35.148,14.74
35.249,7.53
35.35,9.29
35.451,9.77
35.552,9.69
35.653,8.89
35.754,11.71
35.855,15.89
35.956,8.52
36.057,10.07
36.158,9.01
36.259,9.51
36.36,10.08
36.461,11.52
36.562,16.1
36.663,7.25
36.764,9.56
36.865,9.91
36.966,10.01
37.067,9.11
37.168,12.07
37.269,11.04
37.37,8.83
37.471,13.84
37.572,8.65
37.673,10.35
37.774,10.36
37.875,12.05
37.977,13.23
38.077,9.8
38.178,12.26
38.279,9.13
38.38,9.7
38.481,9.47
