Time [sec],ACC X,ACC Y,ACC Z,,,
72186,-10.316596,1.294478,-1.216025,,,
72267,-10.51273,1.176798,-1.372931,,,
72348,-10.355823,1.137571,-1.451384,,,
72429,-10.39505,1.019892,-1.372931,,,
72510,-10.708862,0.784532,-1.333704,,,
72591,-10.473503,0.706079,-0.902212,,,
72672,-9.610518,1.255251,-1.372931,,,
72753,-10.316596,1.294478,-0.784532,,,
72834,-10.51273,1.019892,-1.098345,,,
72915,-9.649744,1.804424,-1.372931,,,
72996,-11.297261,1.686744,-0.039227,,,
73077,-10.355823,1.529837,-0.666852,,,
73158,-10.081236,2.19669,-1.412158,,,
73239,-10.355823,0,-0.11768,,,
73320,-10.708862,0.745305,0.823759,,,
73401,-14.631523,3.334261,1.804424,,,
73482,-11.140355,4.707192,-1.098345,,,
73563,-2.706636,1.686744,-1.84365,,,
73644,-15.180696,5.413271,-4.667965,,,
73725,-19.574074,2.392823,3.491168,,,
73806,-19.299488,-4.628739,-1.725971,,,
73887,-2.471276,-3.295035,-7.178468,,,
73968,-0.274586,-1.216025,1.490611,,,
74049,-20.005568,-5.256365,-3.608848,,,
74130,-20.005568,5.374045,0.156906,,,
74211,3.138128,4.589512,-8.119907,,,
74292,-5.060232,-3.608848,-4.432606,,,
74373,-18.005011,6.433163,10.826543,,,
74454,-20.005568,0.313813,12.199473,,,
74535,-20.005568,-3.92266,4.04034,,,
74616,-3.687301,2.07901,-6.276257,,,
74697,-0.627626,-0.941438,-3.726527,,,
74778,-20.005568,-1.84365,5.256365,,,
74859,-16.200586,-4.15802,4.15802,,,
74940,1.608291,-0.549172,-11.414941,,,
75021,-3.255808,-4.2757,-0.784532,,,
75102,-15.063015,0.549172,-5.491724,,,
75183,-20.005568,-12.709418,11.140355,,,
75264,-5.060232,-11.022676,-13.376271,,,
75345,4.118793,0.156906,-5.727084,,,
75426,-12.866325,-2.706636,-11.53262,,,
75507,-20.005568,-3.608848,2.157463,,,
75588,0.823759,6.315483,-4.785645,,,
75669,-4.393379,-0.196133,-6.393936,,,
75750,-9.924331,5.060232,-14.474616,,,
75831,-17.298931,6.786202,8.08068,,,
75912,-20.005568,-2.785089,4.471833,,,
75993,-2.549729,5.021005,-7.100015,,,
76074,-0.902212,5.217138,-6.433163,,,
76155,-20.005568,-7.492281,4.432606,,,
76236,-20.005568,0.039227,4.903325,,,
76317,3.530394,3.765754,-8.394493,,,
76398,-3.765754,-1.608291,-3.883434,,,
76479,-17.848104,-2.07901,-0.549172,,,
76560,-20.005568,-10.198917,5.570178,,,
76641,-0.23536,-5.570178,-10.669636,,,
76682,3.530394,3.765754,-8.394493,,,
76986,-3.765754,-1.608291,-3.883434,,,
77252,-17.848104,-2.07901,-0.549172,,,
77411,-20.005568,-10.198917,5.570178,,,
77641,-0.23536,-5.570178,-10.669636,,,
77858,-19.966339,5.334818,-1.765197,,,
77884,-20.005568,-3.92266,10.669636,,,
77899,-2.941995,-2.706636,-8.825986,,,
77918,-6.786202,3.883434,1.647517,,,
77928,-20.005568,-5.727084,5.648631,,,
77939,-20.005568,-3.92266,10.669636,,,
77990,-2.941995,-2.706636,-8.825986,,,
78189,-6.786202,3.883434,1.647517,,,
78220,-20.005568,-5.727084,5.648631,,,
78287,0.353039,-10.944222,-9.649744,,,
78378,5.570178,2.19669,-2.07901,,,
78513,-15.769094,-5.256365,-17.76965,,,
78617,-20.005568,-6.550843,0.078453,,,
78888,-0.784532,-2.824315,-1.255251,,,
78911,-2.941995,-2.706636,-8.825986,,,
79316,-6.786202,3.883434,1.647517,,,
79397,-20.005568,-5.727084,5.648631,,,
79478,0.353039,-10.944222,-9.649744,,,
79559,5.570178,2.19669,-2.07901,,,
79640,-15.769094,-5.256365,-17.76965,,,
79721,-20.005568,-6.550843,0.078453,,,
79802,-0.784532,-2.824315,-1.255251,,,
79883,-5.727084,1.255251,-9.532064,,,
79964,-4.707192,3.138128,-6.080123,,,
80045,-3.059675,5.099459,1.137571,,,
80126,-20.005568,-4.942552,6.786202,,,
80207,-0.078453,-6.23703,-11.767981,,,
80288,2.785089,4.824872,-6.943109,,,
80369,-7.727641,-5.295591,-12.513286,,,
80450,-20.005568,-10.591183,5.217138,,,
80531,-9.845878,1.647517,0.823759,,,
80612,-8.237586,1.294478,-7.963,,,
80693,-2.157463,0.353039,-3.412714,,,
80774,-17.024345,-4.001113,-1.569064,,,
80855,-20.005568,-14.906109,12.670193,,,
80936,0.509946,-1.216025,-11.454168,,,
81017,-1.608291,5.570178,-9.492838,,,
81098,-0.745305,-7.178468,-1.922104,,,
81179,-20.005568,-7.413828,0.902212,,,
81260,-11.846434,5.138685,2.157463,,,
81341,-4.197247,3.177355,-11.022676,,,
81422,-1.569064,-2.588956,-4.511059,,,
81503,-6.158576,3.765754,0.353039,,,
81584,-20.005568,-2.000557,5.805537,,,
81665,-4.393379,-3.373488,-10.708862,,,
81746,2.235916,1.412158,-6.511616,,,
81827,-18.279596,0.078453,-3.491168,,,
81908,-20.005568,-2.039783,4.2757,,,
81989,5.413271,0.11768,-3.177355,,,
82070,-4.393379,-2.000557,-5.491724,,,
82151,-2.941995,-4.236473,-2.941995,,,
82232,-2.824315,2.157463,10.51273,,,
82313,-6.707749,-2.745862,0.588399,,,
82394,-6.354709,-6.315483,-7.256921,,,
82475,3.687301,3.138128,2.275143,,,
82556,-20.005568,-5.256365,1.294478,,,
82637,-20.005568,4.707192,1.608291,,,
82718,5.138685,5.491724,-8.943666,,,
82799,-4.471833,1.84365,-18.632637,,,
82880,-5.021005,5.217138,0.039227,,,
82961,-20.005568,-0.549172,-0.274586,,,
83042,-1.098345,-6.825429,-10.04201,,,
83123,4.471833,2.471276,-3.883434,,,
83204,-20.005568,-0.274586,1.647517,,,
83285,-20.005568,-0.549172,4.981779,,,
83366,5.491724,0.431493,-3.530394,,,
83447,-5.923217,-1.333704,-7.413828,,,
83528,-20.005568,7.296148,-9.257479,,,
83609,-20.044794,1.137571,4.707192,,,
83690,-15.180696,-3.569621,0.392266,,,
83771,-3.530394,-6.11935,-6.590069,,,
83852,0.509946,1.84365,-2.275143,,,
83933,-20.005568,-12.513286,1.922104,,,
84014,-10.551956,-8.237586,3.334261,,,
84095,6.903882,4.2757,-6.11935,,,
84176,-1.686744,-0.431493,-5.413271,,,
84257,-11.53262,2.31437,2.824315,,,
84338,-20.005568,-7.84532,8.512173,,,
84419,-1.098345,-1.176798,-12.984006,,,
84500,3.530394,3.059675,-5.76631,,,
84581,-20.005568,0.549172,-11.571848,,,
85149,-3.883434,0.039227,-10.120463,,,
85230,1.098345,-0.23536,-6.23703,,,
85311,-20.005568,-5.334818,0.862985,,,
85392,-20.005568,2.863542,4.589512,,,
85473,6.158576,0.470719,-5.021005,,,
85554,-4.746419,-4.079566,-4.903325,,,
85635,-14.278483,-1.294478,5.060232,,,
85716,-20.005568,-0.11768,5.374045,,,
85797,-0.313813,1.922104,-4.2757,,,
85878,2.471276,-1.294478,-4.471833,,,
85959,-7.453054,2.706636,1.569064,,,
86040,-20.005568,-10.983448,2.628182,,,
86121,-15.416055,1.647517,1.765197,,,
86202,1.137571,-1.451384,-4.589512,,,
86283,-3.883434,-4.197247,0.039227,,,
86364,-13.650858,-1.608291,0.039227,,,
86445,-20.005568,-6.903882,14.945335,,,
86526,-5.099459,-4.824872,-15.063015,,,
86607,1.608291,0.706079,-7.139242,,,
86688,-20.005568,-4.667965,-2.392823,,,
86769,-20.005568,-3.059675,2.157463,,,
86850,5.295591,-5.295591,-3.138128,,,
86931,-5.609404,-2.902768,-7.884547,,,
87012,-17.808878,4.354153,-2.07901,,,
87093,-20.005568,10.198917,5.413271,,,
87174,-8.512173,1.725971,-0.11768,,,
87255,-2.745862,0.23536,-6.982335,,,
87336,-5.099459,-4.471833,-11.88566,,,
87417,-20.005568,-7.335374,7.060789,,,
87498,-19.377941,9.532064,0.627626,,,
87579,-0.509946,5.295591,-8.551399,,,
87660,-2.275143,0.549172,-2.941995,,,
87741,-10.669636,1.569064,1.216025,,,
87822,-20.005568,-5.844764,14.55307,,,
87903,-1.96133,-2.432049,-12.47406,,,
87984,1.216025,2.628182,-8.394493,,,
88065,-11.88566,-1.098345,-18.279596,,,
88146,-20.005568,-3.92266,2.118237,,,
88227,-10.316596,1.412158,0.470719,,,
88308,1.569064,0.902212,-7.688414,,,
88389,-4.707192,0.941438,-6.00167,,,
88470,-17.808878,-2.275143,-0.078453,,,
88551,-20.005568,-6.903882,5.060232,,,
88632,0.862985,-1.372931,-4.942552,,,
88713,3.177355,2.039783,-6.943109,,,
88794,-20.005568,-0.23536,-11.493395,,,
88875,-20.005568,-6.786202,3.569621,,,
88956,-10.708862,7.335374,1.647517,,,
89037,-3.765754,0.23536,-8.041453,,,
89118,-5.256365,-2.118237,-4.903325,,,
89199,-3.883434,5.138685,4.314926,,,
89280,-15.455281,-1.451384,4.236473,,,
89361,-0.745305,1.569064,-11.611073,,,
89442,3.530394,2.510503,-5.491724,,,
89523,-20.005568,-2.000557,-4.471833,,,
89604,-20.005568,-4.471833,3.80498,,,
89685,2.628182,2.19669,-1.255251,,,
89766,-5.217138,0.588399,-8.472946,,,
89847,-2.549729,-5.295591,-0.196133,,,
89928,-20.005568,2.863542,5.177911,,,
90009,-5.962444,4.04034,2.07901,,,
90090,-3.491168,0.941438,-4.981779,,,
90171,-2.432049,-0.745305,-9.414385,,,
90252,-20.005568,-9.375158,1.372931,,,
90333,-20.005568,5.844764,2.981222,,,
90414,4.079566,0.588399,-4.197247,,,
91062,-18.397276,3.844207,5.334818,,,
91143,2.000557,2.667409,-4.981779,,,
91224,-4.354153,-0.941438,-1.608291,,,
91305,-16.122133,2.000557,0.470719,,,
91386,-19.887888,-9.767424,3.177355,,,
91467,-0.941438,-3.92266,-9.649744,,,
91548,0.156906,-1.098345,-10.708862,,,
91629,-19.142582,0.941438,0.784532,,,
91710,-20.005568,-2.353596,5.177911,,,
91791,-0.627626,3.138128,-2.745862,,,
91872,-3.255808,4.118793,-9.610518,,,
91953,-16.906666,-3.726527,7.531507,,,
92034,-20.005568,3.451941,6.982335,,,
92115,-8.786758,-2.275143,-0.470719,,,
92196,-2.706636,-3.687301,-5.609404,,,
92277,0.313813,0.509946,-9.179025,,,
92358,-20.005568,-15.376828,-0.392266,,,
92439,-12.317153,-1.96133,2.588956,,,
92520,3.883434,-2.19669,-5.452498,,,
92601,-5.021005,-1.529837,-4.314926,,,
92682,-15.612188,2.706636,5.530951,,,
92763,-20.005568,-7.100015,9.218252,,,
92844,2.000557,-1.372931,-12.905553,,,
92925,4.354153,2.31437,-6.472389,,,
93006,-18.318823,3.295035,-10.983448,,,
93087,-20.005568,-6.276257,5.177911,,,
93168,-4.903325,-1.725971,-0.353039,,,
93249,-5.648631,5.805537,-10.51273,,,
