Time [sec],ACC X,ACC Y,ACC Z,,
35828,-9.649744,2.000557,-2.039783,,
35909,-10.198917,2.628182,-1.765197,,
36557,-9.885103,0.627626,-2.785089,,
36638,-8.825986,1.059118,-2.863542,,
36719,-12.160246,0.823759,-1.412158,,
36800,-12.12102,2.628182,-3.098902,,
36881,-12.199473,1.412158,-2.588956,,
36962,-11.571848,-0.431493,-3.373488,,
37043,-10.591183,0.588399,-4.511059,,
37124,-10.904996,7.217695,-4.746419,,
37205,-11.218808,2.118237,-4.393379,,
37286,-9.100572,-1.255251,-0.549172,,
37367,-14.945335,-1.098345,-2.510503,,
37448,-6.903882,1.490611,0.353039,,
37529,-4.314926,6.550843,-5.177911,,
37610,-7.453054,10.944222,-1.412158,,
37691,-20.005568,-4.628739,2.392823,,
37772,-18.397276,2.863542,-4.118793,,
37853,3.844207,2.31437,-4.511059,,
37934,-2.941995,2.471276,-3.80498,,
38015,-20.005568,1.725971,1.216025,,
38096,-16.435947,1.098345,1.84365,,
38177,7.256921,4.197247,-5.491724,,
38258,-3.177355,2.000557,0.353039,,
38339,-11.140355,4.981779,-1.529837,,
38420,-20.005568,-3.726527,-1.137571,,
38501,-15.69064,2.07901,-2.628182,,
38582,3.726527,4.707192,-4.981779,,
38663,-1.84365,7.884547,-5.138685,,
38744,-20.005568,-14.082351,-5.962444,,
38825,-9.924331,4.903325,1.647517,,
38906,3.844207,0.784532,-6.23703,,
38987,-5.177911,-4.589512,1.725971,,
39068,-17.76965,6.903882,-3.177355,,
39149,-19.6133,17.298931,-11.493395,,
39230,0.902212,6.11935,-7.217695,,
39311,2.549729,2.628182,-2.628182,,
39392,-10.355823,-4.118793,-3.098902,,
39473,-20.005568,7.139242,-20.005568,,
39554,-7.060789,-0.666852,-2.588956,,
39635,8.825986,4.589512,-4.942552,,
39716,-15.533735,16.475172,-13.690084,,
39797,-10.904996,-8.66908,5.923217,,
39878,-20.005568,-3.491168,-3.961887,,
39959,-1.412158,2.706636,-2.118237,,
40040,3.412714,5.530951,-2.667409,,
40121,-18.750317,5.648631,1.098345,,
40202,-20.005568,-9.218252,0.666852,,
40283,-2.157463,0.353039,-4.393379,,
40364,6.903882,4.2757,-3.530394,,
40445,-20.005568,2.745862,11.964113,,
40526,-20.005568,-12.35638,5.021005,,
40607,-19.103355,-0.549172,-2.745862,,
40688,0.666852,2.941995,-2.706636,,
40769,4.197247,1.255251,-2.549729,,
40850,-20.005568,-12.47406,9.218252,,
40931,-14.866882,-7.806094,7.884547,,
41012,5.334818,2.353596,-2.118237,,
41093,-3.961887,0.666852,-2.07901,,
41174,-20.005568,7.335374,2.981222,,
41255,-15.259149,-15.533735,1.137571,,
41336,-13.140911,-1.647517,-6.158576,,
41417,4.001113,1.294478,-1.059118,,
41498,3.530394,3.334261,-1.451384,,
41579,-20.005568,-15.965227,-1.84365,,
41660,-11.88566,-4.746419,13.807764,,
41741,7.727641,3.883434,-3.765754,,
41822,-7.178468,-1.176798,-0.823759,,
42470,9.492838,7.139242,-7.021562,,
42551,-6.472389,-4.589512,-1.059118,,
42632,-12.199473,-17.298931,-17.730425,,
42713,-15.572961,7.217695,-4.550286,,
42794,-1.098345,15.769094,15.337602,,
42875,3.92266,0.078453,-2.31437,,
42956,-15.023788,10.27737,-5.217138,,
43037,-20.005568,-15.141468,-5.687858,,
43118,-2.392823,-2.471276,-10.238143,,
43199,3.883434,1.412158,-0.274586,,
43280,-18.436504,3.608848,8.355267,,
43361,-12.434833,-17.926558,0,,
43442,-20.005568,0.078453,-13.807764,,
43523,0.745305,8.159133,-0.588399,,
43604,3.059675,1.882877,-1.647517,,
43685,-20.005568,5.844764,1.882877,,
43766,-20.005568,-16.828213,-4.314926,,
43847,2.07901,0.039227,-8.865212,,
43928,0.666852,1.294478,0.862985,,
44009,-20.005568,8.590626,0.902212,,
44090,-10.27737,-18.318823,19.6133,,
44171,-16.985119,-8.904439,-14.396163,,
44252,3.334261,-2.19669,-4.314926,,
44333,1.84365,2.863542,-4.118793,,
44414,-20.005568,-20.005568,-6.080123,,
44495,-14.592296,-20.005568,-2.471276,,
44576,5.491724,7.453054,-8.472946,,
44657,-4.628739,-3.608848,1.137571,,
44738,-6.590069,4.04034,-16.435947,,
44819,-16.906666,-9.649744,-1.255251,,
44900,-7.570734,-2.118237,-7.649188,,
44981,1.647517,-1.294478,-3.726527,,
45062,-10.39505,4.314926,-6.629296,,
45143,-11.493395,-20.005568,-13.61163,,
45224,-6.354709,-10.551956,-7.413828,,
45305,0.784532,8.982892,-5.491724,,
45386,-16.906666,-1.725971,4.197247,,
45467,-2.31437,-14.082351,1.412158,,
45548,-10.473503,-10.787315,-7.139242,,
45629,-2.19669,1.922104,1.059118,,
45710,3.255808,10.63041,-1.059118,,
45791,-20.005568,-4.432606,6.11935,,
45872,-14.003898,-20.005568,-12.2387,,
45953,-1.608291,9.80665,-7.649188,,
46034,2.275143,7.178468,-2.19669,,
46115,-20.005568,-20.005568,2.902768,,
46196,-5.491724,-16.5144,-4.079566,,
46277,-9.453611,-16.122133,-18.044237,,
46358,-1.96133,10.434276,-4.118793,,
46439,-2.19669,0.313813,-4.667965,,
46520,-19.927114,-20.005568,-13.376271,,
46601,-3.451941,-20.005568,4.942552,,
46682,-2.392823,7.178468,-2.31437,,
46763,-4.707192,-5.844764,1.137571,,
46844,-13.140911,-20.005568,-0.313813,,
46925,-4.118793,-15.102242,2.000557,,
47006,-4.707192,-4.550286,-4.15802,,
47087,-3.412714,5.452498,-0.666852,,
47168,-12.827099,-7.256921,-4.589512,,
47249,-17.33816,-20.005568,-0.862985,,
47330,-3.491168,-3.883434,-4.824872,,
47411,2.353596,5.295591,-0.078453,,
47492,-8.66908,-7.413828,4.197247,,
47573,-10.04201,-19.770206,1.333704,,
47654,-9.649744,-12.12102,-3.608848,,
47735,-2.863542,4.314926,-5.060232,,
47782,-6.864655,-17.926558,0.156906,,
47905,-4.785645,-4.667965,-2.941995,,
47953,-3.098902,8.237586,-3.451941,,
48056,-0.313813,2.353596,-2.549729,,
48118,-11.218808,-19.652529,2.235916,,
48173,-4.589512,-16.200586,-1.725971,,
48202,-0.23536,9.649744,-1.412158,,
48219,-2.31437,-6.982335,1.765197,,
48266,-9.492838,-15.455281,1.647517,,
48297,-5.217138,-14.474616,-2.745862,,
48302,-6.864655,-17.926558,0.156906,,
48383,-4.785645,-4.667965,-2.941995,,
48464,-3.098902,8.237586,-3.451941,,
48545,-0.313813,2.353596,-2.549729,,
48626,-11.218808,-19.652529,2.235916,,
48707,-4.589512,-16.200586,-1.725971,,
48788,-0.23536,9.649744,-1.412158,,
48869,-2.31437,-6.982335,1.765197,,
48950,-9.492838,-15.455281,1.647517,,
49031,-5.217138,-14.474616,-2.745862,,
49112,-6.472389,-1.216025,-4.864099,,
49193,-2.31437,4.589512,-3.295035,,
49274,-14.749203,-8.08068,-11.571848,,
49355,-11.493395,-20.005568,-3.098902,,
49436,1.882877,-2.039783,-2.588956,,
49517,1.294478,6.629296,0.274586,,
49598,-5.923217,-9.453611,3.92266,,
49679,-7.570734,-19.809433,0.784532,,
49760,-7.531507,-8.747532,-4.981779,,
49841,-4.707192,5.099459,-3.92266,,
49922,-3.765754,2.981222,-3.255808,,
50003,-14.592296,-20.005568,-8.159133,,
50084,-6.472389,-20.005568,-2.981222,,
50165,-2.471276,2.941995,-2.353596,,
50246,1.098345,-0.156906,-0.470719,,
50327,-20.005568,-19.456394,-9.845878,,
50408,-8.237586,-19.103355,2.353596,,
50489,-1.96133,-18.044237,-5.491724,,
50570,-2.863542,6.433163,-3.138128,,
50651,-2.353596,1.84365,-7.335374,,
50732,-17.455837,-20.005568,-0.431493,,
50813,-5.099459,-19.652529,0.039227,,
50894,-1.098345,9.179025,0.039227,,
50975,-1.725971,-5.177911,-1.84365,,
