,,,
Time [sec],ACC X,ACC Y,ACC Z
348202,-10.04201,-1.412158,0.980665
348283,-10.15969,-1.647517,0.862985
348364,-10.04201,-1.804424,0.823759
348445,-10.04201,-1.804424,0.745305
348526,-10.04201,-1.84365,0.823759
348607,-10.04201,-1.725971,0.745305
348688,-10.04201,-1.686744,0.745305
348769,-10.081236,-1.686744,0.745305
348850,-10.002784,-1.529837,0.706079
348931,-9.885103,-1.490611,0.784532
349012,-10.198917,-0.941438,0.666852
349093,-9.728197,-1.96133,1.059118
349174,-9.885103,-1.098345,0.745305
349255,-10.39505,-0.862985,1.059118
349336,-10.355823,-1.529837,0.902212
349417,-10.355823,-1.019892,0.274586
349498,-9.179025,-2.824315,-0.078453
349579,-10.74809,-2.941995,2.19669
349660,-11.493395,0.588399,3.098902
349741,-8.590626,-0.196133,2.510503
349822,-7.727641,-0.509946,3.334261
349903,-7.296148,-0.039227,2.785089
349984,-9.453611,-2.941995,2.392823
350065,-11.140355,0.156906,3.961887
350146,-11.297261,-3.569621,3.020448
350227,-7.296148,-2.745862,0.666852
350308,-10.04201,-2.471276,1.451384
350389,-9.924331,-0.784532,0.039227
350470,-8.66908,-0.549172,0
350551,-9.218252,-1.255251,-0.078453
350632,-10.120463,-1.216025,0.274586
350713,-11.218808,-0.745305,1.686744
350794,-13.415498,-4.04034,-2.432049
350875,-11.336488,-5.374045,2.902768
350956,-11.728755,1.333704,-0.902212
351037,-7.021562,-1.019892,1.255251
351118,-5.295591,1.137571,1.882877
351199,-8.472946,-0.941438,2.863542
351280,-11.650301,-0.823759,5.609404
351361,-11.493395,1.96133,0.156906
351442,-8.786758,-4.942552,1.725971
351523,-9.022119,-1.294478,1.216025
351604,-8.041453,-2.902768,0.196133
351685,-8.394493,-0.549172,0.274586
351766,-9.414385,-0.11768,-0.392266
351847,-11.611073,-0.392266,-0.470719
352576,-10.434276,-6.629296,1.608291
352657,-8.276814,1.569064,0.23536
352738,-8.43372,-2.745862,0
352819,-7.923774,-0.666852,-0.353039
352900,-9.845878,-0.470719,-0.666852
352981,-10.238143,-0.156906,0.078453
353062,-13.101686,-1.647517,0.862985
353143,-10.04201,-6.511616,-1.019892
353224,-12.081794,-2.667409,2.706636
353305,-9.139798,1.725971,-0.431493
353386,-5.334818,-0.509946,1.647517
353467,-5.727084,1.294478,2.745862
353548,-11.218808,-0.823759,-2.628182
353629,-10.63041,1.882877,2.863542
353710,-15.533735,-7.806094,-0.980665
353791,-9.139798,-0.627626,-0.156906
353872,-10.904996,-3.530394,-0.392266
353953,-6.590069,-0.706079,0.353039
354034,-10.002784,-0.039227,-0.353039
354115,-10.669636,-1.647517,0.509946
354196,-12.395606,-1.294478,3.373488
354277,-8.472946,-3.883434,-1.059118
354358,-14.356936,-4.785645,3.177355
354439,-9.649744,0.431493,0
354520,-6.11935,0.509946,1.333704
354601,-5.76631,-0.431493,2.902768
354682,-8.747532,-0.666852,-1.137571
354763,-12.042567,0.078453,2.941995
354844,-13.337045,-4.354153,1.294478
354925,-9.492838,-0.823759,-0.941438
355006,-10.865768,-3.765754,0.313813
355087,-6.825429,-2.000557,0.509946
355168,-9.179025,-0.470719,-0.274586
355249,-8.904439,-0.862985,0.902212
355330,-10.787315,1.96133,-0.549172
355411,-12.317153,-4.118793,-1.922104
355492,-14.31771,-6.00167,1.686744
355573,-8.31604,0.902212,-0.902212
355654,-6.393936,-0.23536,0.745305
355735,-6.197803,0,3.098902
355816,-7.217695,0.274586,1.098345
355897,-11.53262,-0.706079,5.844764
355978,-12.827099,-0.941438,0.353039
356059,-6.629296,-0.745305,-0.196133
356140,-12.47406,-4.432606,0.313813
356221,-5.962444,-2.432049,0.431493
356302,-9.532064,0.039227,-0.549172
356383,-9.924331,-1.333704,0.941438
356464,-10.120463,2.745862,0.392266
356545,-10.51273,-4.707192,-1.725971
356626,-13.023232,-5.88399,2.902768
356707,-9.767424,0.784532,-0.470719
356788,-5.805537,-0.941438,0.902212
356869,-5.88399,0.588399,2.745862
356950,-7.453054,0.078453,-1.647517
357031,-11.336488,-1.451384,4.667965
357112,-12.944778,-3.412714,0
357193,-7.766868,-0.431493,-0.353039
357274,-11.414941,-3.569621,-0.274586
357355,-6.982335,-1.765197,0.470719
357436,-9.257479,-0.470719,-0.470719
357517,-9.610518,-1.294478,1.686744
357598,-10.983448,0.980665,1.96133
357679,-8.237586,-4.471833,-0.627626
357760,-15.063015,-4.942552,2.588956
358410,-12.905553,-3.412714,-0.470719
358491,-6.354709,-2.667409,0.706079
358572,-9.257479,-0.549172,-0.588399
359463,-9.100572,-2.039783,-0.509946
359544,-10.983448,-3.491168,0.470719
360921,-10.355823,-0.431493,1.176798
361002,-11.061902,0.509946,1.529837
361083,-10.904996,-3.334261,-2.157463
361164,-13.337045,-7.178468,1.96133
361245,-9.80665,1.255251,-0.784532
361326,-6.590069,-0.392266,0.353039
361407,-5.530951,-0.588399,2.745862
361488,-8.08068,0,1.451384
361569,-12.47406,-2.432049,5.021005
361650,-12.395606,-0.784532,-0.23536
361731,-7.296148,0,0.039227
361812,-11.493395,-4.118793,0.862985
361893,-6.433163,-2.07901,-0.23536
361974,-9.218252,-0.23536,0.156906
362055,-9.453611,-0.470719,1.137571
362136,-11.179583,1.569064,1.333704
362217,-11.258035,-4.236473,-2.039783
362298,-11.767981,-7.413828,3.334261
362379,-10.04201,2.471276,-0.509946
362460,-5.923217,0.11768,0.627626
362541,-5.844764,-0.509946,3.255808
362622,-7.374601,0.627626,-0.156906
362703,-11.964113,-2.785089,3.020448
362784,-11.964113,-4.432606,0.627626
362865,-8.551399,0.549172,-0.470719
362946,-10.081236,-3.961887,0.745305
363027,-7.531507,-1.725971,-0.23536
363108,-8.747532,-0.313813,-0.11768
363189,-10.04201,-0.902212,1.059118
363270,-11.964113,0.862985,2.039783
363351,-9.492838,-5.060232,-1.333704
363432,-13.376271,-7.217695,3.216581
363513,-9.492838,1.765197,-1.255251
363594,-5.805537,-0.470719,0.196133
363675,-6.315483,-0.627626,2.902768
363756,-7.531507,0.941438,1.216025
363837,-10.39505,-0.156906,4.785645
363918,-14.396163,-3.295035,0.392266
363999,-7.492281,-0.549172,-0.470719
364080,-12.081794,-4.354153,0.392266
364161,-6.354709,-1.96133,0.470719
364242,-10.04201,-1.098345,-0.078453
364323,-9.257479,-0.862985,1.216025
364404,-10.473503,2.510503,1.059118
364485,-9.610518,-3.80498,-1.333704
364566,-14.474616,-6.786202,2.392823
364647,-8.943666,1.529837,-0.627626
364728,-6.629296,-0.039227,0.274586
364809,-6.433163,-1.176798,3.255808
364890,-6.472389,2.039783,-0.11768
364971,-12.042567,-1.922104,3.883434
365052,-9.767424,-1.176798,0.392266
365133,-9.571291,-0.627626,-0.823759
365214,-10.238143,-3.648074,0.509946
365295,-6.511616,-2.039783,0.392266
365376,-8.747532,0.156906,-0.23536
365457,-10.355823,-0.196133,1.098345
365538,-10.27737,1.255251,0.666852
365619,-11.297261,-3.412714,-2.392823
365700,-12.434833,-7.060789,2.667409
365781,-10.355823,0.902212,-1.137571
365862,-5.88399,-0.353039,0.509946
365943,-5.962444,-0.313813,2.549729
366024,-7.884547,-0.078453,2.118237
366105,-11.414941,-1.333704,5.217138
366186,-14.082351,-1.647517,0.431493
367158,-7.688414,-0.823759,2.549729
367239,-13.219365,-0.078453,3.961887
367320,-12.160246,-0.392266,-0.274586
367401,-8.43372,-2.31437,0.196133
367482,-11.258035,-3.530394,0.941438
367563,-6.354709,-2.863542,0.11768
367644,-8.747532,-0.078453,-0.196133
367725,-10.002784,0,0.706079
367806,-11.297261,1.529837,-0.313813
367887,-12.709418,-4.04034,-2.157463
367968,-13.493951,-6.864655,2.07901
368049,-9.688971,1.098345,-0.588399
368130,-7.453054,-0.470719,0.470719
