Time[sec],ACC X,ACC Y,ACC Z
0,0.47,-8.79,-4.12
0.07,0,-9.53,-4.2
0.14,-0.86,-9.77,-6.12
0.21,-7.65,-13.3,-5.18
0.28,1.06,-7.69,-5.18
0.36,-5.41,-6.79,-4.47
0.43,-1.41,-8.83,-3.8
0.5,-2.9,-8.36,-3.73
0.57,-2.16,-8.43,-3.65
0.64,-1.33,-8.79,-3.45
0.71,-2.2,-9.41,-3.22
0.78,-2.63,-11.77,-5.61
0.85,-7.53,-8.47,-4.55
0.92,-3.65,-7.1,-4.35
0.99,-2.43,-10.87,-2
1.06,-1.61,-7.69,-3.73
1.14,0.9,-7.57,-3.61
1.21,-1.77,-8.83,-3.22
1.28,-4.04,-10.87,-4.08
1.35,-6.86,-14.59,-3.14
1.42,1.26,-5.3,-4.98
1.49,-5.92,-7.61,-4.63
1.56,-2.47,-8.43,-5.1
2.06,0.71,-9.45,-4.04
2.13,-2.12,-8.55,-3.65
2.2,-0.39,-7.53,-3.33
2.27,-1.57,-7.61,-3.18
2.34,-2.86,-8.9,-3.88
2.41,-2.16,-16.48,-6
2.49,-4.43,-3.22,-8
2.56,-3.14,-8.98,-2.35
2.63,-3.49,-6.35,-4.71
2.7,-3.45,-7.88,-2.67
2.77,-2.08,-8.16,-2.51
2.84,-1.14,-8.51,-2.98
2.91,-0.86,-9.49,-3.26
2.98,-4.94,-12.91,-9.22
3.05,-10,-9.38,-2.16
3.12,3.02,-9.53,-4.71
3.19,-0.86,-7.37,-3.14
3.27,0.82,-7.22,-3.77
3.34,-0.31,-8.16,-3.3
3.41,-2.55,-9.49,-3.57
3.48,-5.06,-15.14,-6.67
3.55,2.67,-4.82,-6.86
3.62,-6.2,-8.67,-3.26
3.69,-2.28,-6.98,-3.77
3.76,-1.92,-7.73,-4.24
3.83,-1.69,-8.2,-3.61
3.9,-1.45,-8.32,-4.16
3.98,1.06,-10.94,-3.33
4.05,-7.34,-11.06,-5.49
4.12,-4.67,-9.1,-4.9
4.19,1.1,-8.83,-4.24
4.26,-0.2,-8.67,-4
4.33,1.26,-6.71,-4.04
4.4,-0.47,-8.63,-2.98
4.47,-2.94,-11.85,-5.02
4.54,-8.83,-18.48,-3.57
4.62,3.84,-4.12,-7.85
4.69,-4.67,-6.79,-5.49
4.76,-1.96,-6.51,-3.26
4.83,-0.51,-9.65,-3.37
4.9,-1.06,-7.81,-4.67
4.97,0.59,-10.16,-3.33
5.04,-3.8,-12.43,-9.41
5.11,-7.96,-7.1,-4.28
5.18,-0.04,-9.81,-4.94
5.25,-0.08,-7.18,-3.37
5.33,0.82,-7.57,-3.41
5.4,1.49,-7.73,-3.8
5.47,-2.35,-9.77,-3.22
5.54,-0.35,-17.1,-6.43
5.61,1.37,-2.98,-7.73
5.68,-5.81,-10.36,-2.82
5.75,-2.79,-6.08,-4.94
5.82,-2.2,-7.22,-3.06
